Reading override parameter file '/home/franco/Documentos/Multistage_stochastic_fair_allocation/results_models/fairness_comparison/cplex_threads_1.prm' succeeded.
SKIP SA C0001 stage=missing: resultado completo.
SKIP SA C0002 stage=missing: resultado completo.
SKIP SA C0003 stage=missing: resultado completo.
SKIP SA C0004 stage=missing: resultado completo.
SKIP SA C0005 stage=missing: resultado completo.
SKIP SA C0006 stage=missing: resultado completo.
SKIP SA C0007 stage=missing: resultado completo.
SKIP SA C0008 stage=missing: resultado completo.
SKIP SA C0009 stage=missing: resultado completo.
SKIP SA C0010 stage=missing: resultado completo.
SA completado: 10 filas de resumen.
