FormulationID,Label,Controller,Passed,ExpectedModeNodes,GeneratedModeBinaries,UniquePolicyModes,LegacyHouseholdModeBinaries,Variables,Constraints,Nonzeros,FailedChecks,LPPath,MPSPath
shared_battery_mode_node_level_v1,TWO_STAGE_RH__PEA,TWO_STAGE_RH,true,93,93,93,372,2418,3728,5265,,/home/franco/Documentos/Multistage Energy/Code_stochastique/results_oos/model_audit/shared_battery_mode_node_level_v1__TWO_STAGE_RH__PEA.lp,/home/franco/Documentos/Multistage Energy/Code_stochastique/results_oos/model_audit/shared_battery_mode_node_level_v1__TWO_STAGE_RH__PEA.mps
shared_battery_mode_node_level_v1,TWO_STAGE_RH__PEA__adaptive_phase1,TWO_STAGE_RH,true,93,93,93,372,2419,3733,5645,,/home/franco/Documentos/Multistage Energy/Code_stochastique/results_oos/model_audit/shared_battery_mode_node_level_v1__TWO_STAGE_RH__PEA__adaptive_phase1.lp,/home/franco/Documentos/Multistage Energy/Code_stochastique/results_oos/model_audit/shared_battery_mode_node_level_v1__TWO_STAGE_RH__PEA__adaptive_phase1.mps
shared_battery_mode_node_level_v1,TWO_STAGE_RH__PEA__adaptive_phase2,TWO_STAGE_RH,true,93,93,93,372,2419,3734,5646,,/home/franco/Documentos/Multistage Energy/Code_stochastique/results_oos/model_audit/shared_battery_mode_node_level_v1__TWO_STAGE_RH__PEA__adaptive_phase2.lp,/home/franco/Documentos/Multistage Energy/Code_stochastique/results_oos/model_audit/shared_battery_mode_node_level_v1__TWO_STAGE_RH__PEA__adaptive_phase2.mps
shared_battery_mode_node_level_v1,TWO_STAGE_RH__SA,TWO_STAGE_RH,true,93,93,93,372,2418,3732,13821,,/home/franco/Documentos/Multistage Energy/Code_stochastique/results_oos/model_audit/shared_battery_mode_node_level_v1__TWO_STAGE_RH__SA.lp,/home/franco/Documentos/Multistage Energy/Code_stochastique/results_oos/model_audit/shared_battery_mode_node_level_v1__TWO_STAGE_RH__SA.mps
shared_battery_mode_node_level_v1,TWO_STAGE_RH__LEXMMFPEA__phase1,TWO_STAGE_RH,true,93,93,93,372,2438,3756,6413,,/home/franco/Documentos/Multistage Energy/Code_stochastique/results_oos/model_audit/shared_battery_mode_node_level_v1__TWO_STAGE_RH__LEXMMFPEA__phase1.lp,/home/franco/Documentos/Multistage Energy/Code_stochastique/results_oos/model_audit/shared_battery_mode_node_level_v1__TWO_STAGE_RH__LEXMMFPEA__phase1.mps
shared_battery_mode_node_level_v1,TWO_STAGE_RH__LEXMMFSA__phase1,TWO_STAGE_RH,true,93,93,93,372,2438,3756,9389,,/home/franco/Documentos/Multistage Energy/Code_stochastique/results_oos/model_audit/shared_battery_mode_node_level_v1__TWO_STAGE_RH__LEXMMFSA__phase1.lp,/home/franco/Documentos/Multistage Energy/Code_stochastique/results_oos/model_audit/shared_battery_mode_node_level_v1__TWO_STAGE_RH__LEXMMFSA__phase1.mps
shared_battery_mode_node_level_v1,MULTISTAGE_RH__NONE,MULTISTAGE_RH,true,56,56,56,224,1456,2244,2931,,/home/franco/Documentos/Multistage Energy/Code_stochastique/results_oos/model_audit/shared_battery_mode_node_level_v1__MULTISTAGE_RH__NONE.lp,/home/franco/Documentos/Multistage Energy/Code_stochastique/results_oos/model_audit/shared_battery_mode_node_level_v1__MULTISTAGE_RH__NONE.mps
shared_battery_mode_node_level_v1,MULTISTAGE_RH__STATIC_DEMAND_SHARE,MULTISTAGE_RH,true,56,56,56,224,1456,2468,3155,,/home/franco/Documentos/Multistage Energy/Code_stochastique/results_oos/model_audit/shared_battery_mode_node_level_v1__MULTISTAGE_RH__STATIC_DEMAND_SHARE.lp,/home/franco/Documentos/Multistage Energy/Code_stochastique/results_oos/model_audit/shared_battery_mode_node_level_v1__MULTISTAGE_RH__STATIC_DEMAND_SHARE.mps
shared_battery_mode_node_level_v1,MULTISTAGE_RH__PEA,MULTISTAGE_RH,true,56,56,56,224,1456,2248,3155,,/home/franco/Documentos/Multistage Energy/Code_stochastique/results_oos/model_audit/shared_battery_mode_node_level_v1__MULTISTAGE_RH__PEA.lp,/home/franco/Documentos/Multistage Energy/Code_stochastique/results_oos/model_audit/shared_battery_mode_node_level_v1__MULTISTAGE_RH__PEA.mps
shared_battery_mode_node_level_v1,MULTISTAGE_RH__PEA__adaptive_phase1,MULTISTAGE_RH,true,56,56,56,224,1457,2253,3387,,/home/franco/Documentos/Multistage Energy/Code_stochastique/results_oos/model_audit/shared_battery_mode_node_level_v1__MULTISTAGE_RH__PEA__adaptive_phase1.lp,/home/franco/Documentos/Multistage Energy/Code_stochastique/results_oos/model_audit/shared_battery_mode_node_level_v1__MULTISTAGE_RH__PEA__adaptive_phase1.mps
shared_battery_mode_node_level_v1,MULTISTAGE_RH__PEA__adaptive_phase2,MULTISTAGE_RH,true,56,56,56,224,1457,2254,3388,,/home/franco/Documentos/Multistage Energy/Code_stochastique/results_oos/model_audit/shared_battery_mode_node_level_v1__MULTISTAGE_RH__PEA__adaptive_phase2.lp,/home/franco/Documentos/Multistage Energy/Code_stochastique/results_oos/model_audit/shared_battery_mode_node_level_v1__MULTISTAGE_RH__PEA__adaptive_phase2.mps
shared_battery_mode_node_level_v1,MULTISTAGE_RH__SA,MULTISTAGE_RH,true,56,56,56,224,1456,2252,8307,,/home/franco/Documentos/Multistage Energy/Code_stochastique/results_oos/model_audit/shared_battery_mode_node_level_v1__MULTISTAGE_RH__SA.lp,/home/franco/Documentos/Multistage Energy/Code_stochastique/results_oos/model_audit/shared_battery_mode_node_level_v1__MULTISTAGE_RH__SA.mps
shared_battery_mode_node_level_v1,MULTISTAGE_RH__LEXMMFPEA__phase1,MULTISTAGE_RH,true,56,56,56,224,1476,2276,3859,,/home/franco/Documentos/Multistage Energy/Code_stochastique/results_oos/model_audit/shared_battery_mode_node_level_v1__MULTISTAGE_RH__LEXMMFPEA__phase1.lp,/home/franco/Documentos/Multistage Energy/Code_stochastique/results_oos/model_audit/shared_battery_mode_node_level_v1__MULTISTAGE_RH__LEXMMFPEA__phase1.mps
shared_battery_mode_node_level_v1,MULTISTAGE_RH__LEXMMFSA__phase1,MULTISTAGE_RH,true,56,56,56,224,1476,2276,5651,,/home/franco/Documentos/Multistage Energy/Code_stochastique/results_oos/model_audit/shared_battery_mode_node_level_v1__MULTISTAGE_RH__LEXMMFSA__phase1.lp,/home/franco/Documentos/Multistage Energy/Code_stochastique/results_oos/model_audit/shared_battery_mode_node_level_v1__MULTISTAGE_RH__LEXMMFSA__phase1.mps
