ExperimentID,FormulationID,Controller,Fairness,Resource,Replications,CompletedReplications,PeriodsSolved,ConfigPEAToleranceActivations,ConfigPEAToleranceActivationRate,ConfigPEAToleranceMeanActive,ConfigPEAToleranceMeanAllPeriods,ConfigPEAToleranceMax,ConfigPEAStrictFeasiblePeriods
oos_unit_solvecount_smoke,shared_battery_mode_node_level_v1,DETERMINISTIC_RH,NONE,none,2,2,48,0,0.0,0.0,0.0,0.0,0
oos_unit_solvecount_smoke,shared_battery_mode_node_level_v1,DETERMINISTIC_RH,STATIC_DEMAND_SHARE,pv,2,2,48,0,0.0,0.0,0.0,0.0,0
oos_unit_solvecount_smoke,shared_battery_mode_node_level_v1,DETERMINISTIC_RH,PEA,pv,2,2,48,12,0.25,3.322813516254357,0.8307033790635893,6.001011336378099,36
oos_unit_solvecount_smoke,shared_battery_mode_node_level_v1,DETERMINISTIC_RH,SA,savings,2,2,48,0,0.0,0.0,0.0,0.0,0
oos_unit_solvecount_smoke,shared_battery_mode_node_level_v1,DETERMINISTIC_RH,LEXMMFPEA,pv,2,2,48,0,0.0,0.0,0.0,0.0,0
oos_unit_solvecount_smoke,shared_battery_mode_node_level_v1,DETERMINISTIC_RH,LEXMMFSA,savings,2,2,48,0,0.0,0.0,0.0,0.0,0
oos_unit_solvecount_smoke,shared_battery_mode_node_level_v1,TWO_STAGE_RH,NONE,none,2,2,48,0,0.0,0.0,0.0,0.0,0
oos_unit_solvecount_smoke,shared_battery_mode_node_level_v1,TWO_STAGE_RH,STATIC_DEMAND_SHARE,pv,2,2,48,0,0.0,0.0,0.0,0.0,0
oos_unit_solvecount_smoke,shared_battery_mode_node_level_v1,TWO_STAGE_RH,PEA,pv,2,2,48,14,0.2916666666666667,9.396617864242435,2.7406802104040437,17.398955415279886,34
oos_unit_solvecount_smoke,shared_battery_mode_node_level_v1,TWO_STAGE_RH,SA,savings,2,2,48,0,0.0,0.0,0.0,0.0,0
oos_unit_solvecount_smoke,shared_battery_mode_node_level_v1,TWO_STAGE_RH,LEXMMFPEA,pv,2,2,48,0,0.0,0.0,0.0,0.0,0
oos_unit_solvecount_smoke,shared_battery_mode_node_level_v1,TWO_STAGE_RH,LEXMMFSA,savings,2,2,48,0,0.0,0.0,0.0,0.0,0
oos_unit_solvecount_smoke,shared_battery_mode_node_level_v1,MULTISTAGE_RH,NONE,none,2,2,48,0,0.0,0.0,0.0,0.0,0
oos_unit_solvecount_smoke,shared_battery_mode_node_level_v1,MULTISTAGE_RH,STATIC_DEMAND_SHARE,pv,2,2,48,0,0.0,0.0,0.0,0.0,0
oos_unit_solvecount_smoke,shared_battery_mode_node_level_v1,MULTISTAGE_RH,PEA,pv,2,2,48,19,0.3958333333333333,8.728352109477337,3.4549727100014462,22.719900609156927,29
oos_unit_solvecount_smoke,shared_battery_mode_node_level_v1,MULTISTAGE_RH,SA,savings,2,2,48,0,0.0,0.0,0.0,0.0,0
oos_unit_solvecount_smoke,shared_battery_mode_node_level_v1,MULTISTAGE_RH,LEXMMFPEA,pv,2,2,48,0,0.0,0.0,0.0,0.0,0
oos_unit_solvecount_smoke,shared_battery_mode_node_level_v1,MULTISTAGE_RH,LEXMMFSA,savings,2,2,48,0,0.0,0.0,0.0,0.0,0
