Reading override parameter file '/home/franco/Documentos/Multistage_stochastic_fair_allocation/results_models/fairness_comparison/cplex_threads_1.prm' succeeded.
SKIP ERDINC_ESR C0001 stage=missing: resultado completo.
SKIP ERDINC_ESR C0002 stage=missing: resultado completo.
SKIP ERDINC_ESR C0003 stage=missing: resultado completo.
SKIP ERDINC_ESR C0004 stage=missing: resultado completo.
SKIP ERDINC_ESR C0005 stage=missing: resultado completo.
SKIP ERDINC_ESR C0006 stage=missing: resultado completo.
SKIP ERDINC_ESR C0007 stage=missing: resultado completo.
SKIP ERDINC_ESR C0008 stage=missing: resultado completo.
SKIP ERDINC_ESR C0009 stage=missing: resultado completo.
SKIP ERDINC_ESR C0010 stage=missing: resultado completo.
ERDINC_ESR completado: 10 filas de resumen.
