Reading override parameter file '/home/franco/Documentos/Multistage_stochastic_fair_allocation/results_models/fairness_comparison/cplex_threads_1.prm' succeeded.
SKIP LEXMMFPEA C0001 stage=missing: resultado completo.
SKIP LEXMMFPEA C0002 stage=missing: resultado completo.
SKIP LEXMMFPEA C0003 stage=missing: resultado completo.
SKIP LEXMMFPEA C0004 stage=missing: resultado completo.
SKIP LEXMMFPEA C0005 stage=missing: resultado completo.
SKIP LEXMMFPEA C0006 stage=missing: resultado completo.
SKIP LEXMMFPEA C0007 stage=missing: resultado completo.
SKIP LEXMMFPEA C0008 stage=missing: resultado completo.
SKIP LEXMMFPEA C0009 stage=missing: resultado completo.
SKIP LEXMMFPEA C0010 stage=missing: resultado completo.
LEXMMFPEA completado: 10 filas de resumen.
