ExperimentID,FormulationID,StructuralInstanceID,ParallelTaskID,Replication,Controller,Fairness,Resource,ApplicableDiagnostic,House,PVAllocation,PVRate,PVProportionalTarget,PVDeviation,Savings,SavingsRate,SavingsProportionalTarget,SavingsDeviation,StaticShareTarget,StaticShareDeviation,PVOrderStatistic,SavingsOrderStatistic,SortedPV,SortedSavings,CumulativePVOrder,CumulativeSavingsOrder,MinHouseholdPV,MinHouseholdSavings,LexicographicPVShortfall,LexicographicSavingsShortfall
oos_experiment,shared_battery_mode_node_level_v1,SI-Drahi_16-d2-HET-UHI-BHI-b5ad1d7920,TK-PB-Drahi_16-d2-HET-UHI-73ba6c8406-r5,5,DETERMINISTIC_RH,LEXMMFPEA,pv,lexicographic_pv,1,411.5124704556273,0.18685228565948636,395.0726347610959,16.439835694531382,2678.1477232555044,0.010532319311604565,44183.942588657264,-41505.79486540176,21.073383446298095,390.4390870093292,2,1,259.55901688408795,2678.1477232555044,259.55901688408795,2678.1477232555044,259.55901688408795,2678.1477232555044,180.9092053837996,48177.65419503057
oos_experiment,shared_battery_mode_node_level_v1,SI-Drahi_16-d2-HET-UHI-BHI-b5ad1d7920,TK-PB-Drahi_16-d2-HET-UHI-73ba6c8406-r5,5,DETERMINISTIC_RH,LEXMMFPEA,pv,lexicographic_pv,2,259.55901688408795,0.11785595589514616,383.601131556161,-124.04211467207307,40967.272348931176,0.1611114988010864,43302.70782132544,-2335.435472394267,163.55901688408818,95.99999999999977,1,3,411.5124704556273,18613.742720820155,671.0714873397153,21291.89044407566,259.55901688408795,2678.1477232555044,180.9092053837996,48177.65419503057
oos_experiment,shared_battery_mode_node_level_v1,SI-Drahi_16-d2-HET-UHI-BHI-b5ad1d7920,TK-PB-Drahi_16-d2-HET-UHI-73ba6c8406-r5,5,DETERMINISTIC_RH,LEXMMFPEA,pv,lexicographic_pv,3,481.3181664355849,0.21854841829785981,531.4451536476251,-50.12698721204026,102268.86484180331,0.4021915336469438,63297.17037660801,38971.6944651953,981.5846593556902,-500.2664929201053,4,5,439.90706791656237,40967.272348931176,1110.9785552562776,62259.162793006835,259.55901688408795,2678.1477232555044,180.9092053837996,48177.65419503057
oos_experiment,shared_battery_mode_node_level_v1,SI-Drahi_16-d2-HET-UHI-BHI-b5ad1d7920,TK-PB-Drahi_16-d2-HET-UHI-73ba6c8406-r5,5,DETERMINISTIC_RH,LEXMMFPEA,pv,lexicographic_pv,4,439.90706791656237,0.19974520098251997,516.5201315041144,-76.613063587552,89750.9819566202,0.3529626063151261,61402.094496807396,28348.88745981281,1016.7334528452596,-576.8263849286973,3,4,481.3181664355849,89750.9819566202,1592.2967216918626,152010.14474962704,259.55901688408795,2678.1477232555044,180.9092053837996,48177.65419503057
oos_experiment,shared_battery_mode_node_level_v1,SI-Drahi_16-d2-HET-UHI-BHI-b5ad1d7920,TK-PB-Drahi_16-d2-HET-UHI-73ba6c8406-r5,5,DETERMINISTIC_RH,LEXMMFPEA,pv,lexicographic_pv,5,610.0443896475747,0.27699813916498744,375.70205987044113,234.34232977713356,18613.742720820155,0.07320204192523908,42093.09430803221,-23479.351587212055,19.390598808100524,590.6537908394741,5,2,610.0443896475747,102268.86484180331,2202.3411113394372,254279.00959143037,259.55901688408795,2678.1477232555044,180.9092053837996,48177.65419503057
oos_experiment,shared_battery_mode_node_level_v1,SI-Drahi_16-d2-HET-UHI-BHI-b5ad1d7920,TK-PB-Drahi_16-d2-HET-UHI-73ba6c8406-r5,5,DETERMINISTIC_RH,LEXMMFSA,savings,lexicographic_savings,1,1127.907687214376,0.5121403225898992,395.0726347610957,732.8350524532802,29762.65290642972,0.18725828343151185,27617.51231708117,2145.14058934855,21.073383446298095,1106.834303768078,5,2,163.5590168840879,12484.969498701525,163.5590168840879,12484.969498701525,163.5590168840879,12484.969498701525,276.90920538379936,19302.8396823168
oos_experiment,shared_battery_mode_node_level_v1,SI-Drahi_16-d2-HET-UHI-BHI-b5ad1d7920,TK-PB-Drahi_16-d2-HET-UHI-73ba6c8406-r5,5,DETERMINISTIC_RH,LEXMMFSA,savings,lexicographic_savings,2,163.5590168840879,0.0742659781638519,383.6011315561608,-220.0421146720729,47690.07865950985,0.3000526295343899,27066.689764471877,20623.38889503797,163.55901688408818,-2.8421709430404007e-13,1,5,290.6722672272706,29762.65290642972,454.2312841113585,42247.622405131246,163.5590168840879,12484.969498701525,276.90920538379936,19302.8396823168
oos_experiment,shared_battery_mode_node_level_v1,SI-Drahi_16-d2-HET-UHI-BHI-b5ad1d7920,TK-PB-Drahi_16-d2-HET-UHI-73ba6c8406-r5,5,DETERMINISTIC_RH,LEXMMFSA,savings,lexicographic_savings,3,315.3031234823592,0.14316725136670394,531.4451536476249,-216.14203016526574,30274.145305221726,0.19047645047082726,39564.38199250072,-9290.236687278993,981.5846593556902,-666.281535873331,4,3,304.8990165313429,30274.145305221726,759.1303006427014,72521.76771035297,163.5590168840879,12484.969498701525,276.90920538379936,19302.8396823168
oos_experiment,shared_battery_mode_node_level_v1,SI-Drahi_16-d2-HET-UHI-BHI-b5ad1d7920,TK-PB-Drahi_16-d2-HET-UHI-73ba6c8406-r5,5,DETERMINISTIC_RH,LEXMMFSA,savings,lexicographic_savings,4,290.6722672272706,0.1319833089118912,516.520131504114,-225.84786427684344,38727.19953522881,0.24366070221885092,38379.85027382986,347.3492613989438,1016.7334528452596,-726.061185617989,2,4,315.3031234823592,38727.19953522881,1074.4334241250606,111248.96724558178,163.5590168840879,12484.969498701525,276.90920538379936,19302.8396823168
oos_experiment,shared_battery_mode_node_level_v1,SI-Drahi_16-d2-HET-UHI-BHI-b5ad1d7920,TK-PB-Drahi_16-d2-HET-UHI-73ba6c8406-r5,5,DETERMINISTIC_RH,LEXMMFSA,savings,lexicographic_savings,5,304.8990165313429,0.1384431389676539,375.7020598704409,-70.803043339098,12484.969498701525,0.07855193434442007,26310.611557207965,-13825.64205850644,19.390598808100524,285.50841772324236,3,1,1127.907687214376,47690.07865950985,2202.341111339437,158939.04590509163,163.5590168840879,12484.969498701525,276.90920538379936,19302.8396823168
oos_experiment,shared_battery_mode_node_level_v1,SI-Drahi_16-d2-HET-UHI-BHI-b5ad1d7920,TK-PB-Drahi_16-d2-HET-UHI-73ba6c8406-r5,5,DETERMINISTIC_RH,NONE,none,descriptive_only,1,0.0,0.0,395.07263476109574,-395.07263476109574,-9248.639999999548,-0.022662161543977478,70913.75762994439,-80162.39762994394,21.073383446298095,-21.073383446298095,1,1,0.0,-9248.639999999548,0.0,-9248.639999999548,0.0,-9248.639999999548,440.46822226788737,90870.50984725068
oos_experiment,shared_battery_mode_node_level_v1,SI-Drahi_16-d2-HET-UHI-BHI-b5ad1d7920,TK-PB-Drahi_16-d2-HET-UHI-73ba6c8406-r5,5,DETERMINISTIC_RH,NONE,none,descriptive_only,2,163.5590168840879,0.07426597816385189,383.60113155616085,-220.04211467207296,24464.13484200598,0.05994504876643642,69499.4051515467,-45035.27030954072,163.55901688408818,-2.8421709430404007e-13,3,3,40.46398225439843,6644.590525994834,40.46398225439843,-2604.0494740047143,0.0,-9248.639999999548,440.46822226788737,90870.50984725068
oos_experiment,shared_battery_mode_node_level_v1,SI-Drahi_16-d2-HET-UHI-BHI-b5ad1d7920,TK-PB-Drahi_16-d2-HET-UHI-73ba6c8406-r5,5,DETERMINISTIC_RH,NONE,none,descriptive_only,3,1101.8987582335535,0.5003306493077234,531.445153647625,570.4536045859285,208070.79692443454,0.5098407995646818,101589.85223515077,106480.94468928377,981.5846593556902,120.31409887786333,5,5,163.5590168840879,24464.13484200598,204.02299913848634,21860.085368001266,0.0,-9248.639999999548,440.46822226788737,90870.50984725068
oos_experiment,shared_battery_mode_node_level_v1,SI-Drahi_16-d2-HET-UHI-BHI-b5ad1d7920,TK-PB-Drahi_16-d2-HET-UHI-73ba6c8406-r5,5,DETERMINISTIC_RH,NONE,none,descriptive_only,4,896.419353967397,0.4070302049722923,516.5201315041141,379.89922246328285,178178.4669438199,0.4365949157432114,98548.31850689916,79630.14843692073,1016.7334528452596,-120.31409887786265,4,4,896.419353967397,178178.4669438199,1100.4423531058833,200038.55231182114,0.0,-9248.639999999548,440.46822226788737,90870.50984725068
oos_experiment,shared_battery_mode_node_level_v1,SI-Drahi_16-d2-HET-UHI-BHI-b5ad1d7920,TK-PB-Drahi_16-d2-HET-UHI-73ba6c8406-r5,5,DETERMINISTIC_RH,NONE,none,descriptive_only,5,40.46398225439843,0.018373167556132452,375.702059870441,-335.2380776160426,6644.590525994834,0.016281397469647924,67558.01571271462,-60913.42518671979,19.390598808100524,21.073383446297907,2,2,1101.8987582335535,208070.79692443454,2202.341111339437,408109.3492362557,0.0,-9248.639999999548,440.46822226788737,90870.50984725068
oos_experiment,shared_battery_mode_node_level_v1,SI-Drahi_16-d2-HET-UHI-BHI-b5ad1d7920,TK-PB-Drahi_16-d2-HET-UHI-73ba6c8406-r5,5,DETERMINISTIC_RH,PEA,pv,proportional_pv,1,684.7639308075647,0.310925463490576,395.0726347610958,289.69129604646895,6039.439570888004,0.025202809547869555,41639.12908449396,-35599.689513605954,21.073383446298095,663.6905473612667,5,1,250.14811116873105,6039.439570888004,250.14811116873105,6039.439570888004,250.14811116873105,6039.439570888004,190.32011109915638,41887.27716612381
oos_experiment,shared_battery_mode_node_level_v1,SI-Drahi_16-d2-HET-UHI-BHI-b5ad1d7920,TK-PB-Drahi_16-d2-HET-UHI-73ba6c8406-r5,5,DETERMINISTIC_RH,PEA,pv,proportional_pv,2,250.14811116873105,0.11358281870177413,383.6011315561609,-133.45302038742986,35415.266047664496,0.14778924349021705,40808.64981802638,-5393.383770361885,163.55901688408818,86.58909428464287,1,3,403.08561436458785,16340.379347806796,653.2337255333189,22379.8189186948,250.14811116873105,6039.439570888004,190.32011109915638,41887.27716612381
oos_experiment,shared_battery_mode_node_level_v1,SI-Drahi_16-d2-HET-UHI-BHI-b5ad1d7920,TK-PB-Drahi_16-d2-HET-UHI-73ba6c8406-r5,5,DETERMINISTIC_RH,PEA,pv,proportional_pv,3,433.6354026523144,0.19689747442828354,531.445153647625,-97.80975099531065,93350.22516664225,0.3895540171419744,59651.513504170616,33698.71166247164,981.5846593556902,-547.9492567033758,4,5,430.708052346239,35415.266047664496,1083.941777879558,57795.084966359296,250.14811116873105,6039.439570888004,190.32011109915638,41887.27716612381
oos_experiment,shared_battery_mode_node_level_v1,SI-Drahi_16-d2-HET-UHI-BHI-b5ad1d7920,TK-PB-Drahi_16-d2-HET-UHI-73ba6c8406-r5,5,DETERMINISTIC_RH,PEA,pv,proportional_pv,4,403.08561436458785,0.18302596827039025,516.5201315041143,-113.4345171395264,88488.2735520575,0.36926490933071443,57865.58620658749,30622.687345470003,1016.7334528452596,-613.6478384806718,2,4,433.6354026523144,88488.2735520575,1517.5771805318723,146283.3585184168,250.14811116873105,6039.439570888004,190.32011109915638,41887.27716612381
oos_experiment,shared_battery_mode_node_level_v1,SI-Drahi_16-d2-HET-UHI-BHI-b5ad1d7920,TK-PB-Drahi_16-d2-HET-UHI-73ba6c8406-r5,5,DETERMINISTIC_RH,PEA,pv,proportional_pv,5,430.708052346239,0.195568275108976,375.702059870441,55.005992475797996,16340.379347806796,0.06818902048922455,39668.7050717806,-23328.3257239738,19.390598808100524,411.31745353813847,3,2,684.7639308075647,93350.22516664225,2202.3411113394372,239633.58368505904,250.14811116873105,6039.439570888004,190.32011109915638,41887.27716612381
oos_experiment,shared_battery_mode_node_level_v1,SI-Drahi_16-d2-HET-UHI-BHI-b5ad1d7920,TK-PB-Drahi_16-d2-HET-UHI-73ba6c8406-r5,5,DETERMINISTIC_RH,SA,savings,proportional_savings,1,1476.2259961128398,0.6702985239262128,395.0726347610958,1081.153361351744,30223.8634119763,0.21336795426769453,24613.577375394005,5610.286036582296,21.073383446298095,1455.1526126665417,5,4,41.52562596982111,13237.418702840165,41.52562596982111,13237.418702840165,41.52562596982111,13237.418702840165,398.9425962980663,15092.855649471436
oos_experiment,shared_battery_mode_node_level_v1,SI-Drahi_16-d2-HET-UHI-BHI-b5ad1d7920,TK-PB-Drahi_16-d2-HET-UHI-73ba6c8406-r5,5,DETERMINISTIC_RH,SA,savings,proportional_savings,2,56.64209920249024,0.02571904003010742,383.6011315561609,-326.95903235367064,24362.97349490928,0.17199249955672521,24122.66735558112,240.3061393281605,163.55901688408818,-106.91691768159794,2,2,56.64209920249024,24362.97349490928,98.16772517231135,37600.39219774945,41.52562596982111,13237.418702840165,398.9425962980663,15092.855649471436
