Replication,Period,Controller,Fairness,FormulationID,FailureMessage
1,21,TWO_STAGE_RH,LEXMMFSA,shared_battery_mode_node_level_v1,"Bloque 21:24: La fase lexicográfica 1 no produjo valores (estado TIME_LIMIT). FAILURE_SOURCE=FAILURE_FAIRNESS_RULE (el modelo físico sin regla distributiva es factible en este período, así que la regla es inalcanzable dado el pasado realizado fijo)"
1,5,TWO_STAGE_RH,SA,shared_battery_mode_node_level_v1,"Bloque 5:8: El modelo no produjo valores (terminación TIME_LIMIT, primal NO_SOLUTION). PEA_RECOVERY=blocked_no_infeasibility_proof FAILURE_SOURCE=FAILURE_UNDETERMINED"
1,13,TWO_STAGE_RH,SA,shared_battery_mode_node_level_v1,"Bloque 13:16: El modelo no produjo valores (terminación TIME_LIMIT, primal NO_SOLUTION). PEA_RECOVERY=blocked_no_infeasibility_proof FAILURE_SOURCE=FAILURE_UNDETERMINED"
