Reading override parameter file '/home/franco/Documentos/Multistage_stochastic_fair_allocation/results_models/fairness_comparison/cplex_threads_1.prm' succeeded.
SKIP STATIC_DEMAND_SHARE C0001 stage=missing: resultado completo.
SKIP STATIC_DEMAND_SHARE C0002 stage=missing: resultado completo.
SKIP STATIC_DEMAND_SHARE C0003 stage=missing: resultado completo.
SKIP STATIC_DEMAND_SHARE C0004 stage=missing: resultado completo.
SKIP STATIC_DEMAND_SHARE C0005 stage=missing: resultado completo.
SKIP STATIC_DEMAND_SHARE C0006 stage=missing: resultado completo.
SKIP STATIC_DEMAND_SHARE C0007 stage=missing: resultado completo.
SKIP STATIC_DEMAND_SHARE C0008 stage=missing: resultado completo.
SKIP STATIC_DEMAND_SHARE C0009 stage=missing: resultado completo.
SKIP STATIC_DEMAND_SHARE C0010 stage=missing: resultado completo.
STATIC_DEMAND_SHARE completado: 10 filas de resumen.
