ExperimentID,FormulationID,Controller,Fairness,Resource,Replications,CompletedReplications,PeriodsSolved,ConfigPEAToleranceActivations,ConfigPEAToleranceActivationRate,ConfigPEAToleranceMeanActive,ConfigPEAToleranceMeanAllPeriods,ConfigPEAToleranceMax,ConfigPEAStrictFeasiblePeriods
oos_experiment,shared_battery_mode_node_level_v1,DETERMINISTIC_RH,LEXMMFPEA,pv,800,800,19200,0,0.0,0.0,0.0,0.0,19200
oos_experiment,shared_battery_mode_node_level_v1,DETERMINISTIC_RH,LEXMMFSA,savings,800,800,19200,0,0.0,0.0,0.0,0.0,19200
oos_experiment,shared_battery_mode_node_level_v1,DETERMINISTIC_RH,NONE,none,800,800,19200,0,0.0,0.0,0.0,0.0,19200
oos_experiment,shared_battery_mode_node_level_v1,DETERMINISTIC_RH,PEA,pv,800,800,19200,16,0.0008333333333333334,14.237897857358833,0.01186491488113236,25.146581848057853,19184
oos_experiment,shared_battery_mode_node_level_v1,DETERMINISTIC_RH,SA,savings,800,800,19200,0,0.0,0.0,0.0,0.0,19200
oos_experiment,shared_battery_mode_node_level_v1,DETERMINISTIC_RH,STATIC_DEMAND_SHARE,pv,800,800,19200,0,0.0,0.0,0.0,0.0,19200
oos_experiment,shared_battery_mode_node_level_v1,MULTISTAGE_RH,LEXMMFPEA,pv,800,800,19200,0,0.0,0.0,0.0,0.0,19200
oos_experiment,shared_battery_mode_node_level_v1,MULTISTAGE_RH,LEXMMFSA,savings,800,800,19200,0,0.0,0.0,0.0,0.0,19200
oos_experiment,shared_battery_mode_node_level_v1,MULTISTAGE_RH,NONE,none,800,800,19200,0,0.0,0.0,0.0,0.0,19200
oos_experiment,shared_battery_mode_node_level_v1,MULTISTAGE_RH,PEA,pv,800,800,19200,0,0.0,0.0,0.0,0.0,19200
oos_experiment,shared_battery_mode_node_level_v1,MULTISTAGE_RH,SA,savings,800,799,19192,0,0.0,0.0,0.0,0.0,19192
oos_experiment,shared_battery_mode_node_level_v1,MULTISTAGE_RH,STATIC_DEMAND_SHARE,pv,800,800,19200,0,0.0,0.0,0.0,0.0,19200
oos_experiment,shared_battery_mode_node_level_v1,TWO_STAGE_RH,LEXMMFPEA,pv,800,800,19200,0,0.0,0.0,0.0,0.0,19200
oos_experiment,shared_battery_mode_node_level_v1,TWO_STAGE_RH,LEXMMFSA,savings,800,728,18312,0,0.0,0.0,0.0,0.0,18312
oos_experiment,shared_battery_mode_node_level_v1,TWO_STAGE_RH,NONE,none,800,800,19200,0,0.0,0.0,0.0,0.0,19200
oos_experiment,shared_battery_mode_node_level_v1,TWO_STAGE_RH,PEA,pv,800,800,19200,0,0.0,0.0,0.0,0.0,19200
oos_experiment,shared_battery_mode_node_level_v1,TWO_STAGE_RH,SA,savings,800,639,16424,0,0.0,0.0,0.0,0.0,16424
oos_experiment,shared_battery_mode_node_level_v1,TWO_STAGE_RH,STATIC_DEMAND_SHARE,pv,800,800,19200,0,0.0,0.0,0.0,0.0,19200
