StructuralInstanceID,BatteryLevel,DemandRegime,UncertaintyLevel,StructuralDraw,ImplementationStep,Fairness,Baseline,Comparison,ObjectiveCriterion,PairedObservations,MeanDifference,StdDifference,StandardError,ConfidenceLow,ConfidenceHigh,MeanRelativePercent,RelativeDenominatorFloor,ZeroDenominatorObservations
SI-Drahi_1-d1-HET-UHI-BHI-3c909a552c,HIGH_BATTERY,HETEROGENEOUS,HIGH_UNCERTAINTY,1,4,SA,MULTISTAGE_RH,TWO_STAGE_RH,risk_neutral_expectation,5,-1815.083530479623,3235.2394174693736,1446.843052189668,-4650.895912771372,1020.7288518121261,-26.440712822887853,1.0e-6,0
SI-Drahi_1-d1-HET-UHI-BHI-3c909a552c,HIGH_BATTERY,HETEROGENEOUS,HIGH_UNCERTAINTY,1,4,STATIC_DEMAND_SHARE,MULTISTAGE_RH,TWO_STAGE_RH,risk_neutral_expectation,5,-5.820766091346741e-11,5.820766091346741e-11,2.6031257322754125e-11,-1.0922892526606549e-10,-7.186396560869327e-12,-1.106470349655546e-12,1.0e-6,0
SI-Drahi_1-d1-HET-UHI-BLO-a2a2b24b7c,LOW_BATTERY,HETEROGENEOUS,HIGH_UNCERTAINTY,1,4,LEXMMFPEA,DETERMINISTIC_RH,MULTISTAGE_RH,risk_neutral_expectation,5,-368.0519340165891,515.884128304613,230.7103958804676,-820.2443099423056,84.14044190912739,-5.242141725497677,1.0e-6,0
SI-Drahi_1-d1-HET-UHI-BLO-a2a2b24b7c,LOW_BATTERY,HETEROGENEOUS,HIGH_UNCERTAINTY,1,4,LEXMMFSA,DETERMINISTIC_RH,MULTISTAGE_RH,risk_neutral_expectation,5,-203.23039636467584,361.1695563824551,161.51993589492253,-519.809470718724,113.3486779893723,-2.5947971335240885,1.0e-6,0
SI-Drahi_1-d1-HET-UHI-BLO-a2a2b24b7c,LOW_BATTERY,HETEROGENEOUS,HIGH_UNCERTAINTY,1,4,NONE,DETERMINISTIC_RH,MULTISTAGE_RH,risk_neutral_expectation,5,-4.560417736100499,7.190223909162896,3.2155658868665014,-10.862926874358841,1.7420914021578433,-0.08685844694962555,1.0e-6,0
SI-Drahi_1-d1-HET-UHI-BLO-a2a2b24b7c,LOW_BATTERY,HETEROGENEOUS,HIGH_UNCERTAINTY,1,4,PEA,DETERMINISTIC_RH,MULTISTAGE_RH,risk_neutral_expectation,5,-2155.9825116805964,348.38903403121594,155.80431254185729,-2461.3589642626366,-1850.6060590985562,-32.005582326688376,1.0e-6,0
SI-Drahi_1-d1-HET-UHI-BLO-a2a2b24b7c,LOW_BATTERY,HETEROGENEOUS,HIGH_UNCERTAINTY,1,4,SA,DETERMINISTIC_RH,MULTISTAGE_RH,risk_neutral_expectation,5,25189.36408453288,12522.066181032182,5600.038239907829,14213.289134313536,36165.43903475223,348.6212008798158,1.0e-6,0
SI-Drahi_1-d1-HET-UHI-BLO-a2a2b24b7c,LOW_BATTERY,HETEROGENEOUS,HIGH_UNCERTAINTY,1,4,STATIC_DEMAND_SHARE,DETERMINISTIC_RH,MULTISTAGE_RH,risk_neutral_expectation,5,-4.560417736077215,7.190223909181356,3.215565886874757,-10.86292687435174,1.7420914021973086,-0.08685844694918378,1.0e-6,0
SI-Drahi_1-d1-HET-UHI-BLO-a2a2b24b7c,LOW_BATTERY,HETEROGENEOUS,HIGH_UNCERTAINTY,1,4,LEXMMFPEA,DETERMINISTIC_RH,TWO_STAGE_RH,risk_neutral_expectation,5,-368.05193401665895,515.884128304637,230.71039588047833,-820.2443099423965,84.14044190907856,-5.242141725498579,1.0e-6,0
SI-Drahi_1-d1-HET-UHI-BLO-a2a2b24b7c,LOW_BATTERY,HETEROGENEOUS,HIGH_UNCERTAINTY,1,4,LEXMMFSA,DETERMINISTIC_RH,TWO_STAGE_RH,risk_neutral_expectation,5,-203.2303963643266,361.1695563890904,161.51993589788992,-519.8094707241909,113.34867799553766,-2.5947971335134037,1.0e-6,0
SI-Drahi_1-d1-HET-UHI-BLO-a2a2b24b7c,LOW_BATTERY,HETEROGENEOUS,HIGH_UNCERTAINTY,1,4,NONE,DETERMINISTIC_RH,TWO_STAGE_RH,risk_neutral_expectation,5,-4.560417736100499,7.190223909162896,3.2155658868665014,-10.862926874358841,1.7420914021578433,-0.08685844694962555,1.0e-6,0
SI-Drahi_1-d1-HET-UHI-BLO-a2a2b24b7c,LOW_BATTERY,HETEROGENEOUS,HIGH_UNCERTAINTY,1,4,PEA,DETERMINISTIC_RH,TWO_STAGE_RH,risk_neutral_expectation,5,-2155.982511680876,348.3890340311347,155.80431254182096,-2461.3589642628453,-1850.606059098907,-32.00558232669249,1.0e-6,0
SI-Drahi_1-d1-HET-UHI-BLO-a2a2b24b7c,LOW_BATTERY,HETEROGENEOUS,HIGH_UNCERTAINTY,1,4,SA,DETERMINISTIC_RH,TWO_STAGE_RH,risk_neutral_expectation,5,26954.724966744496,14046.81141761005,6281.925039379251,14642.151889561164,39267.298043927825,373.14991125421807,1.0e-6,0
SI-Drahi_1-d1-HET-UHI-BLO-a2a2b24b7c,LOW_BATTERY,HETEROGENEOUS,HIGH_UNCERTAINTY,1,4,STATIC_DEMAND_SHARE,DETERMINISTIC_RH,TWO_STAGE_RH,risk_neutral_expectation,5,-4.560417736100499,7.190223909162896,3.2155658868665014,-10.862926874358841,1.7420914021578433,-0.08685844694962555,1.0e-6,0
SI-Drahi_1-d1-HET-UHI-BLO-a2a2b24b7c,LOW_BATTERY,HETEROGENEOUS,HIGH_UNCERTAINTY,1,4,LEXMMFPEA,MULTISTAGE_RH,TWO_STAGE_RH,risk_neutral_expectation,5,-6.984919309616089e-11,3.4534365344306743e-10,1.544423769393656e-10,-3.7255625189731746e-10,2.3285786570499566e-10,-9.019856712935405e-13,1.0e-6,0
SI-Drahi_1-d1-HET-UHI-BLO-a2a2b24b7c,LOW_BATTERY,HETEROGENEOUS,HIGH_UNCERTAINTY,1,4,LEXMMFSA,MULTISTAGE_RH,TWO_STAGE_RH,risk_neutral_expectation,5,3.4924596548080444e-10,9.753561624966799e-9,4.361925363231814e-9,-8.200127746453552e-9,8.89861967741516e-9,1.0662087940261233e-11,1.0e-6,0
