StructuralInstanceID,BatteryLevel,DemandRegime,UncertaintyLevel,StructuralDraw,Theta,BatteryScale,ImplementationStep,Controller,Fairness,Resource,ObjectiveCriterion,Replications,MeanOperatingCost,StdOperatingCost,MeanSavings,MeanMinHouseholdPV,MeanMinHouseholdSavings,MeanMaxPVRelativeDeviation,MeanMaxSavingsRelativeDeviation
SI-Drahi_1-d1-HET-UHI-BHI-3c909a552c,HIGH_BATTERY,HETEROGENEOUS,HIGH_UNCERTAINTY,1,0.4,2.0,4,TWO_STAGE_RH,PEA,pv,risk_neutral_expectation,5,643310.4118950327,15794.042981086495,203502.86621290474,114.30382579222297,10201.571732074182,0.6090703356559087,0.8987547398699108
SI-Drahi_1-d1-HET-UHI-BHI-3c909a552c,HIGH_BATTERY,HETEROGENEOUS,HIGH_UNCERTAINTY,1,0.4,2.0,4,TWO_STAGE_RH,SA,savings,risk_neutral_expectation,5,700426.4659412566,35105.21081768538,146386.81216668087,87.86987938768642,22285.133445532178,0.8146158126725942,0.32738227717329516
SI-Drahi_1-d1-HET-UHI-BHI-3c909a552c,HIGH_BATTERY,HETEROGENEOUS,HIGH_UNCERTAINTY,1,0.4,2.0,4,TWO_STAGE_RH,STATIC_DEMAND_SHARE,pv,risk_neutral_expectation,5,537163.2026102301,18133.63206372048,309650.0754977073,46.37057409256958,8854.244803865964,1.7893811881077162,1.5718328001692856
SI-Drahi_1-d1-HET-UHI-BLO-a2a2b24b7c,LOW_BATTERY,HETEROGENEOUS,HIGH_UNCERTAINTY,1,0.4,0.5,4,DETERMINISTIC_RH,LEXMMFPEA,pv,risk_neutral_expectation,5,697995.9458183193,35258.59678466376,148817.33228961806,119.88910594466316,8244.74502313665,0.8674873742494242,0.8386646219397917
SI-Drahi_1-d1-HET-UHI-BLO-a2a2b24b7c,LOW_BATTERY,HETEROGENEOUS,HIGH_UNCERTAINTY,1,0.4,0.5,4,DETERMINISTIC_RH,LEXMMFSA,savings,risk_neutral_expectation,5,756298.487824056,48399.98845627649,90514.79028388156,57.25792441063588,12466.883959736257,1.8766667220358932,0.44968936382712554
SI-Drahi_1-d1-HET-UHI-BLO-a2a2b24b7c,LOW_BATTERY,HETEROGENEOUS,HIGH_UNCERTAINTY,1,0.4,0.5,4,DETERMINISTIC_RH,NONE,none,risk_neutral_expectation,5,538528.8341840955,18173.828570157504,308284.44392384205,7.405704329313645,4760.180470130435,1.7893811881077162,1.7179228801116615
SI-Drahi_1-d1-HET-UHI-BLO-a2a2b24b7c,LOW_BATTERY,HETEROGENEOUS,HIGH_UNCERTAINTY,1,0.4,0.5,4,DETERMINISTIC_RH,PEA,pv,risk_neutral_expectation,5,675196.6989771572,15045.968735678858,171616.57913078024,199.591591369682,6001.658043402975,0.5084266023210466,0.9286095473882969
SI-Drahi_1-d1-HET-UHI-BLO-a2a2b24b7c,LOW_BATTERY,HETEROGENEOUS,HIGH_UNCERTAINTY,1,0.4,0.5,4,DETERMINISTIC_RH,SA,savings,risk_neutral_expectation,5,736641.3611792296,37771.91367566975,110171.91692870785,88.86264764015229,16125.305551898535,2.167194468264046,0.21226712850920185
SI-Drahi_1-d1-HET-UHI-BLO-a2a2b24b7c,LOW_BATTERY,HETEROGENEOUS,HIGH_UNCERTAINTY,1,0.4,0.5,4,DETERMINISTIC_RH,STATIC_DEMAND_SHARE,pv,risk_neutral_expectation,5,538528.8341840955,18173.828570157504,308284.44392384205,46.37057409256967,8540.849903580627,1.7893811881077162,1.6905679434162209
SI-Drahi_1-d1-HET-UHI-BLO-a2a2b24b7c,LOW_BATTERY,HETEROGENEOUS,HIGH_UNCERTAINTY,1,0.4,0.5,4,MULTISTAGE_RH,LEXMMFPEA,pv,risk_neutral_expectation,5,697627.8938843028,35177.78504478395,149185.38422363473,246.44783327204033,6166.350195033627,0.4256974318193542,0.9280999179089978
