ExperimentID,FormulationID,StructuralInstanceID,ParallelTaskID,Replication,Controller,Fairness,Resource,ApplicableDiagnostic,House,PVAllocation,PVRate,PVProportionalTarget,PVDeviation,Savings,SavingsRate,SavingsProportionalTarget,SavingsDeviation,StaticShareTarget,StaticShareDeviation,PVOrderStatistic,SavingsOrderStatistic,SortedPV,SortedSavings,CumulativePVOrder,CumulativeSavingsOrder,MinHouseholdPV,MinHouseholdSavings,LexicographicPVShortfall,LexicographicSavingsShortfall
oos_experiment,shared_battery_mode_node_level_v1,SI-Drahi_100-d1-HOM-UHI-BHI-ef43a2ddf4,TK-PB-Drahi_100-d1-HOM-UHI-90e8ef9a1e-r3,3,DETERMINISTIC_RH,LEXMMFPEA,pv,lexicographic_pv,1,7.590832190673462,0.02087297038938143,73.29986984266871,-65.70903765199525,2553.7294442036946,0.03985843949645703,12900.231792535997,-10346.502348332302,74.64874823850548,-67.05791604783201,1,2,7.590832190673462,-3888.1905557961436,7.590832190673462,-3888.1905557961436,7.590832190673462,-3888.1905557961436,65.14277542786745,16702.18667037405
oos_experiment,shared_battery_mode_node_level_v1,SI-Drahi_100-d1-HOM-UHI-BHI-ef43a2ddf4,TK-PB-Drahi_100-d1-HOM-UHI-90e8ef9a1e-r3,3,DETERMINISTIC_RH,LEXMMFPEA,pv,lexicographic_pv,2,7.590832190673496,0.020872970389381528,73.35545927512908,-65.76462708445558,-3888.1905557961436,-0.060686619865175775,12908.612693064802,-16796.803248860946,71.5141548359945,-63.92332264532101,2,1,7.590832190673496,2553.7294442036946,15.181664381346959,-1334.461111592449,7.590832190673462,-3888.1905557961436,65.14277542786745,16702.18667037405
oos_experiment,shared_battery_mode_node_level_v1,SI-Drahi_100-d1-HOM-UHI-BHI-ef43a2ddf4,TK-PB-Drahi_100-d1-HOM-UHI-90e8ef9a1e-r3,3,DETERMINISTIC_RH,LEXMMFPEA,pv,lexicographic_pv,3,118.89177044539781,0.3269238920993394,70.97461010428594,47.91716034111187,20740.602021662213,0.3237179383575209,12484.084156038189,8256.517865624024,73.34024821283732,45.55152223256049,4,4,70.73162259025257,7576.342770366726,85.91328697159953,6241.881658774277,7.590832190673462,-3888.1905557961436,65.14277542786745,16702.18667037405
oos_experiment,shared_battery_mode_node_level_v1,SI-Drahi_100-d1-HOM-UHI-BHI-ef43a2ddf4,TK-PB-Drahi_100-d1-HOM-UHI-90e8ef9a1e-r3,3,DETERMINISTIC_RH,LEXMMFPEA,pv,lexicographic_pv,4,70.73162259025257,0.19449502068208147,72.8210271101165,-2.0894045198639333,7576.342770366726,0.11825105459096343,12842.856613490336,-5266.51384312361,72.25943188483078,-1.527809294578205,3,3,118.89177044539781,20740.602021662213,204.80505741699736,26982.48368043649,7.590832190673462,-3888.1905557961436,65.14277542786745,16702.18667037405
oos_experiment,shared_battery_mode_node_level_v1,SI-Drahi_100-d1-HOM-UHI-BHI-ef43a2ddf4,TK-PB-Drahi_100-d1-HOM-UHI-90e8ef9a1e-r3,3,DETERMINISTIC_RH,LEXMMFPEA,pv,lexicographic_pv,5,158.8629806757073,0.43683514643981625,73.21707176050434,85.64590891520295,37087.49689245304,0.5788591874202345,12934.1953177602,24153.30157469284,71.90545492053613,86.95752575517116,5,5,158.8629806757073,37087.49689245304,363.66803809270465,64069.98057288953,7.590832190673462,-3888.1905557961436,65.14277542786745,16702.18667037405
oos_experiment,shared_battery_mode_node_level_v1,SI-Drahi_100-d1-HOM-UHI-BHI-ef43a2ddf4,TK-PB-Drahi_100-d1-HOM-UHI-90e8ef9a1e-r3,3,DETERMINISTIC_RH,LEXMMFSA,savings,lexicographic_savings,1,69.4734704644085,0.19103540368510094,73.29986984266874,-3.826399378260234,12377.087973063113,0.19318076675522408,12900.231792536002,-523.1438194728889,74.64874823850548,-5.175277774096969,3,2,30.47787201159619,677.038394446543,30.47787201159619,677.038394446543,30.47787201159619,677.038394446543,42.255735606944754,12136.957720131366
oos_experiment,shared_battery_mode_node_level_v1,SI-Drahi_100-d1-HOM-UHI-BHI-ef43a2ddf4,TK-PB-Drahi_100-d1-HOM-UHI-90e8ef9a1e-r3,3,DETERMINISTIC_RH,LEXMMFSA,savings,lexicographic_savings,2,49.664843617358024,0.1365664243628077,73.3554592751291,-23.690615657771083,15751.554897112073,0.2458492223076646,12908.612693064806,2842.9422040472673,71.5141548359945,-21.84931121863648,2,4,49.664843617358024,12377.087973063113,80.14271562895422,13054.126367509656,30.47787201159619,677.038394446543,42.255735606944754,12136.957720131366
oos_experiment,shared_battery_mode_node_level_v1,SI-Drahi_100-d1-HOM-UHI-BHI-ef43a2ddf4,TK-PB-Drahi_100-d1-HOM-UHI-90e8ef9a1e-r3,3,DETERMINISTIC_RH,LEXMMFSA,savings,lexicographic_savings,3,96.6341133104552,0.2657206660702518,70.97461010428596,25.659503206169248,12619.848055815586,0.1969697499979503,12484.084156038192,135.76389977739382,73.34024821283732,23.293865097617882,4,3,69.4734704644085,12619.848055815586,149.61618609336273,25673.974423325242,30.47787201159619,677.038394446543,42.255735606944754,12136.957720131366
oos_experiment,shared_battery_mode_node_level_v1,SI-Drahi_100-d1-HOM-UHI-BHI-ef43a2ddf4,TK-PB-Drahi_100-d1-HOM-UHI-90e8ef9a1e-r3,3,DETERMINISTIC_RH,LEXMMFSA,savings,lexicographic_savings,4,117.41773868888677,0.32287065782491214,72.82102711011653,44.59671157877024,22644.45125245223,0.353433090660776,12842.85661349034,9801.59463896189,72.25943188483078,45.158306804056,5,5,96.6341133104552,15751.554897112073,246.25029940381793,41425.529320437316,30.47787201159619,677.038394446543,42.255735606944754,12136.957720131366
oos_experiment,shared_battery_mode_node_level_v1,SI-Drahi_100-d1-HOM-UHI-BHI-ef43a2ddf4,TK-PB-Drahi_100-d1-HOM-UHI-90e8ef9a1e-r3,3,DETERMINISTIC_RH,LEXMMFSA,savings,lexicographic_savings,5,30.47787201159619,0.0838068480569274,73.21707176050437,-42.73919974890818,677.038394446543,0.010567170278385003,12934.195317760204,-12257.156923313662,71.90545492053613,-41.42758290893994,1,1,117.41773868888677,22644.45125245223,363.6680380927047,64069.980572889544,30.47787201159619,677.038394446543,42.255735606944754,12136.957720131366
oos_experiment,shared_battery_mode_node_level_v1,SI-Drahi_100-d1-HOM-UHI-BHI-ef43a2ddf4,TK-PB-Drahi_100-d1-HOM-UHI-90e8ef9a1e-r3,3,DETERMINISTIC_RH,NONE,none,descriptive_only,1,7.590832190673462,0.02087297038938143,73.29986984266871,-65.70903765199525,-2784.116155796306,-0.04345429998420152,12900.231792536002,-15684.347948332308,74.64874823850548,-67.05791604783201,1,1,7.590832190673462,-2784.116155796306,7.590832190673462,-2784.116155796306,7.590832190673462,-2784.116155796306,65.14277542786745,15598.112270374215
oos_experiment,shared_battery_mode_node_level_v1,SI-Drahi_100-d1-HOM-UHI-BHI-ef43a2ddf4,TK-PB-Drahi_100-d1-HOM-UHI-90e8ef9a1e-r3,3,DETERMINISTIC_RH,NONE,none,descriptive_only,2,7.590832190673462,0.02087297038938143,73.35545927512908,-65.76462708445561,1542.5294442038285,0.024075697080147573,12908.612693064806,-11366.083248860978,71.5141548359945,-63.92332264532104,2,3,7.590832190673462,1542.5294442037703,15.181664381346923,-1241.5867115925357,7.590832190673462,-2784.116155796306,65.14277542786745,15598.112270374215
oos_experiment,shared_battery_mode_node_level_v1,SI-Drahi_100-d1-HOM-UHI-BHI-ef43a2ddf4,TK-PB-Drahi_100-d1-HOM-UHI-90e8ef9a1e-r3,3,DETERMINISTIC_RH,NONE,none,descriptive_only,3,7.590832190673462,0.02087297038938143,70.97461010428594,-63.383777913612484,1542.5294442037703,0.024075697080146664,12484.084156038192,-10941.554711834422,73.34024821283732,-65.74941602216386,3,2,7.590832190673462,1542.5294442038285,22.772496572020387,300.94273261129274,7.590832190673462,-2784.116155796306,65.14277542786745,15598.112270374215
oos_experiment,shared_battery_mode_node_level_v1,SI-Drahi_100-d1-HOM-UHI-BHI-ef43a2ddf4,TK-PB-Drahi_100-d1-HOM-UHI-90e8ef9a1e-r3,3,DETERMINISTIC_RH,NONE,none,descriptive_only,4,270.28375645484334,0.7432155926387566,72.8210271101165,197.46272934472682,50926.22133602826,0.7948530790967197,12842.85661349034,38083.364722537925,72.25943188483078,198.02432457001257,5,5,70.6117850658409,12842.81650424999,93.38428163786129,13143.759236861282,7.590832190673462,-2784.116155796306,65.14277542786745,15598.112270374215
oos_experiment,shared_battery_mode_node_level_v1,SI-Drahi_100-d1-HOM-UHI-BHI-ef43a2ddf4,TK-PB-Drahi_100-d1-HOM-UHI-90e8ef9a1e-r3,3,DETERMINISTIC_RH,NONE,none,descriptive_only,5,70.6117850658409,0.19416549619309925,73.21707176050434,-2.605286694663434,12842.81650424999,0.20044982672718767,12934.195317760204,-91.37881351021497,71.90545492053613,-1.2936698546952243,4,4,270.28375645484334,50926.22133602826,363.6680380927046,64069.980572889544,7.590832190673462,-2784.116155796306,65.14277542786745,15598.112270374215
