InstanceNo,InstanceFile,NBstage,Childs,Periods,Theta,Avg_d,Dev_d,DemandProfile,J,BatteryScale,PVScale,Fairness,InstFolder,InstanceID,Status,ExpectedCost,ScenarioCostExpected,ScenarioCostMin,ScenarioCostMax,RegretExpected,RegretMin,RegretMax,RunTimeSec,ModelSolveTimeSec
1,Drahi_1.csv,6,4,4,0.2,100.0,10.0,mixed,5,2.0,1.0,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,5_5460,true,580437.1280933799,580437.1280933815,434073.3922800617,706613.4733083488,0.23401954974442005,2.9409553815980413e-5,1.0842704832681898,44.80333590507507,11.65
1,Drahi_1.csv,6,4,4,0.2,100.0,20.0,mixed,5,2.0,1.0,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,5_5460,true,609456.8446164274,609456.8446164286,504679.44977820385,732837.1799190535,0.27357297711921785,0.0004356789323449724,1.3167012861384981,20.352041959762573,12.19
1,Drahi_1.csv,6,4,4,0.6,100.0,10.0,mixed,5,2.0,1.0,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,5_5460,true,706134.2107891394,706134.210789138,607484.85028241,799938.9221990415,0.5603047165092185,2.227539027255578e-5,3.774359599812326,10.080085039138794,6.3
1,Drahi_1.csv,6,4,4,0.6,100.0,20.0,mixed,5,2.0,1.0,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,5_5460,true,719408.2861636158,719408.286163615,629106.3856444944,829999.2706424311,0.48615291360936774,4.776473401417384e-5,4.04935770901346,16.274367094039917,9.1
1,Drahi_1.csv,6,4,4,0.2,100.0,10.0,mixed,10,2.0,1.0,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,10_5460,true,1.4705597188252574e6,1.4705597188252555e6,1.399184416222039e6,1.5602536124041937e6,0.716042687380659,5.158454682550726e-5,3.8005199299062533,37.198606967926025,20.97
1,Drahi_1.csv,6,4,4,0.2,100.0,20.0,mixed,10,2.0,1.0,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,10_5460,true,1.4277476397877582e6,1.4277476397877603e6,1.293296831092008e6,1.5654883153324467e6,0.42059286051400224,0.0002071401486553916,1.8737690997295937,40.75696897506714,24.76
1,Drahi_1.csv,6,4,4,0.6,100.0,10.0,mixed,10,2.0,1.0,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,10_5460,true,1.222410026228602e6,1.222410026228598e6,876302.0240373114,1.4846216986906466e6,0.5031002479111931,1.891440717085429e-5,3.215690597881311,27.957010984420776,14.92
1,Drahi_1.csv,6,4,4,0.6,100.0,20.0,mixed,10,2.0,1.0,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,10_5460,true,1.452795251928204e6,1.4527952519282007e6,1.1489169463240923e6,1.630599957238971e6,0.8474086374417997,3.249722842267082e-5,6.291352551195872,32.94654393196106,14.78
2,Drahi_2.csv,6,4,4,0.2,100.0,10.0,mixed,5,2.0,1.0,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,5_5460,true,626018.2647895548,626018.2647895537,540550.1655691549,711805.02755655,0.36645654545798884,4.545479876011167e-6,1.7937144294423062,21.61585807800293,13.44
2,Drahi_2.csv,6,4,4,0.2,100.0,20.0,mixed,5,2.0,1.0,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,5_5460,true,615828.4325891573,615828.4325891569,502352.9700577558,710686.7034318171,0.39910005296376105,5.075252723675598e-5,1.7068048620540508,21.23623490333557,16.4
