Policy,Theta,Mean,Min,Max,Std
PEA,0.2,7.128641347609259,-1.1227171051335999e-13,23.811561875727694,6.842502315215915
PEA,0.6,10.614333825055498,0.07586861825959774,29.557690486915522,7.7336601141520624
SA,0.2,10.511653947969624,-2.7265986838958856e-13,40.4353220926096,10.523176502099155
SA,0.6,13.59364903910993,0.023121194918838336,53.587476451566346,12.47272198906098
MM PEA,0.2,8.245298154573122,-1.1227171051335999e-13,33.09999166184531,9.036470823813064
MM PEA,0.6,15.36502627283638,0.10712969223419644,61.55526223730728,14.084276123309307
MM SA,0.2,11.68723917097422,-2.0850460523909712e-13,48.771625839787916,12.663968299969833
MM SA,0.6,19.22444948653537,0.04472623144493845,83.23947863514469,19.26117681785056
