InstanceNo,InstanceFile,NBstage,Childs,Periods,Theta,Avg_d,Dev_d,DemandProfile,J,BatteryScale,PVScale,Fairness,InstFolder,InstanceID,Status,ExpectedCost,ScenarioCostExpected,ScenarioCostMin,ScenarioCostMax,RegretExpected,RegretMin,RegretMax,RunTimeSec,ModelSolveTimeSec
1,Drahi_1.csv,6,4,4,0.2,100.0,10.0,mixed,5,2.0,1.0,LEXMMFSA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,5_5460,true,577831.8168729923,577831.8168729959,430968.25480074657,704905.5399160932,0.23562120289508046,0.00018289656563833271,1.8302678700303465,36.997950077056885,26.42
1,Drahi_1.csv,6,4,4,0.2,100.0,20.0,mixed,5,2.0,1.0,LEXMMFSA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,5_5460,true,617860.5358596713,617860.5358596729,515994.98439371627,744152.7145345659,0.32411215618862316,4.212298008707829e-5,2.184270115349926,37.6246280670166,33.18
1,Drahi_1.csv,6,4,4,0.6,100.0,10.0,mixed,5,2.0,1.0,LEXMMFSA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,5_5460,true,769174.307478819,769174.3074788181,651108.9444411116,981237.6271711572,14.73963313035897,0.0005794696881614307,6729.8600531716,53.69578289985657,50.3
1,Drahi_1.csv,6,4,4,0.6,100.0,20.0,mixed,5,2.0,1.0,LEXMMFSA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,5_5460,true,738211.2213777931,738211.2213777896,648591.43553566,837533.8978348044,9.997888722859754,0.000333135112236386,686.6115386313305,40.380470991134644,35.83
1,Drahi_1.csv,6,4,4,0.2,100.0,10.0,mixed,10,2.0,1.0,LEXMMFSA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,10_5460,true,1.4573305236295129e6,1.457330523629506e6,1.3606580172069906e6,1.573142069238708e6,0.8350822553367243,0.0002943331842016404,12.27870299633079,136.71923303604126,129.24
1,Drahi_1.csv,6,4,4,0.2,100.0,20.0,mixed,10,2.0,1.0,LEXMMFSA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,10_5460,true,1.4596962462257277e6,1.45969624622573e6,1.3110680062425751e6,1.600920548037549e6,0.5658170827916934,3.2078192101040004e-5,3.798888321745346,90.91238021850586,82.16
1,Drahi_1.csv,6,4,4,0.6,100.0,10.0,mixed,10,2.0,1.0,LEXMMFSA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,10_5460,true,1.218734480501583e6,1.21873448050158e6,906086.0913762893,1.4805388053030688e6,0.4172064807358847,1.9387392721050086e-5,3.5994456753570256,127.85133171081543,121.0
1,Drahi_1.csv,6,4,4,0.6,100.0,20.0,mixed,10,2.0,1.0,LEXMMFSA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,10_5460,true,1.4460764197225173e6,1.446076419722499e6,1.1106159132235497e6,1.6308848460454287e6,1.3332033603997793,2.29395436013295e-5,19.62661854260348,99.7996084690094,89.12
2,Drahi_2.csv,6,4,4,0.2,100.0,10.0,mixed,5,2.0,1.0,LEXMMFSA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,5_5460,true,625706.5128870218,625706.5128870214,539456.4808483793,713226.493852564,0.3240204104302081,4.3426055727497867e-5,2.3823302716496686,29.826076984405518,25.03
2,Drahi_2.csv,6,4,4,0.2,100.0,20.0,mixed,5,2.0,1.0,LEXMMFSA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,5_5460,true,614528.2330869192,614528.2330869235,500959.13117073796,709403.0065958285,0.3455627534907106,8.141346177448486e-5,2.1430227181850086,39.958028078079224,33.62
