Policy,DemandProfile,Theta,n,Mean,Min,Max,Std
PEA,align_high,0.2,40,6.524307113517258,-9.258975985687481e-14,24.84889297524828,7.15753777668069
PEA,align_high,0.6,40,6.3931335290440305,-2.5478769945095372e-14,24.764766174483075,5.966035918566562
PEA,align_low,0.2,40,9.676077683199098,-6.42793964604976e-14,30.63651942518686,8.827767331833334
PEA,align_low,0.6,40,10.867834365540734,-1.6434765060132465e-14,32.800922236564375,8.564486690143347
SA,align_high,0.2,40,15.991706577432476,-3.968132565294635e-14,59.62724368293059,15.713697421309698
SA,align_high,0.6,40,18.578587608437243,-3.8004149079621814e-14,71.52830757219805,15.426409148288913
SA,align_low,0.2,40,14.559986158526987,-7.464465344620959e-13,51.67767508884282,14.034536259234157
SA,align_low,0.6,40,16.121896917971625,-3.286953012026493e-14,49.944164652424,13.046525650070043
MM PEA,align_high,0.2,40,6.672383477611947,-7.93626513058927e-14,27.407597642843005,7.483867854815898
MM PEA,align_high,0.6,40,7.213316544800262,0.0,34.910597162877636,7.814538315254451
MM PEA,align_low,0.2,40,11.00959017859466,-6.42793964604976e-14,42.36731733345978,11.031224847389915
MM PEA,align_low,0.6,40,14.285601895101141,-3.286953012026493e-14,55.591762305903984,13.068301989524246
MM SA,align_high,0.2,40,16.167117212192558,-5.290843420392847e-14,61.16422876524993,16.201475680242165
MM SA,align_high,0.6,40,20.023526873991976,0.0,93.99983712776093,18.335828718424228
MM SA,align_low,0.2,40,15.543679890695103,-8.0349245575622e-14,59.909154017718976,15.710207077884043
MM SA,align_low,0.6,40,19.513425701612157,-6.573906024052986e-14,71.19182528145328,17.577001663998956
