InstanceNo,InstanceFile,NBstage,Childs,Periods,Theta,Avg_d,Dev_d,J,BatteryScale,PVScale,Fairness,InstFolder,Status,ExpectedCost,ScenarioCostExpected,ScenarioCostMin,ScenarioCostMax,RegretExpected,RegretMin,RegretMax,RunTimeSec,ModelSolveTimeSec
1,Drahi_1.csv,6,4,4,0.2,100.0,10.0,5,2.0,1.0,NONE,inst/inst2020,true,566896.2942282051,566896.2942282041,415560.7788062859,698349.6975085039,NaN,NaN,NaN,3.9000351428985596,0.59
1,Drahi_1.csv,6,4,4,0.2,100.0,20.0,5,2.0,1.0,NONE,inst/inst2020,true,564589.9086597345,564589.9086597379,409702.7726379407,734307.412773652,NaN,NaN,NaN,1.232090950012207,0.53
1,Drahi_1.csv,6,4,4,0.6,100.0,10.0,5,2.0,1.0,NONE,inst/inst2020,true,689140.8948364035,689140.8948364026,477985.3829070355,789153.3966058951,NaN,NaN,NaN,1.2845301628112793,0.5
1,Drahi_1.csv,6,4,4,0.6,100.0,20.0,5,2.0,1.0,NONE,inst/inst2020,true,516494.79177979275,516494.7917797914,350583.09747206274,739119.5831921691,NaN,NaN,NaN,1.1171810626983643,0.58
1,Drahi_1.csv,6,4,4,0.2,100.0,10.0,10,2.0,1.0,NONE,inst/inst2020,true,1.2750474366825665e6,1.2750474366825654e6,1.1611157557583132e6,1.4385587799811708e6,NaN,NaN,NaN,2.294800043106079,0.83
1,Drahi_1.csv,6,4,4,0.2,100.0,20.0,10,2.0,1.0,NONE,inst/inst2020,true,1.350698019740783e6,1.3506980197407827e6,1.0888853281669891e6,1.5661143145953752e6,NaN,NaN,NaN,2.415489912033081,0.96
1,Drahi_1.csv,6,4,4,0.6,100.0,10.0,10,2.0,1.0,NONE,inst/inst2020,true,1.3576628180871853e6,1.3576628180871848e6,1.0357137022818075e6,1.555960191232148e6,NaN,NaN,NaN,2.448140859603882,0.9
1,Drahi_1.csv,6,4,4,0.6,100.0,20.0,10,2.0,1.0,NONE,inst/inst2020,true,1.2861465928986403e6,1.2861465928986378e6,1.0451834420601556e6,1.525370921293373e6,NaN,NaN,NaN,2.5385079383850098,0.98
2,Drahi_2.csv,6,4,4,0.2,100.0,10.0,5,2.0,1.0,NONE,inst/inst2020,true,611335.0454255206,611335.0454255103,546696.8362761539,694738.2261233564,NaN,NaN,NaN,0.9717428684234619,0.44
2,Drahi_2.csv,6,4,4,0.2,100.0,20.0,5,2.0,1.0,NONE,inst/inst2020,true,645173.5829787204,645173.5829787115,558677.2391325645,770384.8939062601,NaN,NaN,NaN,1.0478601455688477,0.49
2,Drahi_2.csv,6,4,4,0.6,100.0,10.0,5,2.0,1.0,NONE,inst/inst2020,true,603054.5023347393,603054.5023347359,449725.792433392,776443.1096382276,NaN,NaN,NaN,1.3076667785644531,0.55
2,Drahi_2.csv,6,4,4,0.6,100.0,20.0,5,2.0,1.0,NONE,inst/inst2020,true,706619.826488218,706619.8264882193,504104.32416985824,802046.6162080376,NaN,NaN,NaN,0.9291629791259766,0.36
2,Drahi_2.csv,6,4,4,0.2,100.0,10.0,10,2.0,1.0,NONE,inst/inst2020,true,1.410632199770425e6,1.4106321997704136e6,1.3337393591773214e6,1.5325461976046734e6,NaN,NaN,NaN,2.31003999710083,0.86
2,Drahi_2.csv,6,4,4,0.2,100.0,20.0,10,2.0,1.0,NONE,inst/inst2020,true,1.4344661946112649e6,1.4344661946112646e6,1.3184684389598651e6,1.5372708964877464e6,NaN,NaN,NaN,2.398838996887207,1.01
