InstanceNo,InstanceFile,NBstage,Childs,Periods,Theta,Avg_d,Dev_d,J,BatteryScale,PVScale,Fairness,InstFolder,Status,ExpectedCost,ScenarioCostExpected,ScenarioCostMin,ScenarioCostMax,RegretExpected,RegretMin,RegretMax,RunTimeSec,ModelSolveTimeSec
1,Drahi_1.csv,6,4,4,0.2,100.0,10.0,5,2.0,1.0,LEXMMFSA,inst/inst2020,true,567365.1658744885,567365.1658744864,415918.462439282,698763.5337266815,0.39048157698599795,9.244993973847085e-5,2.1220483049043595,43.9567289352417,32.07
1,Drahi_1.csv,6,4,4,0.2,100.0,20.0,5,2.0,1.0,LEXMMFSA,inst/inst2020,true,595428.2590031307,595428.2590031385,443735.29352050694,746337.2572529871,0.3426962944499272,0.00029640874338722803,2.7027392077211974,54.21727204322815,43.59
1,Drahi_1.csv,6,4,4,0.6,100.0,10.0,5,2.0,1.0,LEXMMFSA,inst/inst2020,true,689142.9738258657,689142.9738258817,477985.38290703547,789153.3966058951,2.2864222657851156,0.00019095428297309395,27.952212456615783,48.59537696838379,38.31
1,Drahi_1.csv,6,4,4,0.6,100.0,20.0,5,2.0,1.0,LEXMMFSA,inst/inst2020,true,641511.6175774389,641511.6175774332,540166.7691965705,775146.2550771852,0.7235787719115249,3.3745649653226786e-6,9.677365104186388,47.50071310997009,35.71
1,Drahi_1.csv,6,4,4,0.2,100.0,10.0,10,2.0,1.0,LEXMMFSA,inst/inst2020,true,1.3301331477136263e6,1.3301331477136319e6,1.2350518611012707e6,1.4692092037947206e6,0.4682376755337763,7.09737663411406e-5,3.6563455043552033,402.655011177063,358.51
1,Drahi_1.csv,6,4,4,0.2,100.0,20.0,10,2.0,1.0,LEXMMFSA,inst/inst2020,true,1.3784487390780358e6,1.3784487390780214e6,1.1430628536152728e6,1.5732055220191982e6,0.9655611201143034,0.0003118783788837675,12.019515077237108,410.53159403800964,362.3
1,Drahi_1.csv,6,4,4,0.6,100.0,10.0,10,2.0,1.0,LEXMMFSA,inst/inst2020,true,1.3865297756913018e6,1.386529775691313e6,1.1047444916763657e6,1.5654620248715275e6,4.749216552767692,0.0003484085649138612,227.5901504902978,381.06349992752075,330.58
1,Drahi_1.csv,6,4,4,0.6,100.0,20.0,10,2.0,1.0,LEXMMFSA,inst/inst2020,true,1.3814709858022598e6,1.381470985802258e6,1.2286044644099572e6,1.5359790055875215e6,1.358992192980523,0.000215089152679277,88.5070635683099,325.1227550506592,284.2
2,Drahi_2.csv,6,4,4,0.2,100.0,10.0,5,2.0,1.0,LEXMMFSA,inst/inst2020,true,611335.0454255147,611335.0454255102,546696.8362761539,694738.2261233565,0.292564261484061,0.00018028778981140319,1.9405312145335687,33.60698699951172,26.76
2,Drahi_2.csv,6,4,4,0.2,100.0,20.0,5,2.0,1.0,LEXMMFSA,inst/inst2020,true,648369.419771591,648369.4197715888,561840.5135366105,773548.1683103062,0.41715531173349296,0.0003423386730044408,4.276070673350133,52.84910297393799,44.98
