InstanceNo,InstanceFile,NBstage,Childs,Periods,Theta,Avg_d,Dev_d,DemandProfile,J,BatteryScale,PVScale,Fairness,House,InstFolder,InstanceID,Status,PVReceivedExpected,PVReceivedMin,PVReceivedMax,CostExpected,CostMin,CostMax,RegretExpected,RegretMin,RegretMax,RunTimeSec,ModelSolveTimeSec
1,Drahi_1.csv,6,4,4,0.2,100.0,10.0,midday,5,1.0,1.0,LEXMMFSA,1,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,5_5460,true,193.12507191208175,22.321558929945876,501.24436880208964,123335.27273010253,66656.72209676457,166956.94007895055,0.42951667651910724,0.023837817683099297,1.4403624201828946,11.208927392959595,6.09
1,Drahi_1.csv,6,4,4,0.2,100.0,10.0,midday,5,1.0,1.0,LEXMMFSA,2,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,5_5460,true,196.48409405852328,20.69051265840699,498.20453922436263,124175.09110224928,68124.21962480036,168462.18535651633,0.5279629929657453,0.009336956326279478,1.1565739360023115,11.208927392959595,6.09
1,Drahi_1.csv,6,4,4,0.2,100.0,10.0,midday,5,1.0,1.0,LEXMMFSA,3,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,5_5460,true,192.66210200383546,21.43408501971592,458.53352647889733,122052.19651019148,67650.57790968977,157792.38336240465,0.41751901246138406,0.028785527276459718,1.3471413564682557,11.208927392959595,6.09
1,Drahi_1.csv,6,4,4,0.2,100.0,10.0,midday,5,1.0,1.0,LEXMMFSA,4,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,5_5460,true,195.1492879969198,20.69051265840699,408.5956887932651,124233.13872495729,73159.16083474281,164790.08618391643,0.37892027754762114,0.011448447692976382,1.2682697795315474,11.208927392959595,6.09
1,Drahi_1.csv,6,4,4,0.2,100.0,10.0,midday,5,1.0,1.0,LEXMMFSA,5,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,5_5460,true,194.49814296256423,27.974267639767653,518.0203076467503,122411.5357975889,53970.77263235442,167160.67650292531,0.5836799120620559,0.03891072557398495,1.8990039665883651,11.208927392959595,6.09
1,Drahi_1.csv,6,4,4,0.2,100.0,20.0,midday,5,1.0,1.0,LEXMMFSA,1,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,5_5460,true,182.50269167467076,14.624028745775746,637.4223551220678,128073.51893675163,49776.28502592274,184762.6747285494,0.40893011608611085,0.006320003207729768,1.2703553260531977,7.724174976348877,6.09
1,Drahi_1.csv,6,4,4,0.2,100.0,20.0,midday,5,1.0,1.0,LEXMMFSA,2,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,5_5460,true,179.18897545981923,15.775290412734037,460.2975391619106,129012.91165958082,78884.22711987395,171962.44150843399,0.4293149220715368,0.017838102147391167,1.257811038861694,7.724174976348877,6.09
1,Drahi_1.csv,6,4,4,0.2,100.0,20.0,midday,5,1.0,1.0,LEXMMFSA,3,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,5_5460,true,179.6424586201308,14.062541737347706,431.98850180162077,127969.1285838573,71241.75830066748,172394.04836837307,0.41393105537694175,0.007017770440677415,1.3354310870066177,7.724174976348877,6.09
1,Drahi_1.csv,6,4,4,0.2,100.0,20.0,midday,5,1.0,1.0,LEXMMFSA,4,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,5_5460,true,176.6564298640651,13.501054728919664,499.2467193956437,134873.0257940174,70591.48216699938,179299.1938874906,0.38353630610138634,0.026795153364979868,1.3634028820990696,7.724174976348877,6.09
1,Drahi_1.csv,6,4,4,0.2,100.0,20.0,midday,5,1.0,1.0,LEXMMFSA,5,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,5_5460,true,178.6298072764098,26.646488145457628,440.4626487584399,134280.88811057527,61511.27867389814,179593.82956494825,0.5316285745427409,0.013365253110495929,2.6420793391219095,7.724174976348877,6.09
1,Drahi_1.csv,6,4,4,0.6,100.0,10.0,midday,5,1.0,1.0,LEXMMFSA,1,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,5_5460,true,151.2133021106909,2.335295414830437,530.5183657739084,130442.56994803771,60071.46761604212,159337.04740476492,0.5203907795058758,0.007630556433440332,3.2105021795324213,8.884472131729126,7.72
1,Drahi_1.csv,6,4,4,0.6,100.0,10.0,midday,5,1.0,1.0,LEXMMFSA,2,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,5_5460,true,151.35268199700076,2.335295414830437,506.8080258146362,131356.74056977543,65365.775341134504,162813.10626974475,0.4568933632086401,0.016809511754751073,1.6510387450202282,8.884472131729126,7.72
1,Drahi_1.csv,6,4,4,0.6,100.0,10.0,midday,5,1.0,1.0,LEXMMFSA,3,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,5_5460,true,153.09086792835402,3.33470893614193,466.2520943424636,129656.62021152765,80438.13316439657,157616.4832514571,0.4359682817122847,0.0021304154055269684,1.992682676579014,8.884472131729126,7.72
1,Drahi_1.csv,6,4,4,0.6,100.0,10.0,midday,5,1.0,1.0,LEXMMFSA,4,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,5_5460,true,148.23049893913532,2.335295414830437,486.0478840555195,130905.86849275102,64780.872394258055,162081.71644217626,0.41698015579127473,0.014654962830290101,1.4227482826001507,8.884472131729126,7.72
1,Drahi_1.csv,6,4,4,0.6,100.0,10.0,midday,5,1.0,1.0,LEXMMFSA,5,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,5_5460,true,149.65457400436458,2.335295414830438,559.1474283044479,129110.57693613318,58977.84882913229,156552.4576520901,0.4263003598209464,0.02708297935077827,1.402446082346683,8.884472131729126,7.72
1,Drahi_1.csv,6,4,4,0.6,100.0,20.0,midday,5,1.0,1.0,LEXMMFSA,1,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,5_5460,true,234.59124421108345,14.515978327601038,737.1252008043214,117947.9322895664,42476.488470811375,171506.24671088418,0.3026079146051466,0.0064421322294046564,1.531126587568358,6.973452568054199,6.04
1,Drahi_1.csv,6,4,4,0.6,100.0,20.0,midday,5,1.0,1.0,LEXMMFSA,2,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,5_5460,true,231.49856040636018,10.515978327601037,696.6409986132817,115133.79244754436,33314.01730474104,156284.22934011486,0.35399000139123327,0.008751045481253371,1.420867777642833,6.973452568054199,6.04
1,Drahi_1.csv,6,4,4,0.6,100.0,20.0,midday,5,1.0,1.0,LEXMMFSA,3,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,5_5460,true,231.07427156964658,10.515978327601037,766.6642626293176,113806.14251452715,16681.928221397655,162195.743768639,0.35636239395111646,0.011505060178239048,1.7389150121724273,6.973452568054199,6.04
1,Drahi_1.csv,6,4,4,0.6,100.0,20.0,midday,5,1.0,1.0,LEXMMFSA,4,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,5_5460,true,230.1223357906489,10.515978327601037,547.3154178021674,118339.0970565046,60215.03291436026,181390.63870779765,0.382220451536156,0.014195344422434133,2.1164726625320696,6.973452568054199,6.04
