InstanceNo,InstanceFile,NBstage,Childs,Periods,Theta,Avg_d,Dev_d,J,BatteryScale,PVScale,Fairness,InstFolder,Status,ExpectedCost,ScenarioCostExpected,ScenarioCostMin,ScenarioCostMax,RegretExpected,RegretMin,RegretMax,RunTimeSec,ModelSolveTimeSec
1,Drahi_1.csv,6,4,4,0.2,100.0,10.0,5,2.0,1.0,LEXMMFPEA,inst/inst2020,true,568527.0878028334,568527.0878028328,417496.544123073,700084.8563890194,27.613359145666315,0.0016649628164427384,429.1854766531387,6.695214033126831,1.57
1,Drahi_1.csv,6,4,4,0.2,100.0,20.0,5,2.0,1.0,LEXMMFPEA,inst/inst2020,true,601827.8558669611,601827.8558669585,476417.3896000721,742968.9411292078,29.387205820125267,0.002429815871832755,443.01630510200096,3.094802141189575,1.2
1,Drahi_1.csv,6,4,4,0.6,100.0,10.0,5,2.0,1.0,LEXMMFPEA,inst/inst2020,true,690106.4293032207,690106.429303221,480293.514286735,789153.3966058951,12.784563717492913,0.0,376.15805381808434,3.47348690032959,1.6
1,Drahi_1.csv,6,4,4,0.6,100.0,20.0,5,2.0,1.0,LEXMMFPEA,inst/inst2020,true,578670.7668001907,578670.7668001913,444959.6338164555,744032.520234614,35.89740816822873,0.0,680.3969378903887,4.217527151107788,2.35
1,Drahi_1.csv,6,4,4,0.2,100.0,10.0,10,2.0,1.0,LEXMMFPEA,inst/inst2020,true,1.2885189089126121e6,1.288518908912608e6,1.1730065332659313e6,1.4477531551753574e6,28.66324322770843,0.0036873315082014075,339.1370555014714,25.040451049804688,14.01
1,Drahi_1.csv,6,4,4,0.2,100.0,20.0,10,2.0,1.0,LEXMMFPEA,inst/inst2020,true,1.3992557093586407e6,1.39925570935864e6,1.2348614485025513e6,1.5780946411362395e6,23.948939189969796,0.0,383.70064958962985,24.03221297264099,11.59
1,Drahi_1.csv,6,4,4,0.6,100.0,10.0,10,2.0,1.0,LEXMMFPEA,inst/inst2020,true,1.4207201324157687e6,1.4207201324157675e6,1.2591055255783354e6,1.5586090689775296e6,28.376072855735618,0.0,442.5556813799969,24.211261987686157,11.89
1,Drahi_1.csv,6,4,4,0.6,100.0,20.0,10,2.0,1.0,LEXMMFPEA,inst/inst2020,true,1.3896802804921737e6,1.3896802804921719e6,1.245937865355281e6,1.545061097412603e6,27.86558179067897,0.0,745.4370710957448,22.68819808959961,9.34
2,Drahi_2.csv,6,4,4,0.2,100.0,10.0,5,2.0,1.0,LEXMMFPEA,inst/inst2020,true,612222.1528548974,612222.1528548963,547486.7586517772,695583.5951077103,13.32208543590334,0.0,336.45229414575385,7.456344127655029,2.9
2,Drahi_2.csv,6,4,4,0.2,100.0,20.0,5,2.0,1.0,LEXMMFPEA,inst/inst2020,true,650320.7743282802,650320.7743282793,564011.3644887971,772228.3228780471,6.013805875923138,0.0,222.54791534126733,7.896665096282959,3.76
2,Drahi_2.csv,6,4,4,0.6,100.0,10.0,5,2.0,1.0,LEXMMFPEA,inst/inst2020,true,625966.5259251817,625966.5259251813,483928.98868951545,776668.7975607967,21.4116135035269,0.0,482.319261979071,8.445048809051514,4.59
2,Drahi_2.csv,6,4,4,0.6,100.0,20.0,5,2.0,1.0,LEXMMFPEA,inst/inst2020,true,708175.6928999284,708175.6928999294,507184.7854848701,802424.4367647439,11.349697862940456,0.0,438.62681077210226,6.386178016662598,3.02
2,Drahi_2.csv,6,4,4,0.2,100.0,10.0,10,2.0,1.0,LEXMMFPEA,inst/inst2020,true,1.4160557433415758e6,1.4160557433415742e6,1.3417102530617309e6,1.5329640332039343e6,12.76771166814604,0.0,163.28454962892351,27.59533190727234,12.09
2,Drahi_2.csv,6,4,4,0.2,100.0,20.0,10,2.0,1.0,LEXMMFPEA,inst/inst2020,true,1.441398213299324e6,1.441398213299325e6,1.3314166788542643e6,1.5422613785703492e6,13.5873208803597,0.0,162.7776837857777,20.831414937973022,7.77
