InstanceNo,InstanceFile,NBstage,Childs,Periods,Theta,Avg_d,Dev_d,J,BatteryScale,PVScale,Fairness,InstFolder,Status,ExpectedCost,ScenarioCostExpected,ScenarioCostMin,ScenarioCostMax,RegretExpected,RegretMin,RegretMax,RunTimeSec,ModelSolveTimeSec
1,Drahi_1.csv,6,4,4,0.2,100.0,10.0,5,2.0,1.0,NONE,inst/inst2020,true,569899.2028220524,569899.2028220503,418407.89252141095,701378.3428431299,NaN,NaN,NaN,3.94509220123291,0.53
1,Drahi_1.csv,6,4,4,0.2,100.0,20.0,5,2.0,1.0,NONE,inst/inst2020,true,567062.268189498,567062.2681894881,412177.7771095586,736787.8385537073,NaN,NaN,NaN,1.335219144821167,0.59
1,Drahi_1.csv,6,4,4,0.6,100.0,10.0,5,2.0,1.0,NONE,inst/inst2020,true,691849.3929778603,691849.392977857,480694.8794976172,791862.893196477,NaN,NaN,NaN,1.2925021648406982,0.54
1,Drahi_1.csv,6,4,4,0.6,100.0,20.0,5,2.0,1.0,NONE,inst/inst2020,true,519020.3490391774,519020.34903917933,352349.0911760636,741929.806449698,NaN,NaN,NaN,1.0458660125732422,0.52
1,Drahi_1.csv,6,4,4,0.2,100.0,10.0,10,2.0,1.0,NONE,inst/inst2020,true,1.2771396397141465e6,1.2771396397141458e6,1.1632079587898923e6,1.4406509830127496e6,NaN,NaN,NaN,2.086886167526245,0.86
1,Drahi_1.csv,6,4,4,0.2,100.0,20.0,10,2.0,1.0,NONE,inst/inst2020,true,1.3541496739042292e6,1.3541496739042213e6,1.0923369823304238e6,1.56956596875881e6,NaN,NaN,NaN,2.600069999694824,1.05
1,Drahi_1.csv,6,4,4,0.6,100.0,10.0,10,2.0,1.0,NONE,inst/inst2020,true,1.3592408941550415e6,1.359240894155045e6,1.037278736800367e6,1.5575476012515388e6,NaN,NaN,NaN,2.3586649894714355,1.02
1,Drahi_1.csv,6,4,4,0.6,100.0,20.0,10,2.0,1.0,NONE,inst/inst2020,true,1.2888235418192835e6,1.2888235418192816e6,1.0471168070601556e6,1.5283249752396333e6,NaN,NaN,NaN,2.308723211288452,0.99
1,Drahi_1.csv,6,4,4,0.2,100.0,10.0,5,2.0,1.0,PEA,inst/inst2020,true,596313.1255559294,596313.1255559276,468194.9496026974,712781.3287517241,0.26085952376766486,1.3589024060215549e-5,1.0071990479150434,1.8930959701538086,0.67
1,Drahi_1.csv,6,4,4,0.2,100.0,20.0,5,2.0,1.0,PEA,inst/inst2020,true,634504.2814809262,634504.281480926,515961.86980182,767523.1152629673,0.30851338532969164,0.00014399545214851305,1.4659411628137298,1.2944529056549072,0.73
1,Drahi_1.csv,6,4,4,0.6,100.0,10.0,5,2.0,1.0,PEA,inst/inst2020,true,703111.9222126409,703111.9222126425,513904.211363261,791862.8931964769,NaN,NaN,NaN,1.7306649684906006,0.92
1,Drahi_1.csv,6,4,4,0.6,100.0,20.0,5,2.0,1.0,PEA,inst/inst2020,true,596381.2559405725,596381.2559405732,479720.6504429498,751768.243482985,0.34385494695488267,0.00017224937022282318,3.0792190222351845,1.6825461387634277,0.98
1,Drahi_1.csv,6,4,4,0.2,100.0,10.0,10,2.0,1.0,PEA,inst/inst2020,true,1.3227311887197664e6,1.3227311887197657e6,1.2319471637296288e6,1.466433772307036e6,0.4886631585884914,8.634764477908271e-6,2.438317457103794,3.4510648250579834,1.7
1,Drahi_1.csv,6,4,4,0.2,100.0,20.0,10,2.0,1.0,PEA,inst/inst2020,true,1.4289415332530593e6,1.4289415332530516e6,1.265440214881118e6,1.5933927485726671e6,0.7719453476198014,2.683735867112684e-5,4.266826166346892,3.2743680477142334,1.76
1,Drahi_1.csv,6,4,4,0.6,100.0,10.0,10,2.0,1.0,PEA,inst/inst2020,true,1.442787664888939e6,1.4427876648889408e6,1.2780060955783352e6,1.5635848108938732e6,0.8282965960063224,4.015461499333683e-5,6.266793436172646,3.064756155014038,1.5
1,Drahi_1.csv,6,4,4,0.6,100.0,20.0,10,2.0,1.0,PEA,inst/inst2020,true,1.4061763022231539e6,1.4061763022231522e6,1.2661792369746715e6,1.552978094738365e6,0.7983983971627567,3.16002532716742e-5,5.081859927643304,4.45179009437561,2.63
1,Drahi_1.csv,6,4,4,0.2,100.0,10.0,5,2.0,1.0,SA,inst/inst2020,true,625478.3509905844,625478.3509905847,487090.6225666726,743498.7299425639,0.07513569309411983,1.7592164622415675e-5,0.32792542750669396,14.919697999954224,5.46
1,Drahi_1.csv,6,4,4,0.2,100.0,20.0,5,2.0,1.0,SA,inst/inst2020,true,666834.3595958888,666834.3595958824,414500.00814224564,814342.6750639813,0.17669229577741816,3.706261286645312e-5,0.7474248860437981,25.17668890953064,15.25
1,Drahi_1.csv,6,4,4,0.6,100.0,10.0,5,2.0,1.0,SA,inst/inst2020,true,709281.7137125166,709281.713712531,492693.841012569,792667.7187820724,0.061324887348390374,5.409377901859045e-6,0.4213649857939662,22.0265691280365,11.66
1,Drahi_1.csv,6,4,4,0.6,100.0,20.0,5,2.0,1.0,SA,inst/inst2020,true,705660.6663406505,705660.6663406531,353409.57884421444,9.38533445359485e7,0.3026976169209984,8.559561112103015e-5,1.6642212857001468,21.349605798721313,10.9
1,Drahi_1.csv,6,4,4,0.2,100.0,10.0,10,2.0,1.0,SA,inst/inst2020,true,1.4025057301889816e6,1.4025057301889807e6,1.3236162177506138e6,1.4898376225638073e6,0.04782259547453147,1.4582563155149633e-5,0.23456702601469606,54.93531799316406,16.2
1,Drahi_1.csv,6,4,4,0.2,100.0,20.0,10,2.0,1.0,SA,inst/inst2020,true,1.4566046254222202e6,1.456604625422213e6,1.3189838128857454e6,1.5711449576002425e6,0.047989209592414525,2.5440528994234793e-5,0.347615822888289,71.9190559387207,33.73
1,Drahi_1.csv,6,4,4,0.6,100.0,10.0,10,2.0,1.0,SA,inst/inst2020,true,1.463759246935126e6,1.4637592469351331e6,1.0604393631675055e6,1.5676415873343165e6,0.07944279818084692,5.576736511528137e-7,0.8925568766270825,67.1233229637146,30.94
1,Drahi_1.csv,6,4,4,0.6,100.0,20.0,10,2.0,1.0,SA,inst/inst2020,true,1.4548910123456684e6,1.4548910123456644e6,1.0493280546900723e6,1.597710371659056e6,0.07878352792015351,4.171195961685623e-5,0.9546911295149703,62.018290996551514,23.27
1,Drahi_1.csv,6,4,4,0.2,100.0,10.0,5,2.0,1.0,LEXMMFPEA,inst/inst2020,true,594186.7527551776,594186.7527551755,468194.9496026974,712781.3287517242,28.577589093453067,0.0007047151540533017,399.0579020855265,4.804095983505249,2.09
1,Drahi_1.csv,6,4,4,0.2,100.0,20.0,5,2.0,1.0,LEXMMFPEA,inst/inst2020,true,635131.0104140022,635131.0104140028,515961.8698018287,769057.5952629673,26.966738665535757,0.001675799237808503,426.75968493662816,3.9341440200805664,1.67
1,Drahi_1.csv,6,4,4,0.6,100.0,10.0,5,2.0,1.0,LEXMMFPEA,inst/inst2020,true,703130.3997280763,703130.3997280771,500647.64081849443,791862.8931964769,14.321740981177568,0.0,308.280372702981,5.076426982879639,2.44
1,Drahi_1.csv,6,4,4,0.6,100.0,20.0,5,2.0,1.0,LEXMMFPEA,inst/inst2020,true,606927.0613169371,606927.0613169374,497484.3372704484,752880.9130694133,31.840918350294253,0.003391040119893575,589.2812559372001,5.631702899932861,2.71
1,Drahi_1.csv,6,4,4,0.2,100.0,10.0,10,2.0,1.0,LEXMMFPEA,inst/inst2020,true,1.3227520108986883e6,1.3227520108986867e6,1.221327768675151e6,1.4664337723070357e6,28.090258913661994,0.00026780687858903057,371.9488895694218,22.256590127944946,10.57
1,Drahi_1.csv,6,4,4,0.2,100.0,20.0,10,2.0,1.0,LEXMMFPEA,inst/inst2020,true,1.4297117608794705e6,1.429711760879463e6,1.2812986192569272e6,1.5933927485726674e6,22.992610673075887,0.0,431.78078685354353,12.124597072601318,4.87
1,Drahi_1.csv,6,4,4,0.6,100.0,10.0,10,2.0,1.0,LEXMMFPEA,inst/inst2020,true,1.4436059959237573e6,1.443605995923758e6,1.3006929856071398e6,1.5635848108938732e6,25.679510597101004,0.0,657.7326813965315,12.072779178619385,5.05
1,Drahi_1.csv,6,4,4,0.6,100.0,20.0,10,2.0,1.0,LEXMMFPEA,inst/inst2020,true,1.4169143005511374e6,1.4169143005511377e6,1.2661792369746715e6,1.5613213843007577e6,25.741060976290175,0.0,1118.9962511294625,12.777211904525757,5.69
1,Drahi_1.csv,6,4,4,0.2,100.0,10.0,5,2.0,1.0,LEXMMFSA,inst/inst2020,true,623633.0490625121,623633.0490625106,509436.77215674554,729798.6438990433,0.3750119080935482,1.2415880757683488e-8,2.3810600750559923,44.84432792663574,34.91
1,Drahi_1.csv,6,4,4,0.2,100.0,20.0,5,2.0,1.0,LEXMMFSA,inst/inst2020,true,667924.1041265917,667924.1041265815,556995.4264287006,790601.4999441397,0.28167328761763777,4.52756840549658e-5,1.5014902222925481,38.94305109977722,30.93
1,Drahi_1.csv,6,4,4,0.6,100.0,10.0,5,2.0,1.0,LEXMMFSA,inst/inst2020,true,707434.868300237,707434.8683002489,531274.8143643526,792667.7187820724,15.431256735819,5.294198469148496e-5,490.39103766248735,39.42292904853821,30.88
1,Drahi_1.csv,6,4,4,0.6,100.0,20.0,5,2.0,1.0,LEXMMFSA,inst/inst2020,true,719529.1720636665,719529.1720636646,631311.9537685352,837790.3062972631,0.6337458833871688,0.00019635741799408813,4.369847825046616,45.34622883796692,36.04
1,Drahi_1.csv,6,4,4,0.2,100.0,10.0,10,2.0,1.0,LEXMMFSA,inst/inst2020,true,1.4043088684933456e6,1.4043088684933404e6,1.3348908549004053e6,1.5023935046051776e6,0.5296735703814104,2.2742821439289018e-6,1.9698884312577152,391.1722331047058,342.67
1,Drahi_1.csv,6,4,4,0.2,100.0,20.0,10,2.0,1.0,LEXMMFSA,inst/inst2020,true,1.4567677529217799e6,1.4567677529217685e6,1.3263158384510505e6,1.5975055708689569e6,0.8516577702907139,6.358296840041708e-5,9.299039506454765,399.30653285980225,354.35
1,Drahi_1.csv,6,4,4,0.6,100.0,10.0,10,2.0,1.0,LEXMMFSA,inst/inst2020,true,1.464708031340363e6,1.4647080313403727e6,1.3378215534038404e6,1.5676415873343165e6,1.7652886536725705,0.00014005447839776297,29.044725573605493,368.12662410736084,320.89
1,Drahi_1.csv,6,4,4,0.6,100.0,20.0,10,2.0,1.0,LEXMMFSA,inst/inst2020,true,1.4592687296837997e6,1.4592687296837964e6,1.2849155296397852e6,1.5882269071532816e6,7.378439275458217,0.00013997390197637417,1800.8817260093185,381.08144187927246,326.47
2,Drahi_2.csv,6,4,4,0.2,100.0,10.0,5,2.0,1.0,NONE,inst/inst2020,true,614800.242225504,614800.2422255102,550162.033076154,698203.4229233564,NaN,NaN,NaN,2.1966989040374756,1.16
2,Drahi_2.csv,6,4,4,0.2,100.0,20.0,5,2.0,1.0,NONE,inst/inst2020,true,646628.3457393721,646628.3457393758,560132.0018932293,771839.656666925,NaN,NaN,NaN,3.4478771686553955,1.32
2,Drahi_2.csv,6,4,4,0.6,100.0,10.0,5,2.0,1.0,NONE,inst/inst2020,true,605753.9795569675,605753.9795569694,452049.73140905204,779225.5676299173,NaN,NaN,NaN,4.8046019077301025,2.54
2,Drahi_2.csv,6,4,4,0.6,100.0,20.0,5,2.0,1.0,NONE,inst/inst2020,true,708651.6983995752,708651.6983995753,506136.1960812156,804078.4881193948,NaN,NaN,NaN,4.956237077713013,1.88
2,Drahi_2.csv,6,4,4,0.2,100.0,10.0,10,2.0,1.0,NONE,inst/inst2020,true,1.4134943665704143e6,1.413494366570416e6,1.3366015259773214e6,1.5354083644046732e6,NaN,NaN,NaN,11.192286014556885,5.15
2,Drahi_2.csv,6,4,4,0.2,100.0,20.0,10,2.0,1.0,NONE,inst/inst2020,true,1.4371399182046177e6,1.4371399182046175e6,1.3211421625532168e6,1.539944620081098e6,NaN,NaN,NaN,6.387188911437988,2.38
2,Drahi_2.csv,6,4,4,0.6,100.0,10.0,10,2.0,1.0,NONE,inst/inst2020,true,1.4299637278120322e6,1.4299637278120432e6,1.1832869457971016e6,1.5438082383443043e6,NaN,NaN,NaN,7.631471872329712,3.84
2,Drahi_2.csv,6,4,4,0.6,100.0,20.0,10,2.0,1.0,NONE,inst/inst2020,true,1.3340105075037107e6,1.3340105075037123e6,1.1283575687904144e6,1.5082438957542942e6,NaN,NaN,NaN,9.6476731300354,4.7
2,Drahi_2.csv,6,4,4,0.2,100.0,10.0,5,2.0,1.0,PEA,inst/inst2020,true,627120.5989608797,627120.5989608798,560737.9777185271,707675.802368393,0.3071034561033127,6.345212107450752e-6,1.0,5.59001612663269,2.79
2,Drahi_2.csv,6,4,4,0.2,100.0,20.0,5,2.0,1.0,PEA,inst/inst2020,true,677999.3021041336,677999.3021041342,598560.5770051554,772525.0931688355,0.3248950579320938,2.4979511810097388e-5,1.395717390011696,5.988413095474243,3.46
2,Drahi_2.csv,6,4,4,0.6,100.0,10.0,5,2.0,1.0,PEA,inst/inst2020,true,648650.1971321712,648650.1971321716,534540.69371217,780916.140193466,0.49254599704104257,4.6416841719577175e-6,4.012548591380909,3.0830018520355225,1.8
2,Drahi_2.csv,6,4,4,0.6,100.0,20.0,5,2.0,1.0,PEA,inst/inst2020,true,717374.2604667116,717374.2604667133,531981.4643799302,805184.0667190475,0.5359346002271522,0.0003793496201747823,3.7933173471245603,2.9316020011901855,1.58
2,Drahi_2.csv,6,4,4,0.2,100.0,10.0,10,2.0,1.0,PEA,inst/inst2020,true,1.4445011145595023e6,1.4445011145595012e6,1.3860956120782108e6,1.5358942710812318e6,0.6070177726129438,0.00042835911356404,3.782328371623353,13.637221097946167,8.01
2,Drahi_2.csv,6,4,4,0.2,100.0,20.0,10,2.0,1.0,PEA,inst/inst2020,true,1.4696626604907578e6,1.4696626604907566e6,1.367866162985604e6,1.5584562331907316e6,0.6175527515550626,0.000163388872180346,3.4150494947992067,12.850383043289185,7.77
2,Drahi_2.csv,6,4,4,0.6,100.0,10.0,10,2.0,1.0,PEA,inst/inst2020,true,1.4671825523904986e6,1.4671825523905049e6,1.324319642012306e6,1.5462428418074935e6,0.9360222891813449,0.0003438270341088007,8.844274061386265,10.988484144210815,6.31
2,Drahi_2.csv,6,4,4,0.6,100.0,20.0,10,2.0,1.0,PEA,inst/inst2020,true,1.4047097762449111e6,1.4047097762449107e6,1.3067830422314678e6,1.5214103067569854e6,0.776751831349238,3.6636565151045675e-7,6.293226173846424,8.618802070617676,5.64
2,Drahi_2.csv,6,4,4,0.2,100.0,10.0,5,2.0,1.0,SA,inst/inst2020,true,636032.131981348,636032.1319813608,563068.976466084,716521.0616346243,0.06035886464041607,3.240235557068721e-5,0.418269159385571,25.4152569770813,8.44
2,Drahi_2.csv,6,4,4,0.2,100.0,20.0,5,2.0,1.0,SA,inst/inst2020,true,699701.2815828511,699701.2815828496,599789.1971747805,781041.3185313664,0.054595873089623395,3.009669303233498e-5,0.29678492489894837,29.183258056640625,12.69
2,Drahi_2.csv,6,4,4,0.6,100.0,10.0,5,2.0,1.0,SA,inst/inst2020,true,702477.3678967198,702477.3678967279,468458.58859445096,788823.4075549479,0.09778747189097152,0.00020486634541104566,0.6646043476604735,25.981570959091187,13.43
2,Drahi_2.csv,6,4,4,0.6,100.0,20.0,5,2.0,1.0,SA,inst/inst2020,true,728361.016033029,728361.0160330259,507918.8218108554,807264.4439097593,0.05651420800857417,1.982783207848147e-5,0.4474432063272137,16.196996927261353,4.0
2,Drahi_2.csv,6,4,4,0.2,100.0,10.0,10,2.0,1.0,SA,inst/inst2020,true,1.4489723543775005e6,1.4489723543775012e6,1.3752213902051065e6,1.538314332252778e6,0.03548822886918062,2.3654980575781076e-5,0.18605489808548514,96.27359509468079,47.31
2,Drahi_2.csv,6,4,4,0.2,100.0,20.0,10,2.0,1.0,SA,inst/inst2020,true,1.4743179070027657e6,1.47431790700277e6,1.3799694316012168e6,1.5678232032263044e6,0.026907934871796768,4.138908707140089e-6,0.2182905101248317,181.78569793701172,95.64
2,Drahi_2.csv,6,4,4,0.6,100.0,10.0,10,2.0,1.0,SA,inst/inst2020,true,1.4787341261498677e6,1.4787341261498802e6,1.3634642490094285e6,1.5454585535431958e6,0.03262641263956203,1.4697387849247922e-5,0.2826796058775158,141.0120189189911,43.6
2,Drahi_2.csv,6,4,4,0.6,100.0,20.0,10,2.0,1.0,SA,inst/inst2020,true,1.4141669841960075e6,1.4141669841960084e6,1.1307037638618825e6,1.5322637935804205e6,0.056108480195831166,7.290683300265174e-7,0.7736157513577717,171.6528251171112,92.29
2,Drahi_2.csv,6,4,4,0.2,100.0,10.0,5,2.0,1.0,LEXMMFPEA,inst/inst2020,true,626866.6602833521,626866.6602833528,562082.9999345806,707675.802368393,13.624599578094507,0.002257345958814753,283.5075124714423,6.3393940925598145,3.33
2,Drahi_2.csv,6,4,4,0.2,100.0,20.0,5,2.0,1.0,LEXMMFPEA,inst/inst2020,true,677726.6136738518,677726.6136738526,598560.5770051554,772525.0931688356,5.861057748170418,0.0,271.59427718095867,9.329777956008911,5.19
2,Drahi_2.csv,6,4,4,0.6,100.0,10.0,5,2.0,1.0,LEXMMFPEA,inst/inst2020,true,649488.187833576,649488.187833576,531552.7813333757,780916.140193466,21.9572498104597,0.0,470.100838613057,12.041390895843506,5.43
2,Drahi_2.csv,6,4,4,0.6,100.0,20.0,5,2.0,1.0,LEXMMFPEA,inst/inst2020,true,715990.2313915094,715990.2313915092,524327.8945204286,805184.0667190475,10.838702779121723,0.0,325.8379979313645,13.183677196502686,6.27
2,Drahi_2.csv,6,4,4,0.2,100.0,10.0,10,2.0,1.0,LEXMMFPEA,inst/inst2020,true,1.4443486899459343e6,1.4443486899459339e6,1.389474121440327e6,1.535894271081232e6,13.061753925043577,0.0,187.8521480807456,45.90440487861633,18.84
2,Drahi_2.csv,6,4,4,0.2,100.0,20.0,10,2.0,1.0,LEXMMFPEA,inst/inst2020,true,1.4689649456997532e6,1.4689649456997497e6,1.3674331196532266e6,1.5679199202004736e6,14.395870105882642,0.0,225.58554654428227,33.903685092926025,16.41
2,Drahi_2.csv,6,4,4,0.6,100.0,10.0,10,2.0,1.0,LEXMMFPEA,inst/inst2020,true,1.4673004018889414e6,1.4673004018889496e6,1.3075978220023434e6,1.5492282294885279e6,16.249207940484467,0.0,417.4688773907685,34.5053231716156,14.0
2,Drahi_2.csv,6,4,4,0.6,100.0,20.0,10,2.0,1.0,LEXMMFPEA,inst/inst2020,true,1.4053791241115609e6,1.40537912411156e6,1.2993821765154484e6,1.5214103067569854e6,24.789407057264356,0.0,454.15481674710236,36.39617705345154,14.7
2,Drahi_2.csv,6,4,4,0.2,100.0,10.0,5,2.0,1.0,LEXMMFSA,inst/inst2020,true,638656.4592253478,638656.4592253598,574430.5389079802,721343.0079084791,0.33852719054926,0.00011810354500003243,1.5366748541052035,106.07737517356873,85.98
2,Drahi_2.csv,6,4,4,0.2,100.0,20.0,5,2.0,1.0,LEXMMFSA,inst/inst2020,true,703598.9985023692,703598.9985023658,631038.1499334694,774298.7405475033,0.46413120025509397,4.471185029978023e-5,2.7674314321351035,93.96182703971863,77.46
