Policy,Theta,Mean,Min,Max,Std
PEA,0.2,-4.217044754166667e-15,-9.033834152216315e-14,7.464221080834562e-14,3.275843165301252e-14
PEA,0.6,-8.134112370570312e-15,-5.4924857169367594e-14,6.29551903896011e-14,2.4682770998254915e-14
SA,0.2,-2.012354253104391e-15,-5.080498606126959e-14,5.344207682819375e-14,2.3083714581234584e-14
SA,0.6,-5.923833396604702e-15,-5.4924857169367594e-14,4.197012692640073e-14,2.338694366733896e-14
MM PEA,0.2,-8.98374903914212e-15,-6.45273868015451e-14,5.970477283057679e-14,2.910977058224079e-14
MM PEA,0.6,-1.938223267088512e-15,-6.654823341798682e-14,3.983734665502621e-14,2.493477926861611e-14
MM SA,0.2,-4.309409368206107e-15,-6.258274936660333e-14,8.358668196280751e-14,3.0150115599219104e-14
MM SA,0.6,-6.546611547886604e-15,-7.847146237992123e-14,4.293946764183667e-14,2.7334631705373176e-14
