InstanceNo,InstanceFile,NBstage,Childs,Periods,Theta,Avg_d,Dev_d,J,BatteryScale,PVScale,Fairness,InstFolder,Status,ExpectedCost,ScenarioCostExpected,ScenarioCostMin,ScenarioCostMax,RegretExpected,RegretMin,RegretMax,RunTimeSec,ModelSolveTimeSec
1,Drahi_1.csv,6,4,4,0.2,100.0,10.0,5,1.0,2.0,NONE,inst/inst2020,true,409194.5858934161,409194.58589341666,253365.32977713738,625294.2255307222,NaN,NaN,NaN,10.971598863601685,3.09
1,Drahi_1.csv,6,4,4,0.2,100.0,20.0,5,1.0,2.0,NONE,inst/inst2020,true,441276.2100908192,441276.21009081975,306616.70879244595,638781.7707726201,NaN,NaN,NaN,3.284079074859619,1.79
1,Drahi_1.csv,6,4,4,0.6,100.0,10.0,5,1.0,2.0,NONE,inst/inst2020,true,633811.24085402,633811.2408540247,354335.3872176751,792314.4759615738,NaN,NaN,NaN,3.2101759910583496,1.78
1,Drahi_1.csv,6,4,4,0.6,100.0,20.0,5,1.0,2.0,NONE,inst/inst2020,true,428104.5741400393,428104.57414003904,254200.87277824426,708249.7750846359,NaN,NaN,NaN,3.3323519229888916,1.9
1,Drahi_1.csv,6,4,4,0.2,100.0,10.0,10,1.0,2.0,NONE,inst/inst2020,true,1.0659273928943255e6,1.0659273928943276e6,839573.9513444469,1.3543649440131835e6,NaN,NaN,NaN,9.537292003631592,5.34
1,Drahi_1.csv,6,4,4,0.2,100.0,20.0,10,1.0,2.0,NONE,inst/inst2020,true,1.2026065458634424e6,1.202606545863443e6,908329.5665255851,1.532775502002638e6,NaN,NaN,NaN,6.381098985671997,3.0
1,Drahi_1.csv,6,4,4,0.6,100.0,10.0,10,1.0,2.0,NONE,inst/inst2020,true,1.2316090317603475e6,1.2316090317603457e6,855440.4819506474,1.545343887598096e6,NaN,NaN,NaN,5.485564947128296,2.61
1,Drahi_1.csv,6,4,4,0.6,100.0,20.0,10,1.0,2.0,NONE,inst/inst2020,true,1.1788650804521912e6,1.1788650804521893e6,905042.0971014656,1.5031716277601104e6,NaN,NaN,NaN,7.757527112960815,4.87
1,Drahi_1.csv,6,4,4,0.2,100.0,10.0,5,1.0,2.0,PEA,inst/inst2020,true,456336.0124179185,456336.0124179179,319844.94720143935,651078.6412468025,0.23735662141279476,0.0001354740028009189,1.134919748528538,5.729251861572266,3.14
1,Drahi_1.csv,6,4,4,0.2,100.0,20.0,5,1.0,2.0,PEA,inst/inst2020,true,508912.0585329242,508912.0585329244,394575.02782289323,677606.8940231455,0.2537794160235651,7.278482421913242e-5,1.0283361497340926,3.5640299320220947,2.05
1,Drahi_1.csv,6,4,4,0.6,100.0,10.0,5,1.0,2.0,PEA,inst/inst2020,true,649185.3063806096,649185.3063806107,396311.4734609305,792314.4759615738,NaN,NaN,NaN,3.1007258892059326,1.95
1,Drahi_1.csv,6,4,4,0.6,100.0,20.0,5,1.0,2.0,PEA,inst/inst2020,true,446037.6383302482,446037.63833024737,254250.12347076507,724971.7326709322,0.23910443586017383,5.658587512276956e-6,2.5551934220264285,3.2119901180267334,1.78
1,Drahi_1.csv,6,4,4,0.2,100.0,10.0,10,1.0,2.0,PEA,inst/inst2020,true,1.1561132017475343e6,1.1561132017475376e6,961581.6585828647,1.4051127288046728e6,0.3676070867862176,2.846449458861199e-5,2.0164831096512073,9.83602499961853,6.17
