InstanceNo,InstanceFile,NBstage,Childs,Periods,Theta,Avg_d,Dev_d,J,BatteryScale,PVScale,Fairness,House,InstFolder,Status,PVReceivedExpected,PVReceivedMin,PVReceivedMax,CostExpected,CostMin,CostMax,RegretExpected,RegretMin,RegretMax,RunTimeSec,ModelSolveTimeSec
1,Drahi_1.csv,6,4,4,0.2,100.0,10.0,5,2.0,1.0,SA,1,inst/inst2020,true,247.37873480209268,44.050048945226386,564.8425172506325,107997.26526114889,48141.77824496165,149964.60554218278,0.09595792375046402,6.687090631957272e-5,0.46695636386598205,11.340633153915405,2.12
1,Drahi_1.csv,6,4,4,0.2,100.0,10.0,5,2.0,1.0,SA,2,inst/inst2020,true,255.48433245628286,51.5594315740616,474.18288943526017,108110.03073102652,63880.77151464362,157465.03607116023,0.09478875509690843,0.0005127934910970136,0.32899461000061525,11.340633153915405,2.12
1,Drahi_1.csv,6,4,4,0.2,100.0,10.0,5,2.0,1.0,SA,3,inst/inst2020,true,87.273284651912,9.80793559314434,159.81784709989358,115604.26214346956,87020.66033143412,137651.16243524296,0.08988770991359636,1.1390776435683928e-5,0.34776344870948467,11.340633153915405,2.12
1,Drahi_1.csv,6,4,4,0.2,100.0,10.0,5,2.0,1.0,SA,4,inst/inst2020,true,210.09476211802766,146.19613264559987,325.77088699421193,127048.16154008826,109396.91439883538,136074.96625904986,0.05663183130260357,2.6570797857904637e-5,0.18422371690243636,11.340633153915405,2.12
1,Drahi_1.csv,6,4,4,0.2,100.0,10.0,5,2.0,1.0,SA,5,inst/inst2020,true,223.55021525244047,0.0,546.4520482519627,109097.87173725628,48877.39477930496,171698.39126073974,0.1351076401082115,0.0003298330837550649,0.4237483300879865,11.340633153915405,2.12
1,Drahi_1.csv,6,4,4,0.2,100.0,20.0,5,2.0,1.0,SA,1,inst/inst2020,true,368.49494911130813,53.34678228764781,747.1771090012812,118804.89421836921,37318.48616436709,190308.5498911782,0.18255039954610783,8.004086801902317e-5,0.6281143202834756,12.315913200378418,4.42
1,Drahi_1.csv,6,4,4,0.2,100.0,20.0,5,2.0,1.0,SA,2,inst/inst2020,true,357.9613187875186,67.71376968879585,692.279108726683,117067.79477538116,43468.528788670694,186811.8924046196,0.14296031199131712,0.00010372576088626883,0.5569094894539223,12.315913200378418,4.42
1,Drahi_1.csv,6,4,4,0.2,100.0,20.0,5,2.0,1.0,SA,3,inst/inst2020,true,155.80436061380487,17.610567068292898,721.8868255845302,111687.3666943327,96935.54343810587,135997.42105430685,0.07728721878866847,0.00027022347738594034,0.2775622066831061,12.315913200378418,4.42
1,Drahi_1.csv,6,4,4,0.2,100.0,20.0,5,2.0,1.0,SA,4,inst/inst2020,true,180.31472916576774,37.84376312246802,602.9984776874444,129976.88465680575,110454.33261738507,140451.26476880422,0.10150083319739654,0.00014072044950178724,0.35658477082327455,12.315913200378418,4.42
1,Drahi_1.csv,6,4,4,0.2,100.0,20.0,5,2.0,1.0,SA,5,inst/inst2020,true,72.92359318025709,0.0,182.7984719056331,118370.04810773469,76332.53999735582,158481.7277527849,0.11240850154362754,0.00010121434738014788,0.38197313954050316,12.315913200378418,4.42
