InstanceNo,InstanceFile,NBstage,Childs,Periods,Theta,Avg_d,Dev_d,J,BatteryScale,PVScale,Fairness,House,InstFolder,Status,PVReceivedExpected,PVReceivedMin,PVReceivedMax,CostExpected,CostMin,CostMax,RegretExpected,RegretMin,RegretMax,RunTimeSec,ModelSolveTimeSec
1,Drahi_1.csv,6,4,4,0.2,100.0,10.0,5,1.0,2.0,NONE,1,inst/inst2020,true,469.3206248929776,59.78072754003443,1033.0315153627994,64402.80716132675,-919.6761369492982,128000.68649472344,NaN,NaN,NaN,10.971598863601685,3.09
1,Drahi_1.csv,6,4,4,0.2,100.0,10.0,5,1.0,2.0,NONE,2,inst/inst2020,true,539.3079533774741,3.1315737521797042,1080.6125319258963,49521.89285939507,-73.52689922178342,139060.2756138504,NaN,NaN,NaN,10.971598863601685,3.09
1,Drahi_1.csv,6,4,4,0.2,100.0,10.0,5,1.0,2.0,NONE,3,inst/inst2020,true,131.4528193038237,19.61587118628868,269.6202111958098,129451.83401425731,93664.13445643817,163439.60173526243,NaN,NaN,NaN,10.971598863601685,3.09
1,Drahi_1.csv,6,4,4,0.2,100.0,10.0,5,1.0,2.0,NONE,4,inst/inst2020,true,261.3695553337827,150.5640104435543,451.69547673592353,130057.45842569789,116844.17849164072,139205.4822958098,NaN,NaN,NaN,10.971598863601685,3.09
1,Drahi_1.csv,6,4,4,0.2,100.0,10.0,5,1.0,2.0,NONE,5,inst/inst2020,true,646.1117056534474,102.96799184960219,1176.6733051640133,35760.593432739995,-690.3089316395216,130942.94659892702,NaN,NaN,NaN,10.971598863601685,3.09
1,Drahi_1.csv,6,4,4,0.2,100.0,20.0,5,1.0,2.0,NONE,1,inst/inst2020,true,943.5580083290655,212.11482161706374,1640.3511939206485,22658.615696102723,-7665.670006189217,98009.39610521878,NaN,NaN,NaN,3.284079074859619,1.79
1,Drahi_1.csv,6,4,4,0.2,100.0,20.0,5,1.0,2.0,NONE,2,inst/inst2020,true,852.6657566276565,277.3731032249294,1484.1524253153402,26964.72827166171,-6725.313654885574,93205.64680016524,NaN,NaN,NaN,3.284079074859619,1.79
1,Drahi_1.csv,6,4,4,0.2,100.0,20.0,5,1.0,2.0,NONE,3,inst/inst2020,true,170.14261553202104,87.14605466343853,357.72038942364173,121269.50867202572,99744.37775760196,136183.05054205813,NaN,NaN,NaN,3.284079074859619,1.79
1,Drahi_1.csv,6,4,4,0.2,100.0,20.0,5,1.0,2.0,NONE,4,inst/inst2020,true,164.91070862552203,96.57649028399058,273.8520111024014,143404.1038555808,127392.63695392436,161131.38618672203,NaN,NaN,NaN,3.284079074859619,1.79
1,Drahi_1.csv,6,4,4,0.2,100.0,20.0,5,1.0,2.0,NONE,5,inst/inst2020,true,139.72081260304765,0.0,257.3015867188447,126979.2535954507,83078.05724920744,176662.4987089743,NaN,NaN,NaN,3.284079074859619,1.79
