InstanceNo,InstanceFile,NBstage,Childs,Periods,Theta,Avg_d,Dev_d,J,BatteryScale,PVScale,Fairness,InstFolder,Status,ExpectedCost,ScenarioCostExpected,ScenarioCostMin,ScenarioCostMax,RegretExpected,RegretMin,RegretMax,RunTimeSec,ModelSolveTimeSec
1,Drahi_1.csv,6,4,4,0.2,100.0,10.0,5,2.0,1.0,SA,inst/inst2020,true,567857.5914129924,567857.5914129897,416352.0026685385,699225.6018369347,0.09447477203435697,1.1390776435683928e-5,0.46695636386598205,11.340633153915405,2.12
1,Drahi_1.csv,6,4,4,0.2,100.0,20.0,5,2.0,1.0,SA,inst/inst2020,true,595906.9884526138,595906.9884526216,415525.00476773037,754688.7632555338,0.12334145301342357,8.004086801902317e-5,0.6281143202834756,12.315913200378418,4.42
1,Drahi_1.csv,6,4,4,0.6,100.0,10.0,5,2.0,1.0,SA,inst/inst2020,true,689154.3388184479,689154.3388184649,477985.3829070354,789190.035267391,0.08479044834595131,1.2303981774925657e-5,0.45820040140563706,33.97347903251648,19.0
1,Drahi_1.csv,6,4,4,0.6,100.0,20.0,5,2.0,1.0,SA,inst/inst2020,true,624128.4042087194,624128.4042087198,355124.3018708485,1.0848032615349213e7,0.2573252085797206,0.0001797187341906011,3.893810189391087,40.44686985015869,24.65
1,Drahi_1.csv,6,4,4,0.2,100.0,10.0,10,2.0,1.0,SA,inst/inst2020,true,1.3273262049220563e6,1.3273262049220623e6,1.1912516276466772e6,1.4432094898404505e6,0.06887635594793326,1.111382790912879e-5,0.3306987665305238,92.95352220535278,37.74
1,Drahi_1.csv,6,4,4,0.2,100.0,20.0,10,2.0,1.0,SA,inst/inst2020,true,1.3785279587711904e6,1.3785279587711764e6,1.1670511169305006e6,1.5730239251823558e6,0.06484903981197573,4.928210908701093e-7,0.5691171345233921,147.42270708084106,91.32
1,Drahi_1.csv,6,4,4,0.6,100.0,10.0,10,2.0,1.0,SA,inst/inst2020,true,1.3882181617140595e6,1.388218161714068e6,1.0440812786133864e6,1.5658449518705674e6,0.10215102720999049,3.0679859747964747e-6,0.7064409426593163,127.91768980026245,72.85
1,Drahi_1.csv,6,4,4,0.6,100.0,20.0,10,2.0,1.0,SA,inst/inst2020,true,1.375257472982009e6,1.3752574729820078e6,1.0511599746473397e6,1.5691932794669624e6,0.13433359282276708,1.085560984832188e-5,0.8930098220410395,124.17185115814209,67.06
2,Drahi_2.csv,6,4,4,0.2,100.0,10.0,5,2.0,1.0,SA,inst/inst2020,true,611335.0454255145,611335.0454255103,546696.8362761538,694738.2261233565,0.06446555942032188,1.861638995855066e-5,0.3203695514883159,27.297619104385376,10.05
2,Drahi_2.csv,6,4,4,0.2,100.0,20.0,5,2.0,1.0,SA,inst/inst2020,true,647741.7543928575,647741.7543928557,561453.0396337706,772477.9542279649,0.05934905545314793,3.2878898863437464e-5,0.32832847467896054,24.548372983932495,10.84
2,Drahi_2.csv,6,4,4,0.6,100.0,10.0,5,2.0,1.0,SA,inst/inst2020,true,623099.461543954,623099.4615439605,454668.80670128105,782283.7153305667,0.125702545541334,3.582108849880173e-5,0.6066058357754105,38.86057901382446,21.66
2,Drahi_2.csv,6,4,4,0.6,100.0,20.0,5,2.0,1.0,SA,inst/inst2020,true,707277.3928993877,707277.3928993844,504761.8905810279,802704.1826192072,0.06891665905098017,0.00014198392019088702,0.6454672255296781,23.661062955856323,4.42
2,Drahi_2.csv,6,4,4,0.2,100.0,10.0,10,2.0,1.0,SA,inst/inst2020,true,1.4117409297168062e6,1.4117409297167968e6,1.3348480891237035e6,1.5336549275510558e6,0.0446264039944284,2.7774769532195355e-6,0.25847336763682927,93.47593808174133,25.98
2,Drahi_2.csv,6,4,4,0.2,100.0,20.0,10,2.0,1.0,SA,inst/inst2020,true,1.4363368073884258e6,1.4363368073884272e6,1.3204114979976793e6,1.5392139555255608e6,0.03797737560816453,1.2705855881206554e-6,0.34040285612799354,128.33271598815918,59.13
