Replication,Period,Controller,Fairness,FormulationID,FailureMessage
3,1,TWO_STAGE_RH,SA,shared_battery_mode_node_level_v1,"Bloque 1:4: El modelo no produjo valores (terminación TIME_LIMIT, primal NO_SOLUTION). PEA_RECOVERY=blocked_no_infeasibility_proof FAILURE_SOURCE=FAILURE_UNDETERMINED"
3,13,TWO_STAGE_RH,SA,shared_battery_mode_node_level_v1,"Bloque 13:16: El modelo no produjo valores (terminación TIME_LIMIT, primal NO_SOLUTION). PEA_RECOVERY=blocked_no_infeasibility_proof FAILURE_SOURCE=FAILURE_UNDETERMINED"
