Reading override parameter file '/home/franco/Documentos/Multistage_stochastic_fair_allocation/results_models/fairness_comparison/cplex_threads_1.prm' succeeded.
SKIP PEA C0001 stage=missing: resultado completo.
SKIP PEA C0002 stage=missing: resultado completo.
SKIP PEA C0003 stage=missing: resultado completo.
SKIP PEA C0004 stage=missing: resultado completo.
SKIP PEA C0005 stage=missing: resultado completo.
SKIP PEA C0006 stage=missing: resultado completo.
SKIP PEA C0007 stage=missing: resultado completo.
SKIP PEA C0008 stage=missing: resultado completo.
SKIP PEA C0009 stage=missing: resultado completo.
SKIP PEA C0010 stage=missing: resultado completo.
PEA completado: 10 filas de resumen.
