Date and time (UTC),power_conso_bat_a,power_conso_bat_b,power_conso_bat_c,power_conso_bat_d,pv_real,pv_arpege,airtemp_arpege
2024-09-01 00:00:00+00:00,1.42,1.7,4.28,1.583,-0.0,0.0,0.0
2024-09-01 00:05:00+00:00,1.32,1.71,4.58,1.857,-0.0,0.0,0.0
2024-09-01 00:10:00+00:00,1.34,1.75,4.83,1.866,-0.0,0.0,0.0
2024-09-01 00:15:00+00:00,1.45,2.02,4.29,1.744,-0.0,0.0,0.0
2024-09-01 00:20:00+00:00,1.3,2.01,4.25,1.703,-0.0,0.0,0.0
2024-09-01 00:25:00+00:00,1.21,1.9,4.14,1.747,-0.0,0.0,0.0
2024-09-01 00:30:00+00:00,1.43,1.52,4.25,1.742,-0.0,0.0,0.0
2024-09-01 00:35:00+00:00,1.29,1.42,4.24,1.757,-0.0,0.0,0.0
2024-09-01 00:40:00+00:00,1.13,1.43,4.1,1.819,-0.0,0.0,0.0
2024-09-01 00:45:00+00:00,1.05,1.39,3.77,1.751,-0.0,0.0,0.0
2024-09-01 00:50:00+00:00,0.98,1.3,4.38,1.667,-0.0,0.0,0.0
2024-09-01 00:55:00+00:00,1.13,1.41,4.62,1.612,-0.0,0.0,0.0
2024-09-01 01:00:00+00:00,1.12,1.33,4.06,1.569,-0.0,0.0,0.0
2024-09-01 01:05:00+00:00,1.18,1.32,3.83,1.505,-0.0,0.0,0.0
2024-09-01 01:10:00+00:00,1.31,1.28,3.77,1.685,-0.0,0.0,0.0
2024-09-01 01:15:00+00:00,1.45,1.33,3.79,1.603,-0.0,0.0,0.0
2024-09-01 01:20:00+00:00,1.59,1.4,3.81,1.634,-0.0,0.0,0.0
2024-09-01 01:25:00+00:00,1.48,1.37,3.88,1.815,-0.0,0.0,0.0
2024-09-01 01:30:00+00:00,1.44,1.32,3.94,1.777,-0.0,0.0,0.0
2024-09-01 01:35:00+00:00,1.41,1.23,4.04,1.516,-0.0,0.0,0.0
2024-09-01 01:40:00+00:00,1.3,1.24,4.81,1.503,-0.0,0.0,0.0
2024-09-01 01:45:00+00:00,1.11,1.07,4.1,1.414,-0.0,0.0,0.0
2024-09-01 01:50:00+00:00,1.09,1.04,3.63,1.331,-0.0,0.0,0.0
2024-09-01 01:55:00+00:00,1.04,1.02,3.66,1.447,-0.0,0.0,0.0
2024-09-01 02:00:00+00:00,1.17,1.04,3.69,1.662,-0.0,0.0,0.0
2024-09-01 02:05:00+00:00,1.23,1.13,3.7,1.865,-0.0,0.0,0.0
2024-09-01 02:10:00+00:00,1.4,1.18,3.66,1.965,-0.0,0.0,0.0
2024-09-01 02:15:00+00:00,1.43,1.14,3.83,1.894,-0.0,0.0,0.0
2024-09-01 02:20:00+00:00,1.38,1.05,3.82,1.945,-0.0,0.0,0.0
2024-09-01 02:25:00+00:00,1.39,1.11,4.32,1.919,-0.0,0.0,0.0
2024-09-01 02:30:00+00:00,1.42,1.28,3.99,1.776,-0.0,0.0,0.0
2024-09-01 02:35:00+00:00,1.28,1.29,3.88,1.765,-0.0,0.0,0.0
2024-09-01 02:40:00+00:00,1.21,1.27,3.9,1.652,-0.0,0.0,0.0
2024-09-01 02:45:00+00:00,1.35,1.13,4.1,1.767,-0.0,0.0,0.0
2024-09-01 02:50:00+00:00,1.47,1.18,4.09,1.9,-0.0,0.0,0.0
2024-09-01 02:55:00+00:00,1.36,1.15,4.02,1.773,-0.0,0.0,0.0
2024-09-01 03:00:00+00:00,1.25,1.12,3.83,1.77,-0.0,0.0,0.0
2024-09-01 03:05:00+00:00,1.12,1.11,3.73,1.691,-0.0,0.0,0.0
2024-09-01 03:10:00+00:00,1.1,0.99,3.99,1.686,-0.0,0.0,0.0
2024-09-01 03:15:00+00:00,1.04,0.91,4.36,1.778,-0.0,0.0,0.0
2024-09-01 03:20:00+00:00,1.15,0.9,3.78,1.869,-0.0,0.0,0.0
2024-09-01 03:25:00+00:00,1.24,1.11,3.68,1.991,-0.0,0.0,0.0
2024-09-01 03:30:00+00:00,1.38,1.19,3.53,2.038,-0.0,0.0,0.0
2024-09-01 03:35:00+00:00,1.42,1.33,3.58,1.916,-0.0,0.0,0.0
2024-09-01 03:40:00+00:00,1.56,1.36,3.65,1.971,-0.0,0.0,0.0
2024-09-01 03:45:00+00:00,1.54,1.21,4.08,1.915,-0.0,0.0,0.0
2024-09-01 03:50:00+00:00,1.37,1.14,4.07,1.737,-0.0,0.0,0.0
2024-09-01 03:55:00+00:00,1.27,1.12,3.92,1.656,-0.0,0.0,0.0
2024-09-01 04:00:00+00:00,1.17,1.06,4.47,1.638,-0.0,0.0,0.0
2024-09-01 04:05:00+00:00,1.12,1.05,4.08,1.775,-0.0,0.0,0.0
2024-09-01 04:10:00+00:00,1.03,1.08,3.83,1.667,-0.0,0.0,0.0
2024-09-01 04:15:00+00:00,1.09,0.91,3.95,1.662,-0.0,0.0,0.0
2024-09-01 04:20:00+00:00,1.18,0.91,3.86,1.741,-0.0,0.0,0.0
2024-09-01 04:25:00+00:00,1.21,1.02,5.03,1.882,-0.0,0.0,0.0
2024-09-01 04:30:00+00:00,1.16,1.05,4.07,1.926,-0.0,0.0,0.0
2024-09-01 04:35:00+00:00,1.14,1.25,3.72,1.863,-0.0,0.0,18.38
2024-09-01 04:40:00+00:00,1.12,1.44,3.98,1.757,-0.0,0.0,18.39
2024-09-01 04:45:00+00:00,1.07,1.28,4.81,1.686,-0.0,0.0,18.4
2024-09-01 04:50:00+00:00,1.09,2.72,5.56,1.741,-0.0,0.0,18.41
2024-09-01 04:55:00+00:00,1.27,3.88,4.48,1.773,-0.0,0.0,18.42
2024-09-01 05:00:00+00:00,1.25,2.5,4.02,1.77,0.0,0.0,18.43
2024-09-01 05:05:00+00:00,1.26,2.24,3.91,1.764,0.0,0.0,18.44
2024-09-01 05:10:00+00:00,1.35,2.08,5.08,1.592,0.0,0.0,18.45
2024-09-01 05:15:00+00:00,1.39,2.88,3.93,1.486,0.0,0.0,18.45
2024-09-01 05:20:00+00:00,1.53,1.82,3.83,1.627,0.0,0.0,18.46
2024-09-01 05:25:00+00:00,1.46,1.31,4.43,1.809,0.0,0.0,18.47
2024-09-01 05:30:00+00:00,1.48,1.32,4.29,1.918,0.0,0.0,18.48
2024-09-01 05:35:00+00:00,1.43,1.25,3.75,2.299,0.66,0.17,18.55
