Date and time (UTC),power_conso_bat_a,power_conso_bat_b,power_conso_bat_c,power_conso_bat_d,pv_real,pv_arpege,airtemp_arpege
2025-05-01 00:00:00+00:00,1.26,1.08,4.27,1.788,-0.0,0.0,0.0
2025-05-01 00:05:00+00:00,1.46,1.07,4.45,1.71,-0.0,0.0,0.0
2025-05-01 00:10:00+00:00,1.43,1.06,4.34,1.696,-0.0,0.0,0.0
2025-05-01 00:15:00+00:00,1.03,1.17,4.13,1.669,-0.0,0.0,0.0
2025-05-01 00:20:00+00:00,0.91,1.22,4.44,1.679,-0.0,0.0,0.0
2025-05-01 00:25:00+00:00,0.92,1.22,4.67,1.676,-0.0,0.0,0.0
2025-05-01 00:30:00+00:00,0.97,1.13,4.51,1.681,-0.0,0.0,0.0
2025-05-01 00:35:00+00:00,1.0,0.97,4.59,1.847,-0.0,0.0,0.0
2025-05-01 00:40:00+00:00,0.85,0.97,4.8,1.818,-0.0,0.0,0.0
2025-05-01 00:45:00+00:00,0.85,1.0,3.82,1.72,-0.0,0.0,0.0
2025-05-01 00:50:00+00:00,0.82,1.02,4.93,1.738,-0.0,0.0,0.0
2025-05-01 00:55:00+00:00,0.97,0.99,4.09,1.796,-0.0,0.0,0.0
2025-05-01 01:00:00+00:00,1.02,0.85,4.33,1.817,-0.0,0.0,0.0
2025-05-01 01:05:00+00:00,1.18,0.86,4.51,1.777,-0.0,0.0,0.0
2025-05-01 01:10:00+00:00,1.09,0.9,5.03,1.725,-0.0,0.0,0.0
2025-05-01 01:15:00+00:00,1.12,1.15,4.8,1.706,-0.0,0.0,0.0
2025-05-01 01:20:00+00:00,1.24,1.17,5.22,1.702,-0.0,0.0,0.0
2025-05-01 01:25:00+00:00,1.39,1.19,4.61,1.604,-0.0,0.0,0.0
2025-05-01 01:30:00+00:00,1.39,1.15,4.05,1.505,-0.0,0.0,0.0
2025-05-01 01:35:00+00:00,1.44,1.07,3.97,1.545,-0.0,0.0,0.0
2025-05-01 01:40:00+00:00,1.23,0.99,4.16,1.522,-0.0,0.0,0.0
2025-05-01 01:45:00+00:00,1.11,0.9,3.93,1.563,-0.0,0.0,0.0
2025-05-01 01:50:00+00:00,1.04,1.0,3.66,1.622,-0.0,0.0,0.0
2025-05-01 01:55:00+00:00,1.09,1.17,4.04,1.727,-0.0,0.0,0.0
2025-05-01 02:00:00+00:00,1.01,1.12,3.8,1.747,-0.0,0.0,0.0
2025-05-01 02:05:00+00:00,0.93,1.13,4.27,1.772,-0.0,0.0,0.0
