Date and time (UTC),power_conso_bat_a,power_conso_bat_b,power_conso_bat_c,power_conso_bat_d,pv_real,pv_arpege,airtemp_arpege
2025-06-01 00:00:00+00:00,1.14,0.75,4.95,2.027,-0.0,0.0,0.0
2025-06-01 00:05:00+00:00,1.33,0.73,4.49,1.952,-0.0,0.0,0.0
2025-06-01 00:10:00+00:00,1.43,0.86,4.43,1.981,-0.0,0.0,0.0
2025-06-01 00:15:00+00:00,1.4,0.94,4.72,1.868,-0.0,0.0,0.0
2025-06-01 00:20:00+00:00,1.42,0.99,4.52,1.771,-0.0,0.0,0.0
2025-06-01 00:25:00+00:00,1.28,0.86,4.37,2.032,-0.0,0.0,0.0
2025-06-01 00:30:00+00:00,1.37,0.81,4.25,1.941,-0.0,0.0,0.0
2025-06-01 00:35:00+00:00,1.33,1.01,3.85,1.647,-0.0,0.0,0.0
2025-06-01 00:40:00+00:00,1.39,1.26,3.96,1.705,-0.0,0.0,0.0
2025-06-01 00:45:00+00:00,1.18,1.2,3.96,1.66,-0.0,0.0,0.0
2025-06-01 00:50:00+00:00,1.16,1.17,4.0,1.675,-0.0,0.0,0.0
2025-06-01 00:55:00+00:00,1.31,1.16,4.24,1.622,-0.0,0.0,0.0
2025-06-01 01:00:00+00:00,1.34,1.18,4.06,1.768,-0.0,0.0,0.0
2025-06-01 01:05:00+00:00,1.25,1.17,4.12,1.845,-0.0,0.0,0.0
2025-06-01 01:10:00+00:00,1.21,1.05,4.47,1.879,-0.0,0.0,0.0
2025-06-01 01:15:00+00:00,1.18,1.05,3.95,1.78,-0.0,0.0,0.0
2025-06-01 01:20:00+00:00,1.24,1.26,4.14,1.669,-0.0,0.0,0.0
2025-06-01 01:25:00+00:00,1.3,1.28,4.16,1.588,-0.0,0.0,0.0
2025-06-01 01:30:00+00:00,1.2,1.19,4.3,1.498,-0.0,0.0,0.0
2025-06-01 01:35:00+00:00,1.19,1.25,3.98,1.489,-0.0,0.0,0.0
2025-06-01 01:40:00+00:00,1.18,1.24,4.0,1.497,-0.0,0.0,0.0
2025-06-01 01:45:00+00:00,1.17,1.25,4.04,1.616,-0.0,0.0,0.0
2025-06-01 01:50:00+00:00,1.3,1.31,3.98,1.75,-0.0,0.0,0.0
