FormulationID,Label,Controller,Passed,ExpectedModeNodes,GeneratedModeBinaries,UniquePolicyModes,LegacyHouseholdModeBinaries,Variables,Constraints,Nonzeros,FailedChecks,LPPath,MPSPath
shared_battery_mode_node_level_v1,DETERMINISTIC_RH__NONE,DETERMINISTIC_RH,true,24,24,24,120,768,1153,1539,,/home/franco/Documentos/Multistage_stochastic_fair_allocation/results_oos_timing_probe/model_audit/shared_battery_mode_node_level_v1__DETERMINISTIC_RH__NONE.lp,/home/franco/Documentos/Multistage_stochastic_fair_allocation/results_oos_timing_probe/model_audit/shared_battery_mode_node_level_v1__DETERMINISTIC_RH__NONE.mps
shared_battery_mode_node_level_v1,DETERMINISTIC_RH__STATIC_DEMAND_SHARE,DETERMINISTIC_RH,true,24,24,24,120,768,1273,1659,,/home/franco/Documentos/Multistage_stochastic_fair_allocation/results_oos_timing_probe/model_audit/shared_battery_mode_node_level_v1__DETERMINISTIC_RH__STATIC_DEMAND_SHARE.lp,/home/franco/Documentos/Multistage_stochastic_fair_allocation/results_oos_timing_probe/model_audit/shared_battery_mode_node_level_v1__DETERMINISTIC_RH__STATIC_DEMAND_SHARE.mps
shared_battery_mode_node_level_v1,DETERMINISTIC_RH__PEA,DETERMINISTIC_RH,true,24,24,24,120,768,1158,1659,,/home/franco/Documentos/Multistage_stochastic_fair_allocation/results_oos_timing_probe/model_audit/shared_battery_mode_node_level_v1__DETERMINISTIC_RH__PEA.lp,/home/franco/Documentos/Multistage_stochastic_fair_allocation/results_oos_timing_probe/model_audit/shared_battery_mode_node_level_v1__DETERMINISTIC_RH__PEA.mps
shared_battery_mode_node_level_v1,DETERMINISTIC_RH__PEA__adaptive_phase1,DETERMINISTIC_RH,true,24,24,24,120,769,1164,1789,,/home/franco/Documentos/Multistage_stochastic_fair_allocation/results_oos_timing_probe/model_audit/shared_battery_mode_node_level_v1__DETERMINISTIC_RH__PEA__adaptive_phase1.lp,/home/franco/Documentos/Multistage_stochastic_fair_allocation/results_oos_timing_probe/model_audit/shared_battery_mode_node_level_v1__DETERMINISTIC_RH__PEA__adaptive_phase1.mps
shared_battery_mode_node_level_v1,DETERMINISTIC_RH__PEA__adaptive_phase2,DETERMINISTIC_RH,true,24,24,24,120,769,1165,1790,,/home/franco/Documentos/Multistage_stochastic_fair_allocation/results_oos_timing_probe/model_audit/shared_battery_mode_node_level_v1__DETERMINISTIC_RH__PEA__adaptive_phase2.lp,/home/franco/Documentos/Multistage_stochastic_fair_allocation/results_oos_timing_probe/model_audit/shared_battery_mode_node_level_v1__DETERMINISTIC_RH__PEA__adaptive_phase2.mps
shared_battery_mode_node_level_v1,DETERMINISTIC_RH__SA,DETERMINISTIC_RH,true,24,24,24,120,768,1163,5139,,/home/franco/Documentos/Multistage_stochastic_fair_allocation/results_oos_timing_probe/model_audit/shared_battery_mode_node_level_v1__DETERMINISTIC_RH__SA.lp,/home/franco/Documentos/Multistage_stochastic_fair_allocation/results_oos_timing_probe/model_audit/shared_battery_mode_node_level_v1__DETERMINISTIC_RH__SA.mps
shared_battery_mode_node_level_v1,DETERMINISTIC_RH__LEXMMFPEA__phase1,DETERMINISTIC_RH,true,24,24,24,120,798,1203,2189,,/home/franco/Documentos/Multistage_stochastic_fair_allocation/results_oos_timing_probe/model_audit/shared_battery_mode_node_level_v1__DETERMINISTIC_RH__LEXMMFPEA__phase1.lp,/home/franco/Documentos/Multistage_stochastic_fair_allocation/results_oos_timing_probe/model_audit/shared_battery_mode_node_level_v1__DETERMINISTIC_RH__LEXMMFPEA__phase1.mps
shared_battery_mode_node_level_v1,DETERMINISTIC_RH__LEXMMFSA__phase1,DETERMINISTIC_RH,true,24,24,24,120,798,1203,3389,,/home/franco/Documentos/Multistage_stochastic_fair_allocation/results_oos_timing_probe/model_audit/shared_battery_mode_node_level_v1__DETERMINISTIC_RH__LEXMMFSA__phase1.lp,/home/franco/Documentos/Multistage_stochastic_fair_allocation/results_oos_timing_probe/model_audit/shared_battery_mode_node_level_v1__DETERMINISTIC_RH__LEXMMFSA__phase1.mps
shared_battery_mode_node_level_v1,TWO_STAGE_RH__NONE,TWO_STAGE_RH,true,2301,2301,2301,11505,73632,110548,147945,,/home/franco/Documentos/Multistage_stochastic_fair_allocation/results_oos_timing_probe/model_audit/shared_battery_mode_node_level_v1__TWO_STAGE_RH__NONE.lp,/home/franco/Documentos/Multistage_stochastic_fair_allocation/results_oos_timing_probe/model_audit/shared_battery_mode_node_level_v1__TWO_STAGE_RH__NONE.mps
shared_battery_mode_node_level_v1,TWO_STAGE_RH__STATIC_DEMAND_SHARE,TWO_STAGE_RH,true,2301,2301,2301,11505,73632,122053,159450,,/home/franco/Documentos/Multistage_stochastic_fair_allocation/results_oos_timing_probe/model_audit/shared_battery_mode_node_level_v1__TWO_STAGE_RH__STATIC_DEMAND_SHARE.lp,/home/franco/Documentos/Multistage_stochastic_fair_allocation/results_oos_timing_probe/model_audit/shared_battery_mode_node_level_v1__TWO_STAGE_RH__STATIC_DEMAND_SHARE.mps
