ExperimentID,FormulationID,Metric,Baseline,Comparison,Observations,Mean,StandardDeviation,StandardError,ConfidenceLow,ConfidenceHigh
oos_timing_probe,shared_battery_mode_node_level_v1,total_operating_cost__controller_difference,TWO_STAGE_RH|STATIC_DEMAND_SHARE,MULTISTAGE_RH|STATIC_DEMAND_SHARE,10,13.338894432084635,20.614023929566102,6.518726735864327,0.5621900297905533,26.115598834378716
oos_timing_probe,shared_battery_mode_node_level_v1,total_operating_cost__controller_difference,DETERMINISTIC_RH|PEA,TWO_STAGE_RH|PEA,10,-142.22143553035568,600.9881378345765,190.0491362300476,-514.717742541249,230.27487148053763
oos_timing_probe,shared_battery_mode_node_level_v1,total_operating_cost__controller_difference,DETERMINISTIC_RH|PEA,MULTISTAGE_RH|PEA,10,-527.9782352460898,2703.1728148041093,854.818300382951,-2203.4221039966733,1147.465633504494
oos_timing_probe,shared_battery_mode_node_level_v1,total_operating_cost__controller_difference,TWO_STAGE_RH|PEA,MULTISTAGE_RH|PEA,10,-385.7567997157341,2584.5067074174963,817.2927823421682,-1987.6506531063837,1216.1370536749155
oos_timing_probe,shared_battery_mode_node_level_v1,total_operating_cost__controller_difference,DETERMINISTIC_RH|SA,TWO_STAGE_RH|SA,10,606.4930373196257,1490.9535089115525,471.4808973580659,-317.6095215021834,1530.5955961414347
oos_timing_probe,shared_battery_mode_node_level_v1,total_operating_cost__controller_difference,DETERMINISTIC_RH|SA,MULTISTAGE_RH|SA,10,1798.439492755977,2621.71662511183,829.0595914883178,173.4826934388741,3423.39629207308
oos_timing_probe,shared_battery_mode_node_level_v1,total_operating_cost__controller_difference,TWO_STAGE_RH|SA,MULTISTAGE_RH|SA,10,1191.9464554363512,2728.2134605784313,862.7368478557838,-499.017766360985,2882.9106772336872
oos_timing_probe,shared_battery_mode_node_level_v1,total_operating_cost__controller_difference,DETERMINISTIC_RH|LEXMMFPEA,TWO_STAGE_RH|LEXMMFPEA,10,-982.5043084099656,2225.8922459074274,703.8889323175079,-2362.126615752281,397.1179989323497
oos_timing_probe,shared_battery_mode_node_level_v1,total_operating_cost__controller_difference,DETERMINISTIC_RH|LEXMMFPEA,MULTISTAGE_RH|LEXMMFPEA,10,-1048.4845874698833,3412.8205895155406,1079.2286308387672,-3163.772703913867,1066.8035289741003
oos_timing_probe,shared_battery_mode_node_level_v1,total_operating_cost__controller_difference,TWO_STAGE_RH|LEXMMFPEA,MULTISTAGE_RH|LEXMMFPEA,10,-65.98027905991766,2720.450639690917,860.2820283485363,-1752.1330546230488,1620.1724965032136
oos_timing_probe,shared_battery_mode_node_level_v1,total_operating_cost__controller_difference,DETERMINISTIC_RH|LEXMMFSA,TWO_STAGE_RH|LEXMMFSA,9,12.65365037860142,1091.1302035998983,363.71006786663276,-700.2180826399987,725.5253833972016
oos_timing_probe,shared_battery_mode_node_level_v1,total_operating_cost__controller_difference,DETERMINISTIC_RH|LEXMMFSA,MULTISTAGE_RH|LEXMMFSA,10,1110.7868610492092,3075.7256952598855,972.6298654926192,-795.5676753163243,3017.1413974147426
oos_timing_probe,shared_battery_mode_node_level_v1,total_operating_cost__controller_difference,TWO_STAGE_RH|LEXMMFSA,MULTISTAGE_RH|LEXMMFSA,9,1316.966053498055,2750.874218124355,916.9580727081184,-480.2717690098568,3114.203876005967
oos_timing_probe,shared_battery_mode_node_level_v1,total_operating_cost__fairness_difference,DETERMINISTIC_RH|NONE,DETERMINISTIC_RH|STATIC_DEMAND_SHARE,10,2.3283064365386964e-11,7.362751430292566e-11,2.328306436538696e-11,-2.2351741790771478e-11,6.891787052154541e-11
oos_timing_probe,shared_battery_mode_node_level_v1,total_operating_cost__fairness_difference,DETERMINISTIC_RH|NONE,DETERMINISTIC_RH|PEA,10,118187.1024294399,17278.898806290563,5464.067568744272,107477.52999470112,128896.67486417867
oos_timing_probe,shared_battery_mode_node_level_v1,total_operating_cost__fairness_difference,DETERMINISTIC_RH|NONE,DETERMINISTIC_RH|SA,10,180002.974982419,31283.292178009997,9892.64559910412,160613.3896081749,199392.56035666307
oos_timing_probe,shared_battery_mode_node_level_v1,total_operating_cost__fairness_difference,DETERMINISTIC_RH|NONE,DETERMINISTIC_RH|LEXMMFPEA,10,136172.69891142985,27139.806755946913,8582.360460561777,119351.27240872876,152994.12541413092
oos_timing_probe,shared_battery_mode_node_level_v1,total_operating_cost__fairness_difference,DETERMINISTIC_RH|NONE,DETERMINISTIC_RH|LEXMMFSA,10,181423.775447701,34995.714474083936,11066.616608302682,159733.20689542772,203114.34399997425
oos_timing_probe,shared_battery_mode_node_level_v1,total_operating_cost__fairness_difference,DETERMINISTIC_RH|STATIC_DEMAND_SHARE,DETERMINISTIC_RH|PEA,10,118187.10242943987,17278.898806290537,5464.067568744264,107477.52999470111,128896.67486417863
oos_timing_probe,shared_battery_mode_node_level_v1,total_operating_cost__fairness_difference,DETERMINISTIC_RH|STATIC_DEMAND_SHARE,DETERMINISTIC_RH|SA,10,180002.974982419,31283.29217800998,9892.645599104115,160613.38960817494,199392.56035666305
oos_timing_probe,shared_battery_mode_node_level_v1,total_operating_cost__fairness_difference,DETERMINISTIC_RH|STATIC_DEMAND_SHARE,DETERMINISTIC_RH|LEXMMFPEA,10,136172.6989114298,27139.80675594689,8582.360460561771,119351.27240872872,152994.12541413086
oos_timing_probe,shared_battery_mode_node_level_v1,total_operating_cost__fairness_difference,DETERMINISTIC_RH|STATIC_DEMAND_SHARE,DETERMINISTIC_RH|LEXMMFSA,10,181423.77544770093,34995.71447408393,11066.61660830268,159733.20689542766,203114.3439999742
oos_timing_probe,shared_battery_mode_node_level_v1,total_operating_cost__fairness_difference,DETERMINISTIC_RH|PEA,DETERMINISTIC_RH|SA,10,61815.87255297913,16111.489114660175,5094.9002099335885,51829.8681415093,71801.87696444897
oos_timing_probe,shared_battery_mode_node_level_v1,total_operating_cost__fairness_difference,DETERMINISTIC_RH|PEA,DETERMINISTIC_RH|LEXMMFPEA,10,17985.596481989942,11220.170894876805,3548.129576414037,11031.262512218429,24939.930451761455
oos_timing_probe,shared_battery_mode_node_level_v1,total_operating_cost__fairness_difference,DETERMINISTIC_RH|PEA,DETERMINISTIC_RH|LEXMMFSA,10,63236.67301826108,19670.361635069134,6220.314516601227,51044.85656572267,75428.48947079948
oos_timing_probe,shared_battery_mode_node_level_v1,total_operating_cost__fairness_difference,DETERMINISTIC_RH|SA,DETERMINISTIC_RH|LEXMMFPEA,10,-43830.27607098919,6892.1249665162,2179.4812812702917,-48102.05938227896,-39558.49275969942
oos_timing_probe,shared_battery_mode_node_level_v1,total_operating_cost__fairness_difference,DETERMINISTIC_RH|SA,DETERMINISTIC_RH|LEXMMFSA,10,1420.800465281948,4965.992287594046,1570.3846471627114,-1657.1534431569664,4498.7543737208625
oos_timing_probe,shared_battery_mode_node_level_v1,total_operating_cost__fairness_difference,DETERMINISTIC_RH|LEXMMFPEA,DETERMINISTIC_RH|LEXMMFSA,10,45251.07653627114,9362.837767957752,2960.789270939357,39447.92956523,51054.22350731228
oos_timing_probe,shared_battery_mode_node_level_v1,total_operating_cost__fairness_difference,TWO_STAGE_RH|NONE,TWO_STAGE_RH|STATIC_DEMAND_SHARE,10,6.984919309616089e-11,6.011661369054605e-11,1.9010542447858632e-11,3.258852989835797e-11,1.0710985629396381e-10
oos_timing_probe,shared_battery_mode_node_level_v1,total_operating_cost__fairness_difference,TWO_STAGE_RH|NONE,TWO_STAGE_RH|PEA,10,118045.30063715056,17556.11980172457,5551.732544823332,107163.90484929683,128926.6964250043
oos_timing_probe,shared_battery_mode_node_level_v1,total_operating_cost__fairness_difference,TWO_STAGE_RH|NONE,TWO_STAGE_RH|SA,10,180609.88766297966,31986.685405226784,10115.07806797826,160784.33464974226,200435.44067621705
oos_timing_probe,shared_battery_mode_node_level_v1,total_operating_cost__fairness_difference,TWO_STAGE_RH|NONE,TWO_STAGE_RH|LEXMMFPEA,10,135190.6142462609,27252.727328119247,8618.069080837178,118299.19884782002,152082.02964470178
oos_timing_probe,shared_battery_mode_node_level_v1,total_operating_cost__fairness_difference,TWO_STAGE_RH|NONE,TWO_STAGE_RH|LEXMMFSA,9,182874.92192257207,37370.846552594536,12456.948850864845,158459.30217487697,207290.54167026718
oos_timing_probe,shared_battery_mode_node_level_v1,total_operating_cost__fairness_difference,TWO_STAGE_RH|STATIC_DEMAND_SHARE,TWO_STAGE_RH|PEA,10,118045.30063715049,17556.119801724566,5551.7325448233305,107163.90484929676,128926.69642500422
oos_timing_probe,shared_battery_mode_node_level_v1,total_operating_cost__fairness_difference,TWO_STAGE_RH|STATIC_DEMAND_SHARE,TWO_STAGE_RH|SA,10,180609.8876629796,31986.685405226795,10115.078067978264,160784.3346497422,200435.440676217
oos_timing_probe,shared_battery_mode_node_level_v1,total_operating_cost__fairness_difference,TWO_STAGE_RH|STATIC_DEMAND_SHARE,TWO_STAGE_RH|LEXMMFPEA,10,135190.61424626084,27252.727328119254,8618.06908083718,118299.19884781996,152082.02964470172
oos_timing_probe,shared_battery_mode_node_level_v1,total_operating_cost__fairness_difference,TWO_STAGE_RH|STATIC_DEMAND_SHARE,TWO_STAGE_RH|LEXMMFSA,9,182874.92192257202,37370.84655259454,12456.948850864848,158459.3021748769,207290.54167026712
oos_timing_probe,shared_battery_mode_node_level_v1,total_operating_cost__fairness_difference,TWO_STAGE_RH|PEA,TWO_STAGE_RH|SA,10,62564.58702582911,16762.12777715734,5300.650220659251,52175.312593336974,72953.86145832125
oos_timing_probe,shared_battery_mode_node_level_v1,total_operating_cost__fairness_difference,TWO_STAGE_RH|PEA,TWO_STAGE_RH|LEXMMFPEA,10,17145.31360911033,10599.958449152979,3352.001180246952,10575.391295826303,23715.235922394357
oos_timing_probe,shared_battery_mode_node_level_v1,total_operating_cost__fairness_difference,TWO_STAGE_RH|PEA,TWO_STAGE_RH|LEXMMFSA,9,64442.83051397455,20751.537206442667,6917.179068814222,50885.15953909868,78000.50148885042
oos_timing_probe,shared_battery_mode_node_level_v1,total_operating_cost__fairness_difference,TWO_STAGE_RH|SA,TWO_STAGE_RH|LEXMMFPEA,10,-45419.27341671878,7571.495889067353,2394.317230405441,-50112.13518831345,-40726.41164512411
oos_timing_probe,shared_battery_mode_node_level_v1,total_operating_cost__fairness_difference,TWO_STAGE_RH|SA,TWO_STAGE_RH|LEXMMFSA,9,1533.7949687286746,4676.810075164129,1558.9366917213763,-1521.720947045223,4589.310884502573
oos_timing_probe,shared_battery_mode_node_level_v1,total_operating_cost__fairness_difference,TWO_STAGE_RH|LEXMMFPEA,TWO_STAGE_RH|LEXMMFSA,9,46891.796762016165,10122.910038789618,3374.303346263206,40278.16220334028,53505.43132069205
oos_timing_probe,shared_battery_mode_node_level_v1,total_operating_cost__fairness_difference,MULTISTAGE_RH|NONE,MULTISTAGE_RH|STATIC_DEMAND_SHARE,10,-1.1641532182693482e-11,6.608271647681793e-11,2.0897189803788222e-11,-5.2600024198118396e-11,2.931695983273144e-11
oos_timing_probe,shared_battery_mode_node_level_v1,total_operating_cost__fairness_difference,MULTISTAGE_RH|NONE,MULTISTAGE_RH|PEA,10,117646.20494300264,16248.029883061536,5138.078192095373,107575.5716864957,127716.83819950957
oos_timing_probe,shared_battery_mode_node_level_v1,total_operating_cost__fairness_difference,MULTISTAGE_RH|NONE,MULTISTAGE_RH|SA,10,181788.49522398383,31519.718347306756,9967.410118448754,162252.37139182427,201324.6190561434
oos_timing_probe,shared_battery_mode_node_level_v1,total_operating_cost__fairness_difference,MULTISTAGE_RH|NONE,MULTISTAGE_RH|LEXMMFPEA,10,135111.2950727688,25617.945148425795,8101.10556422858,119233.12816688076,150989.4619786568
