InstanceNo,InstanceFile,NBstage,Childs,Periods,#scen,Theta,Avg_d,Dev_d,J,Fairness,InstFolder,Status,MeanAbsFairnessGap,MaxAbsFairnessGap,Iterations,RunTimeSec,ModelSolveTimeSec
5,Drahi_5.csv,6,6,4,7776,0.2,100.0,10.0,5,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,5.684341886080801e-13,2.5011104298755527e-12,50,29.886430978775024,15.86
5,Drahi_5.csv,6,6,4,7776,0.2,100.0,20.0,5,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,9.549694368615747e-13,3.183231456205249e-12,50,43.510318994522095,29.15
5,Drahi_5.csv,6,6,4,7776,0.6,100.0,10.0,5,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,6.934897101018577e-13,2.9558577807620168e-12,50,40.542304039001465,22.5
5,Drahi_5.csv,6,6,4,7776,0.6,100.0,20.0,5,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,5.570655048359186e-13,1.9326762412674725e-12,50,25.3757381439209,14.99
5,Drahi_5.csv,6,6,4,7776,0.2,100.0,10.0,10,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,6.934897101018577e-13,6.423306331271306e-12,50,66.80815124511719,36.55
5,Drahi_5.csv,6,6,4,7776,0.2,100.0,20.0,10,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,5.854872142663226e-13,4.604316927725449e-12,50,51.257132053375244,29.22
5,Drahi_5.csv,6,6,4,7776,0.6,100.0,10.0,10,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,4.035882739117369e-13,2.2737367544323206e-12,50,61.88797688484192,28.98
5,Drahi_5.csv,6,6,4,7776,0.6,100.0,20.0,10,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,5.826450433232822e-13,5.5990767577895895e-12,50,62.594165086746216,34.77
6,Drahi_6.csv,6,6,4,7776,0.2,100.0,10.0,5,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,6.59383658785373e-13,3.126388037344441e-12,50,22.824578762054443,11.54
6,Drahi_6.csv,6,6,4,7776,0.2,100.0,20.0,5,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,6.764366844436154e-13,2.1316282072803006e-12,50,26.967733144760132,14.42
6,Drahi_6.csv,6,6,4,7776,0.6,100.0,10.0,5,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,8.071765478234738e-13,3.865352482534945e-12,50,28.11652421951294,15.51
