InstanceNo,InstanceFile,NBstage,Childs,Periods,#scen,Theta,Avg_d,Dev_d,J,Fairness,House,InstFolder,Status,PVReceivedExpected,PVReceivedMin,PVReceivedMax,CostExpected,CostMin,CostMax,RegretExpected,RegretMin,RegretMax,RunTimeSec,ModelSolveTimeSec
1,Drahi_1.csv,6,6,4,7776,0.2,100.0,10.0,5,PEA,1,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,208.08262820493027,57.22259612893893,341.6554611464801,139729.3308817488,129961.62754086126,154778.33161585682,0.16708753088604295,6.813555978366773e-5,0.3385817677342118,46.84230899810791,20.55
1,Drahi_1.csv,6,6,4,7776,0.2,100.0,10.0,5,PEA,2,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,285.87596075146917,81.67917277309198,504.4956220704423,139646.30711319039,110124.56827712157,211319.100223872,0.08972545367976531,2.0940151673743392e-5,0.30082675622965144,46.84230899810791,20.55
1,Drahi_1.csv,6,6,4,7776,0.2,100.0,10.0,5,PEA,3,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,213.9784908667656,47.528384421011424,369.43268722616887,135768.22253616867,112973.42832489252,160017.7039887348,0.08384068788847943,4.1657400145642886e-6,0.3746430051817404,46.84230899810791,20.55
1,Drahi_1.csv,6,6,4,7776,0.2,100.0,10.0,5,PEA,4,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,216.31625566876474,89.23102847833552,401.8399405219439,147143.02382565773,134454.25572716517,164450.32626923706,0.16487025005183506,6.656791551627625e-5,0.4894919168376675,46.84230899810791,20.55
1,Drahi_1.csv,6,6,4,7776,0.2,100.0,10.0,5,PEA,5,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,212.35201028631187,77.16542484507725,443.84267247140684,146540.09076136578,140707.5363975346,152139.9781194733,0.07536111110691886,1.4123675889823826e-6,0.4014740583054684,46.84230899810791,20.55
1,Drahi_1.csv,6,6,4,7776,0.2,100.0,20.0,5,PEA,1,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,265.85140090441104,61.793090537989926,467.2347868000247,111715.89006345897,78604.49073063911,144239.36923424923,0.09617305525885238,4.2028880447124554e-5,0.5303894703727972,27.117460250854492,11.18
1,Drahi_1.csv,6,6,4,7776,0.2,100.0,20.0,5,PEA,2,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,263.50118153241164,124.67873357170421,460.3556170028647,107887.26473901045,79013.89365474405,154823.9827179865,0.09242054399587075,8.209717110705458e-6,0.5134388152919831,27.117460250854492,11.18
1,Drahi_1.csv,6,6,4,7776,0.2,100.0,20.0,5,PEA,3,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,258.35478861595726,108.02076554711377,469.7756744725459,144074.69712356472,98021.8297965541,182760.16531329692,0.09050866314753765,7.3720056359089994e-6,0.4200912775347958,27.117460250854492,11.18
1,Drahi_1.csv,6,6,4,7776,0.2,100.0,20.0,5,PEA,4,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,257.4617737569748,108.2072743099234,451.1249165271327,144333.48535499186,103278.79079654142,185629.82847751677,0.08776561531214964,1.0209183043973557e-5,0.4113473423137858,27.117460250854492,11.18
1,Drahi_1.csv,6,6,4,7776,0.2,100.0,20.0,5,PEA,5,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,257.850974385841,144.84326489627628,360.0465614359408,133256.85316343678,124940.11163424469,146558.8164802168,0.07848426091116098,1.9601215488237183e-6,0.2531614683673819,27.117460250854492,11.18
1,Drahi_1.csv,6,6,4,7776,0.6,100.0,10.0,5,PEA,1,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,286.4188140633101,2.821818238424293,934.150316901758,140137.17971290584,95192.99222288994,172003.40452876824,0.23399775938429757,0.0001377475625564519,1.860981577718497,37.58298301696777,25.59
1,Drahi_1.csv,6,6,4,7776,0.6,100.0,10.0,5,PEA,2,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,371.5672427182096,2.6652038170060517,1121.193195523995,114382.61783588422,79843.63939305712,157245.53813413656,0.12795625852088321,1.3761030273465867e-5,0.8964227637064158,37.58298301696777,25.59
