InstanceNo,InstanceFile,NBstage,Childs,Periods,#scen,Theta,Avg_d,Dev_d,J,Fairness,InstFolder,Status,ExpectedCost,ScenarioCostExpected,ScenarioCostMin,ScenarioCostMax,RegretExpected,RegretMin,RegretMax,RunTimeSec,ModelSolveTimeSec
1,Drahi_1.csv,6,6,4,7776,0.2,100.0,10.0,5,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,708826.9751180722,708826.9751181348,657102.24504952,783609.0511404169,0.11617700672260839,1.4123675889823826e-6,0.4894919168376675,46.84230899810791,20.55
1,Drahi_1.csv,6,6,4,7776,0.2,100.0,20.0,5,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,641268.1904444708,641268.1904444613,544186.0270075257,741206.0021412962,0.08907042772511403,1.9601215488237183e-6,0.5303894703727972,27.117460250854492,11.18
1,Drahi_1.csv,6,6,4,7776,0.6,100.0,10.0,5,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,642236.8609423628,642236.8609423066,530940.5662306682,787370.719873033,0.2290690473203211,3.3291569100397496e-6,3.272798840907073,37.58298301696777,25.59
1,Drahi_1.csv,6,6,4,7776,0.6,100.0,20.0,5,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,665255.0471388698,665255.0471388713,587930.248813154,759298.6288808334,0.15336400220074578,1.850955837929064e-5,2.1567287332477254,22.32791304588318,9.55
1,Drahi_1.csv,6,6,4,7776,0.2,100.0,10.0,10,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,1.377557387058341e6,1.3775573870583281e6,1.2377006540876937e6,1.4909779357593127e6,0.22550605079983735,7.947300079363533e-7,2.435127953876726,62.68597912788391,32.94
1,Drahi_1.csv,6,6,4,7776,0.2,100.0,20.0,10,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,1.5008110784895648e6,1.5008110784895676e6,1.3570069211781516e6,1.6195396914856022e6,0.12118787095215577,4.976451851214627e-6,1.339452678358977,67.31896185874939,36.95
1,Drahi_1.csv,6,6,4,7776,0.6,100.0,10.0,10,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,1.4198060268569228e6,1.419806026856914e6,1.297396324548348e6,1.539193596902494e6,0.24569625013191201,1.581801656054537e-6,6.41078167268789,75.61756587028503,47.22
1,Drahi_1.csv,6,6,4,7776,0.6,100.0,20.0,10,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,1.4260706665265225e6,1.426070666526516e6,1.2488923405914893e6,1.6195789123989495e6,0.32810290752695587,1.0043940201593525e-5,6.725307938028931,50.93526005744934,25.76
2,Drahi_2.csv,6,6,4,7776,0.2,100.0,10.0,5,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,736623.8194196983,736623.8194197024,686136.975009872,806036.8323763338,0.10970751730123585,2.4160804328555014e-6,0.9754057572843531,67.75743103027344,33.97
2,Drahi_2.csv,6,6,4,7776,0.2,100.0,20.0,5,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,704059.3662653512,704059.3662653533,601754.908695637,812209.9208320227,0.12820840459629276,8.792382703557076e-7,1.0559467737690842,41.931979179382324,22.35
2,Drahi_2.csv,6,6,4,7776,0.6,100.0,10.0,5,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,687218.1564656696,687218.1564656609,498694.9571391387,795477.1741712451,0.26842872189060973,0.0,3.117408398379224,41.82749390602112,23.15
2,Drahi_2.csv,6,6,4,7776,0.6,100.0,20.0,5,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,636771.5388795957,636771.5388795933,533945.5298313764,738993.0769868711,0.16046642959435373,3.249294175872935e-5,1.2946475666557309,54.718141078948975,25.02
2,Drahi_2.csv,6,6,4,7776,0.2,100.0,10.0,10,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,1.4356370090339195e6,1.435637009033923e6,1.3491126195984995e6,1.5186593451499597e6,0.2852469823019396,1.1283853012756493e-5,1.9387473869395557,90.21816611289978,38.29
2,Drahi_2.csv,6,6,4,7776,0.2,100.0,20.0,10,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,1.4866436392920164e6,1.4866436392920099e6,1.3574103988845507e6,1.6254336904809484e6,0.18571099427382112,1.67711665759488e-5,2.4033819899135676,102.07913398742676,37.68
2,Drahi_2.csv,6,6,4,7776,0.6,100.0,10.0,10,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,1.5095299335246799e6,1.5095299335246596e6,1.4037326000657834e6,1.5901685245637991e6,0.20771884683679928,0.0,3.8800669676058748,81.43538999557495,48.89
2,Drahi_2.csv,6,6,4,7776,0.6,100.0,20.0,10,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,1.4020043234944432e6,1.4020043234944392e6,1.1987042528675813e6,1.591128954914137e6,0.5881032966734933,1.7346404563486086e-6,8.966902549297476,86.2114200592041,61.32
3,Drahi_3.csv,6,6,4,7776,0.2,100.0,10.0,5,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,624006.3777256447,624006.3777256451,537166.1029370548,758767.1765222623,0.13659968648455795,1.7347190708402798e-6,0.7874245862145361,32.89377403259277,18.2
3,Drahi_3.csv,6,6,4,7776,0.2,100.0,20.0,5,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,732355.5558161056,732355.5558161034,675306.4237640065,815729.0684173882,0.1194485061343745,8.287352997979328e-6,0.6996797967583628,36.410573959350586,20.18
