InstanceNo,InstanceFile,NBstage,Childs,Periods,#scen,Theta,Avg_d,Dev_d,J,Fairness,InstFolder,Status,ExpectedCost,ScenarioCostExpected,ScenarioCostMin,ScenarioCostMax,RegretExpected,RegretMin,RegretMax,RunTimeSec,ModelSolveTimeSec
1,Drahi_1.csv,6,6,4,7776,0.2,100.0,10.0,5,LEXMMFSA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,750363.6008167581,750363.6008168194,690104.2000006253,853858.0892847698,0.3263779462541907,4.124277199392684e-6,1.2214633919389675,22.387316942214966,10.0
1,Drahi_1.csv,6,6,4,7776,0.2,100.0,20.0,5,LEXMMFSA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,677126.3307510506,677126.3307510396,587518.9489705516,765804.7429062999,0.3227781113459534,9.629795274880118e-6,0.9422703814609062,31.683329105377197,19.86
1,Drahi_1.csv,6,6,4,7776,0.6,100.0,10.0,5,LEXMMFSA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,735296.2341393637,735296.2341392988,643584.2451529645,906678.6492671722,0.47698430488042814,6.399135944230711e-6,3.321043132393927,34.39283299446106,18.01
1,Drahi_1.csv,6,6,4,7776,0.6,100.0,20.0,5,LEXMMFSA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,734400.9985508841,734400.9985508871,668946.3744994615,947337.2550433652,0.40521738465033563,4.084371324585164e-6,3.341041274480792,23.5704402923584,12.19
1,Drahi_1.csv,6,6,4,7776,0.2,100.0,10.0,10,LEXMMFSA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,1.4249434140621508e6,1.4249434140621375e6,1.341585233264418e6,1.5139381675091996e6,0.3761658693758182,2.243632193182351e-5,4.840820938280966,42.402835845947266,21.35
1,Drahi_1.csv,6,6,4,7776,0.2,100.0,20.0,10,LEXMMFSA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,1.5454348467511246e6,1.5454348467511425e6,1.409388132087098e6,1.6599597060139454e6,0.5101623355135269,4.740226897679571e-6,4.986148383402723,43.16841769218445,23.7
1,Drahi_1.csv,6,6,4,7776,0.6,100.0,10.0,10,LEXMMFSA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,1.4753922210154643e6,1.4753922210154631e6,1.395705081290364e6,1.6248222650126284e6,0.5823860181221676,1.1159065401625179e-5,7.990657951816038,48.34326791763306,31.23
1,Drahi_1.csv,6,6,4,7776,0.6,100.0,20.0,10,LEXMMFSA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,1.4763838542430114e6,1.476383854243004e6,1.358329418680797e6,1.6229796953536838e6,0.6393395582994851,1.0274794817877262e-5,31.28037904775938,59.99287295341492,38.04
2,Drahi_2.csv,6,6,4,7776,0.2,100.0,10.0,5,LEXMMFSA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,758285.0659747162,758285.0659747268,703588.1770647665,818632.6272708571,0.29717688206681997,1.4306742004296635e-6,2.1982648999036707,26.762341737747192,12.43
2,Drahi_2.csv,6,6,4,7776,0.2,100.0,20.0,5,LEXMMFSA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,727081.260575413,727081.2605754096,633868.347457999,824964.3681177525,0.3210885310456749,2.2115045072667005e-6,1.9448752613289304,35.79520392417908,19.3
2,Drahi_2.csv,6,6,4,7776,0.6,100.0,10.0,5,LEXMMFSA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,704190.4224306678,704190.4224306623,563571.6485495063,796102.3311580109,0.6080047700270816,9.253884392446437e-6,26.374369851841276,51.7112340927124,33.05
2,Drahi_2.csv,6,6,4,7776,0.6,100.0,20.0,5,LEXMMFSA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,691704.0456747082,691704.0456747147,623617.6624265814,775789.8120672227,0.3370533220988054,0.00026506620134526365,1.7367458850738546,24.45034170150757,11.18
2,Drahi_2.csv,6,6,4,7776,0.2,100.0,10.0,10,LEXMMFSA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,1.4634677025259696e6,1.463467702525978e6,1.3908697859847052e6,1.5326408101329901e6,0.24415465575564804,3.9541691392646226e-6,1.9056961323503856,55.42491602897644,31.04
2,Drahi_2.csv,6,6,4,7776,0.2,100.0,20.0,10,LEXMMFSA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,1.5011502266684172e6,1.5011502266684135e6,1.3745472856853912e6,1.6274681419385662e6,0.581049249273949,2.6746520279648545e-6,6.099542645117467,55.1103892326355,28.12
2,Drahi_2.csv,6,6,4,7776,0.6,100.0,10.0,10,LEXMMFSA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,1.527034440356068e6,1.5270344403560509e6,1.448243698089078e6,1.5920443205411544e6,1.2796265734663215,2.75824829914586e-6,55.81541171030519,65.38658404350281,35.18
2,Drahi_2.csv,6,6,4,7776,0.6,100.0,20.0,10,LEXMMFSA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,1.4226301258218526e6,1.4226301258218538e6,1.24448009894281e6,1.5938636529484952e6,0.5392176761655373,1.2954465415681668e-5,10.138573944072823,57.06195783615112,27.33
3,Drahi_3.csv,6,6,4,7776,0.2,100.0,10.0,5,LEXMMFSA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,679472.2421672844,679472.2421672865,623062.2461253648,769897.7795493854,0.2500825830237429,1.2729685268421939e-5,1.5543173169741922,29.008362293243408,17.25
3,Drahi_3.csv,6,6,4,7776,0.2,100.0,20.0,5,LEXMMFSA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,778290.1225760715,778290.1225760728,700998.7359386227,894183.0580797934,0.27179995130453444,9.248767240246317e-5,1.2919695310337023,22.453049182891846,10.83
3,Drahi_3.csv,6,6,4,7776,0.6,100.0,10.0,5,LEXMMFSA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,759917.0731528013,759917.0731528067,661178.098869887,1.055897828925874e6,0.5632403224622868,7.922287966363536e-5,20.91484146497736,24.094445943832397,11.41
