InstanceNo,InstanceFile,NBstage,Childs,Periods,#scen,Theta,Avg_d,Dev_d,J,Fairness,InstFolder,Status,MeanAbsFairnessGap,MaxAbsFairnessGap,Iterations,RunTimeSec,ModelSolveTimeSec
1,Drahi_1.csv,6,6,4,7776,0.2,100.0,10.0,5,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,1.7053025658242404e-13,3.410605131648481e-13,50,32.037997007369995,14.09
1,Drahi_1.csv,6,6,4,7776,0.2,100.0,20.0,5,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,6.59383658785373e-13,2.8421709430404007e-12,50,21.856603145599365,11.79
1,Drahi_1.csv,6,6,4,7776,0.6,100.0,10.0,5,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,1.1027623258996754e-12,5.002220859751105e-12,50,21.71337580680847,13.09
1,Drahi_1.csv,6,6,4,7776,0.6,100.0,20.0,5,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,6.139089236967266e-13,2.5011104298755527e-12,50,17.765666961669922,7.89
1,Drahi_1.csv,6,6,4,7776,0.2,100.0,10.0,10,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,5.1159076974727215e-14,3.268496584496461e-13,50,36.02612614631653,16.85
1,Drahi_1.csv,6,6,4,7776,0.2,100.0,20.0,10,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,1.5631940186722204e-13,1.0089706847793423e-12,50,54.228047132492065,33.57
1,Drahi_1.csv,6,6,4,7776,0.6,100.0,10.0,10,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,1.6768808563938365e-13,1.0800249583553523e-12,50,63.06629014015198,41.38
1,Drahi_1.csv,6,6,4,7776,0.6,100.0,20.0,10,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,1.3784529073745943e-13,1.0658141036401503e-12,50,42.244609117507935,21.71
2,Drahi_2.csv,6,6,4,7776,0.2,100.0,10.0,5,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,1.1368683772161603e-13,4.263256414560601e-13,50,26.5396409034729,17.31
2,Drahi_2.csv,6,6,4,7776,0.2,100.0,20.0,5,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,2.8990143619012086e-13,1.3216094885137863e-12,50,21.15906071662903,10.85
2,Drahi_2.csv,6,6,4,7776,0.6,100.0,10.0,5,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,7.673861546209083e-14,3.410605131648481e-13,50,24.205068111419678,14.24
2,Drahi_2.csv,6,6,4,7776,0.6,100.0,20.0,5,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,6.59383658785373e-13,3.154809746774845e-12,50,17.632965803146362,8.82
2,Drahi_2.csv,6,6,4,7776,0.2,100.0,10.0,10,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,5.826450433232821e-14,3.836930773104541e-13,50,52.359227895736694,30.84
