InstanceNo,InstanceFile,NBstage,Childs,Periods,#scen,Theta,Avg_d,Dev_d,J,Fairness,InstFolder,Status,MeanAbsFairnessGap,MaxAbsFairnessGap,Iterations,RunTimeSec,ModelSolveTimeSec
1,Drahi_1.csv,6,6,4,7776,0.2,100.0,10.0,5,SA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,335.918340482432,553.1690797399278,50,19.14839768409729,8.21
1,Drahi_1.csv,6,6,4,7776,0.2,100.0,20.0,5,SA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,220.3990316577503,527.3928357039858,50,19.179058074951172,11.38
1,Drahi_1.csv,6,6,4,7776,0.6,100.0,10.0,5,SA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,370.078747922082,858.5382002797651,50,20.947865962982178,12.43
1,Drahi_1.csv,6,6,4,7776,0.6,100.0,20.0,5,SA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,367.51517941888926,628.5705470836492,50,16.2356219291687,7.47
1,Drahi_1.csv,6,6,4,7776,0.2,100.0,10.0,10,SA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,330.1663153809551,1106.3512607937828,50,36.64369511604309,16.94
1,Drahi_1.csv,6,6,4,7776,0.2,100.0,20.0,10,SA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,757.1287717988914,2061.581353352957,50,43.34181499481201,24.97
1,Drahi_1.csv,6,6,4,7776,0.6,100.0,10.0,10,SA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,299.36082519567145,554.705208788484,50,63.449970722198486,40.22
1,Drahi_1.csv,6,6,4,7776,0.6,100.0,20.0,10,SA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,238.30141288238042,574.3098747472959,50,84.58359789848328,48.22
2,Drahi_2.csv,6,6,4,7776,0.2,100.0,10.0,5,SA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,125.46341790259649,189.91306240892482,50,41.083783864974976,23.83
2,Drahi_2.csv,6,6,4,7776,0.2,100.0,20.0,5,SA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,220.81093804939283,384.9128685497135,50,20.794721841812134,11.05
