InstanceNo,InstanceFile,NBstage,Childs,Periods,#scen,Theta,Avg_d,Dev_d,J,Fairness,InstFolder,Status,ExpectedCost,ScenarioCostExpected,ScenarioCostMin,ScenarioCostMax,RegretExpected,RegretMin,RegretMax,RunTimeSec,ModelSolveTimeSec
1,Drahi_1.csv,6,6,4,7776,0.2,100.0,10.0,5,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,706910.6937876916,706910.69378775,648917.2693254445,779422.5619115967,0.09388739415866211,4.125539928119681e-6,0.5920622352950047,32.037997007369995,14.09
1,Drahi_1.csv,6,6,4,7776,0.2,100.0,20.0,5,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,626093.5734459513,626093.5734459398,522398.0531408549,736281.1824922557,0.0841633196787205,2.631994277052971e-6,0.6260438982024753,21.856603145599365,11.79
1,Drahi_1.csv,6,6,4,7776,0.6,100.0,10.0,5,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,631289.7769669378,631289.776966879,516651.3577724149,786673.6312489104,0.1859227074745854,1.0397062140625072e-5,3.166637763149556,21.71337580680847,13.09
1,Drahi_1.csv,6,6,4,7776,0.6,100.0,20.0,5,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,663988.6917916468,663988.6917916512,586397.85909917,753114.2681320967,0.1537435588617734,3.209474036665213e-5,3.0886349718932453,17.765666961669922,7.89
1,Drahi_1.csv,6,6,4,7776,0.2,100.0,10.0,10,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,1.3784018163588995e6,1.378401816358897e6,1.2459918359172402e6,1.4938681624386439e6,0.21586538661024884,1.9016602216091604e-6,2.296097812928929,36.02612614631653,16.85
1,Drahi_1.csv,6,6,4,7776,0.2,100.0,20.0,10,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,1.4928966696572115e6,1.492896669657207e6,1.3507254459350382e6,1.6099152933933353e6,0.13502129119101824,8.926892636109222e-7,1.2075868194997732,54.228047132492065,33.57
1,Drahi_1.csv,6,6,4,7776,0.6,100.0,10.0,10,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,1.4146720996941072e6,1.414672099694111e6,1.2858319268041558e6,1.539643926029543e6,0.25556494735308105,5.634473616133004e-6,7.635196557398828,63.06629014015198,41.38
1,Drahi_1.csv,6,6,4,7776,0.6,100.0,20.0,10,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,1.4278417654975692e6,1.427841765497558e6,1.2719632045803238e6,1.6189166201087667e6,0.30096079626948147,6.817714612118419e-6,6.554410927715934,42.244609117507935,21.71
2,Drahi_2.csv,6,6,4,7776,0.2,100.0,10.0,5,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,737067.2563444342,737067.2563444397,680507.8483799561,808164.3246659904,0.10728209090804759,8.292818388549726e-6,1.1787668317351419,26.5396409034729,17.31
2,Drahi_2.csv,6,6,4,7776,0.2,100.0,20.0,5,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,701902.0952803023,701902.0952803036,594338.7991552064,811721.7342453313,0.1605608734356538,1.0875774981855467e-6,0.9395859911742293,21.15906071662903,10.85
2,Drahi_2.csv,6,6,4,7776,0.6,100.0,10.0,5,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,688934.7960273327,688934.7960273243,507006.40759900585,795553.4141641993,0.28407982899383427,0.0,2.6412335335574952,24.205068111419678,14.24
2,Drahi_2.csv,6,6,4,7776,0.6,100.0,20.0,5,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,637651.0755854553,637651.0755854517,538575.2439971525,742370.9292212272,0.1681975361473553,1.797874015440028e-5,1.4262002238475378,17.632965803146362,8.82
