InstanceNo,InstanceFile,NBstage,Childs,Periods,#scen,Theta,Avg_d,Dev_d,J,Fairness,InstFolder,Status,MeanAbsFairnessGap,MaxAbsFairnessGap,Iterations,RunTimeSec,ModelSolveTimeSec
1,Drahi_1.csv,6,6,4,7776,0.2,100.0,10.0,5,LEXMMFSA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,1110.2566522236707,1436.9298739269216,50,22.387316942214966,10.0
1,Drahi_1.csv,6,6,4,7776,0.2,100.0,20.0,5,LEXMMFSA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,5333.472871377313,6911.144416883042,50,31.683329105377197,19.86
1,Drahi_1.csv,6,6,4,7776,0.6,100.0,10.0,5,LEXMMFSA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,2236.37298303616,3554.853174873926,50,34.39283299446106,18.01
1,Drahi_1.csv,6,6,4,7776,0.6,100.0,20.0,5,LEXMMFSA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,2810.5364658908225,6201.282968107103,50,23.5704402923584,12.19
1,Drahi_1.csv,6,6,4,7776,0.2,100.0,10.0,10,LEXMMFSA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,786.1212687493575,1276.7240884400421,50,42.402835845947266,21.35
1,Drahi_1.csv,6,6,4,7776,0.2,100.0,20.0,10,LEXMMFSA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,100.80659454676788,278.0095946233755,50,43.16841769218445,23.7
1,Drahi_1.csv,6,6,4,7776,0.6,100.0,10.0,10,LEXMMFSA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,438.9619297483141,858.6457282422261,50,48.34326791763306,31.23
1,Drahi_1.csv,6,6,4,7776,0.6,100.0,20.0,10,LEXMMFSA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,287.10097167392706,799.5809066773736,50,59.99287295341492,38.04
2,Drahi_2.csv,6,6,4,7776,0.2,100.0,10.0,5,LEXMMFSA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,179.7740984683631,325.78625074702086,50,26.762341737747192,12.43
2,Drahi_2.csv,6,6,4,7776,0.2,100.0,20.0,5,LEXMMFSA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,841.7294592171099,1416.2733756403532,50,35.79520392417908,19.3
