Fairness,AvgJainIndex,AvgGiniCoefficient,AvgMaxMinRatio,NumGroups,NumValidGroups,NumFiniteMaxMin
LEXMMFPEA,0.7343653792576579,0.299289425844938,5.783753762755023,80,80,80
LEXMMFSA,0.9999999363652654,0.00010791459092039191,1.0005147999909625,80,80,80
NONE,0.5333208020903414,0.473103780662971,29.240551868502358,80,75,75
PEA,0.6883823622510468,0.3326493229809183,9.0665963251064,80,80,80
SA,0.8911327026931609,0.12261478143370201,2.4566166406281154,80,80,80
