J,Theta,Fairness,Mean,Min,Max,Std
5,0.2,LEXMMFPEA,22.095109293703544,11.977318373984223,27.938856484798837,6.968750146951517
5,0.2,LEXMMFSA,15.562437946492352,13.857104842942068,16.30547038078222,0.9404093305800425
5,0.2,NONE,26.088768213852397,7.890282652985779,37.23388945670921,12.00127672409294
5,0.2,PEA,21.802618833430095,11.977801484078496,28.10428635170411,6.722315255486987
5,0.2,SA,15.306658223436639,15.27562654239853,15.334934496698395,0.02125915918990249
5,0.6,LEXMMFPEA,8.24274006614751,3.6256320650372986,11.065919298248511,3.2752397051473556
5,0.6,LEXMMFSA,6.212442778546994,5.965365682777534,6.398042231452431,0.19471527761654844
5,0.6,NONE,10.10059927569141,2.806558279244967,15.263565218975362,5.536671974933914
5,0.6,PEA,8.244973755802027,3.6524449149740508,11.08208519070686,3.2769024595529888
5,0.6,SA,6.019678744759269,5.985643505367828,6.078182061355758,0.03224331388811227
10,0.2,LEXMMFPEA,13.172834469696516,5.771430703039668,17.88387220041161,5.577950997946339
10,0.2,LEXMMFSA,7.514030443105163,7.381119045788489,7.647222966925493,0.1002041660390799
10,0.2,NONE,16.4538422266235,4.602033073787896,71.68053231692907,20.950551793875704
10,0.2,PEA,13.174072664678087,5.772052866927738,17.92359251126212,5.577678179367163
10,0.2,SA,7.622349789703634,7.607972837070085,7.640927465629398,0.013797057532712535
10,0.6,LEXMMFPEA,6.990256715412603,3.4692660284106043,14.351355832479038,4.7132478112466485
10,0.6,LEXMMFSA,4.953627753514593,4.7472447602718555,5.106993250205116,0.1218159256618986
10,0.6,NONE,12.563831606047424,0.2678709792745754,39.10954982949989,14.40521858430861
10,0.6,PEA,7.03514675562303,1.315643332337908,14.445826838124612,4.822808151079457
10,0.6,SA,5.002527312277882,4.9039269319203065,5.134565028443511,0.073117182957881
