InstanceNo,InstanceFile,NBstage,Childs,Periods,Theta,Avg_d,Dev_d,J,Fairness,RPStatus,RPCost,RPModelSolveTimeSec,DeterministicPolicyCost,DeterministicEEVCost,VSSvsDetAbs,VSSvsDetPct,TwoStagePolicyCost,TwoStageEEVCost,VSSvsTwoStageAbs,VSSvsTwoStagePct,WaitAndSeeExpectedCost,WaitAndSeeWallTimeSec,EVPIAbs,EVPIPct
1,Drahi_1.csv,6,2,4,0.2,100.0,10.0,5,NONE,true,706695.4509321759,0.03,749840.9311650412,740568.8094729811,33873.35854080529,0.0479320455453961,706695.4509321759,706695.450932176,1.1641532182693481e-10,1.6473195302640716e-16,706695.4509321759,0.19,0.0,0.0
2,Drahi_2.csv,6,2,4,0.2,100.0,10.0,5,NONE,true,624454.8544918174,0.03,638716.060769273,624454.8544918173,-1.1641532182693481e-10,-1.86427122776832e-16,624454.8544918182,624454.8544918173,-1.1641532182693481e-10,-1.86427122776832e-16,624454.8544918174,0.14,0.0,0.0
3,Drahi_3.csv,6,2,4,0.2,100.0,10.0,5,NONE,true,532979.4663402606,0.03,517450.49791010685,543360.3062017953,10380.839861534769,0.019476997740298523,533108.5903170183,533108.9896613728,129.5233211122686,0.00024301746932513032,532979.4663402607,0.13,-1.1641532182693481e-10,-2.1842365265271562e-16
4,Drahi_4.csv,6,2,4,0.2,100.0,10.0,5,NONE,true,408168.3587922044,0.02,463461.3688065968,444869.4589717377,36701.1001795333,0.08991657336725987,410680.02029677894,410685.90015826817,2517.541366063757,0.006167899377387602,408156.6161797297,0.17,11.742612474714406,2.8769041553004078e-5
5,Drahi_5.csv,6,2,4,0.2,100.0,10.0,5,NONE,true,447555.13743386837,0.02,472978.90575972747,472269.07373775425,24713.936303885886,0.05521986954632527,449107.23769776965,449107.23769777,1552.100263901637,0.0034679531840498164,447555.1374338684,0.15,-5.820766091346741e-11,-1.3005696068468947e-16
6,Drahi_6.csv,6,2,4,0.2,100.0,10.0,5,NONE,true,698735.5464010413,0.02,719895.4885082343,723631.7867776845,24896.240376643138,0.035630419126199527,698735.5464010419,698735.5464010412,-1.1641532182693481e-10,-1.6660855802535326e-16,698735.5464010417,0.15,-3.4924596548080444e-10,-4.998256740760598e-16
7,Drahi_7.csv,6,2,4,0.2,100.0,10.0,5,NONE,true,435956.24574369367,0.03,430067.96807906,446251.301803666,10295.056059972325,0.023614883742312454,438777.30257135327,438781.0196165699,2824.773872876249,0.0064794893993489954,435951.10189780855,0.14,5.143845885118935,1.1798995737161872e-5
8,Drahi_8.csv,6,2,4,0.2,100.0,10.0,5,NONE,true,691209.2980574543,0.03,714669.3084567756,722745.4935597047,31536.195502250455,0.04562466909932847,691209.298057454,691209.2980574542,-1.1641532182693481e-10,-1.684226791423431e-16,691209.298057454,0.16,2.3283064365386963e-10,3.368453582846862e-16
9,Drahi_9.csv,6,2,4,0.2,100.0,10.0,5,NONE,true,535094.1915783555,0.03,634066.1222415819,536336.4793557406,1242.2877773850923,0.002321624485813878,535094.1915783562,535094.1915783554,-1.1641532182693481e-10,-2.1756042890980954e-16,535094.1915783559,0.13,-3.4924596548080444e-10,-6.526812867294286e-16
10,Drahi_10.csv,6,2,4,0.2,100.0,10.0,5,NONE,true,600271.428277147,0.02,571649.0853585962,607874.2898737723,7602.861596625298,0.012665706276319778,600268.4240464305,600271.428277147,0.0,0.0,600268.42404643,0.14,3.00423071696423,5.004787127028089e-6
