J,Theta,Fairness,Mean,Min,Max,Std
5,0.2,LEXMMFPEA,25.36714040010474,23.57763220494282,26.03766356853143,0.9082372128156677
5,0.2,LEXMMFSA,25.407243316542182,14.418309758687597,66.95958667237181,20.778582445919977
5,0.2,NONE,25.565291345539144,8.204670267117546,35.974380680483485,11.594988118928919
5,0.2,PEA,25.349903869699,25.3222145592335,25.394090630028664,0.02825563689099235
5,0.2,SA,25.42339359701529,13.595030161251096,67.88168448063271,21.23914774203128
5,0.6,LEXMMFPEA,10.202237377603062,10.15719556559667,10.253028138565199,0.03859827393660803
5,0.6,LEXMMFSA,10.191766883338618,6.689867215605108,15.298724366540888,3.7438868728993575
5,0.6,NONE,10.178384423818814,3.52621985025335,15.34681332129213,5.368119965336358
5,0.6,PEA,10.200147978707664,10.168883101979079,10.250274541628638,0.02906385302271152
5,0.6,SA,10.177166862915987,6.731015412628535,15.68897729010373,4.070992989816612
10,0.2,LEXMMFPEA,16.151291392658397,16.062785628704457,16.230992341683848,0.04963901873305191
10,0.2,LEXMMFSA,16.148163287172128,6.145397986091434,31.879639010039867,11.31726128522718
10,0.2,NONE,16.119698922125412,4.402149771027107,71.61245942570162,20.979956593513833
10,0.2,PEA,16.15188228613118,16.067050546697157,16.18664185624806,0.03479795986170912
10,0.2,SA,16.154531628811295,7.0301672220900695,30.790455035045966,11.009723922721248
10,0.6,LEXMMFPEA,12.669059558311726,12.250212911661393,13.312961474526059,0.29217137642675595
10,0.6,LEXMMFSA,12.696570073735248,6.332974631662462,20.41847451250891,4.822579969987827
10,0.6,NONE,12.511372486505019,1.1177163714714327,38.69419608349101,14.227930718958449
10,0.6,PEA,12.632626947996698,12.582300503667538,12.69275713547735,0.03332043802834168
10,0.6,SA,12.59122607721331,6.722722158800052,17.08924051853601,3.953434056110165
