InstanceFile,NBstage,Childs,Periods,Theta,Avg_d,Dev_d,J,Fairness,House,PVAutonomyExpectedPct,SavingsPct,PVReceivedExpected,ExpectedDemand,AllGridExpectedCost,CostExpected
Drahi_1.csv,6,4,4,0.2,100.0,10.0,5,NONE,1,35.974380680483485,35.93497178597941,284.111091242017,788.8345111233509,145619.6472176119,93291.26807512032
Drahi_1.csv,6,4,4,0.2,100.0,10.0,5,NONE,2,35.23867830605349,37.23388945670921,277.9257049178096,788.793279943035,145797.75838702117,91511.58219883773
Drahi_1.csv,6,4,4,0.2,100.0,10.0,5,NONE,3,8.204670267117546,7.890282652985779,65.62624628745704,800.9499656240185,155868.79706639552,143570.3084100481
Drahi_1.csv,6,4,4,0.2,100.0,10.0,5,NONE,4,15.115915597210908,15.639533817872751,130.68477766689136,863.4824749667533,171339.0739366987,144542.4415251387
Drahi_1.csv,6,4,4,0.2,100.0,10.0,5,NONE,5,33.292811876830314,33.745163355714844,265.43350916658073,796.5850909017206,147141.52471425824,97488.37683534226
Drahi_1.csv,6,4,4,0.2,100.0,10.0,5,PEA,1,25.324585021243085,26.873757450529563,199.894076924676,788.8345111233509,145619.6472176119,106486.17642403406
Drahi_1.csv,6,4,4,0.2,100.0,10.0,5,PEA,2,25.337098519006556,28.10428635170411,200.00147619304113,788.793279943035,145797.75838702117,104822.33887556705
Drahi_1.csv,6,4,4,0.2,100.0,10.0,5,PEA,3,25.371530618983208,11.977801484078496,202.9295587667621,800.9499656240185,155868.79706639552,137199.1419781615
Drahi_1.csv,6,4,4,0.2,100.0,10.0,5,PEA,4,25.3222145592335,15.42527807431287,218.9555457444343,863.4824749667533,171339.0739366987,144909.5453320104
Drahi_1.csv,6,4,4,0.2,100.0,10.0,5,PEA,5,25.394090630028664,26.63197080652545,202.00067165184367,796.5850909017206,147141.52471425824,107954.83680808055
Drahi_1.csv,6,4,4,0.2,100.0,10.0,5,SA,1,14.893720681611407,15.324875285499651,118.02610433540417,788.8345111233509,145619.6472176119,123303.61789032831
Drahi_1.csv,6,4,4,0.2,100.0,10.0,5,SA,2,15.428988286754661,15.294139199198579,121.45422565167893,788.793279943035,145797.75838702117,123499.24626999893
Drahi_1.csv,6,4,4,0.2,100.0,10.0,5,SA,3,67.88168448063271,15.27562654239853,543.4843249804983,800.9499656240185,155868.79706639552,132058.8617304039
Drahi_1.csv,6,4,4,0.2,100.0,10.0,5,SA,4,15.317544374826566,15.303715593388041,132.43477766689134,863.4824749667533,171339.0739366987,145117.82936108147
Drahi_1.csv,6,4,4,0.2,100.0,10.0,5,SA,5,13.595030161251096,15.334934496698395,108.38189664628266,796.5850909017206,147141.52471425824,124577.46828188346
