InstanceNo,InstanceFile,NBstage,Childs,Periods,Theta,Avg_d,Dev_d,J,Fairness,RPStatus,RPCost,RPModelSolveTimeSec,DeterministicPolicyCost,DeterministicEEVCost,VSSvsDetAbs,VSSvsDetPct,TwoStagePolicyCost,TwoStageEEVCost,VSSvsTwoStageAbs,VSSvsTwoStagePct,WaitAndSeeExpectedCost,WaitAndSeeWallTimeSec,EVPIAbs,EVPIPct
1,Drahi_1.csv,6,4,4,0.2,100.0,10.0,5,NONE,true,570403.9770444895,0.81,547707.3756495485,583502.9975069488,13099.020462459303,0.02296446201222336,570404.7378574945,570404.7378574902,0.7608130007283762,1.3338143339576252e-6,570403.9770444882,9.61,1.280568540096283e-9,2.2450203568556173e-15
2,Drahi_2.csv,6,4,4,0.2,100.0,10.0,5,NONE,true,615377.7750255059,1.31,635733.6935492133,621939.5726016514,6561.797576145502,0.010663039587143899,615377.7750255046,615377.7750255109,5.005858838558197e-9,8.134611033605685e-15,615377.7750255101,9.59,-4.190951585769653e-9,-6.8103720281349915e-15
3,Drahi_3.csv,6,4,4,0.2,100.0,10.0,5,NONE,true,561051.4642083127,1.19,554204.922401868,583119.6742779934,22068.210069680703,0.03933366451653533,561924.5617018593,561931.4289208238,879.964712511166,0.0015684206684191881,561047.1062492616,7.14,4.357959051034413,7.76748538956909e-6
4,Drahi_4.csv,6,4,4,0.2,100.0,10.0,5,NONE,true,556792.764762649,1.33,599899.0695943843,560299.1312357553,3506.366473106318,0.0062974354104637495,556792.7647626445,556792.7647626499,9.313225746154785e-10,1.6726556693179825e-15,556792.7647626488,6.88,1.1641532182693481e-10,2.090819586647478e-16
5,Drahi_5.csv,6,4,4,0.2,100.0,10.0,5,NONE,true,465275.9524871499,1.18,458957.7017952726,481769.3443833601,16493.391896210203,0.03544862314083538,468418.4470767665,468421.5207132027,3145.5682260527974,0.0067606507691576265,465274.99562301254,7.35,0.9568641373771243,2.0565518855255066e-6
6,Drahi_6.csv,6,4,4,0.2,100.0,10.0,5,NONE,true,573512.5230742316,0.9,546362.3450890493,591316.5679427485,17804.04486851697,0.03104386417419613,573512.0783949181,573512.5230742313,-2.3283064365386963e-10,-4.0597307693616586e-16,573512.0783949258,7.29,0.4446793057722971,7.753611087490426e-7
7,Drahi_7.csv,6,4,4,0.2,100.0,10.0,5,NONE,true,701044.5321272687,1.45,691963.5327269617,712585.614707504,11541.082580235321,0.016462695380013513,701067.0731279056,701067.0731279397,22.54100067098625,3.215345051274734e-5,701044.5321272638,6.42,4.889443516731262e-9,6.974512021218682e-15
8,Drahi_8.csv,6,4,4,0.2,100.0,10.0,5,NONE,true,565405.2837712872,1.67,543604.7795237857,574885.8106351917,9480.526863904553,0.01676766584257733,565419.509561169,565419.5163132475,14.232541960314848,2.5172283260925575e-5,565405.2770192118,7.28,0.006752075394615531,1.1942009720140538e-8
9,Drahi_9.csv,6,4,4,0.2,100.0,10.0,5,NONE,true,508521.6629800202,1.47,471727.9860467923,536083.6642238364,27562.001243816165,0.054200249960440865,508970.175689077,508970.38259689714,448.7196168769151,0.0008824001995261021,508521.6629800202,7.45,0.0,0.0
10,Drahi_10.csv,6,4,4,0.2,100.0,10.0,5,NONE,true,562581.8438277396,0.57,579088.4137190955,587800.2960827062,25218.4522549666,0.04482628177863556,562581.843827736,562581.8438277399,3.4924596548080444e-10,6.207913911771071e-16,562581.8438277394,6.69,2.3283064365386963e-10,4.138609274514047e-16
1,Drahi_1.csv,6,4,4,0.2,100.0,20.0,5,NONE,true,567475.2830986741,1.7,565569.7472863111,589999.4583399983,22524.17524132412,0.039691905378383775,568934.9178634665,568935.4891539114,1460.2060552372131,0.002573162389141993,567475.139031107,6.69,0.1440675671910867,2.5387461177941005e-7
2,Drahi_2.csv,6,4,4,0.2,100.0,20.0,5,NONE,true,646870.806199481,1.28,642818.8068236058,649366.7968324963,2495.990633015288,0.0038585612599829995,646870.8061994636,646870.8061994812,2.3283064365386963e-10,3.599337633148182e-16,646870.8061994872,7.14,-6.170012056827545e-9,-9.538244727842682e-15
3,Drahi_3.csv,6,4,4,0.2,100.0,20.0,5,NONE,true,506727.057976148,1.36,517067.8047066644,526687.1576152765,19960.099639128544,0.039390238442858286,508516.67953434784,508518.5441992,1791.486223052023,0.00353540667476326,506726.06646479096,4.66,0.9915113570168614,1.9566970845743403e-6
4,Drahi_4.csv,6,4,4,0.2,100.0,20.0,5,NONE,true,493757.38842559874,1.0,442813.4220212713,505993.2450010199,12235.856575421174,0.024781110849675762,500088.12031010585,500090.1397104587,6332.751284859958,0.01282563346556221,493756.65006270015,4.46,0.7383628985844553,1.4953961518202468e-6
5,Drahi_5.csv,6,4,4,0.2,100.0,20.0,5,NONE,true,716927.6941896991,0.82,697724.634029511,747057.5523372722,30129.858147573075,0.042026355505246686,716927.474420183,716927.6941896993,1.1641532182693481e-10,1.6238084087198242e-16,716927.4744201865,4.18,0.2197695126524195,3.065434833017742e-7
6,Drahi_6.csv,6,4,4,0.2,100.0,20.0,5,NONE,true,557688.3592473783,0.67,546204.217032562,562185.8426496,4497.483402221696,0.008064510093578467,557762.4229122677,557763.8108051494,75.45155777106993,0.00013529340629037817,557686.9713544763,4.61,1.3878929020138457,2.488653168028933e-6
7,Drahi_7.csv,6,4,4,0.2,100.0,20.0,5,NONE,true,636485.5043383724,0.86,557009.2096269081,679484.2395718204,42998.73523344798,0.06755650355014012,636572.819497074,636572.9025759933,87.39823762094602,0.0001373137911629215,636485.4212594597,4.46,0.08307891269214451,1.3052758016618959e-7
8,Drahi_8.csv,6,4,4,0.2,100.0,20.0,5,NONE,true,535990.3054588669,0.86,519509.14476235386,548386.2479978666,12395.94253899972,0.02312717676560852,535987.4616514486,535990.3054588668,-1.1641532182693481e-10,-2.171966930022558e-16,535987.4616514385,4.5,2.843807428376749,5.305706837257319e-6
9,Drahi_9.csv,6,4,4,0.2,100.0,20.0,5,NONE,true,515849.9168888943,0.44,478299.83047639206,537387.261033498,21537.344144603703,0.0417511827364363,517318.3012894535,517322.3017947702,1472.3849058758933,0.002854289314915255,515848.59245283046,4.57,1.3244360638200305,2.5674833327641936e-6
10,Drahi_10.csv,6,4,4,0.2,100.0,20.0,5,NONE,true,614375.0551976411,0.77,559772.5348590891,630232.2194521993,15857.164254558156,0.02581023451457838,614565.4142734621,614565.6323286183,190.5771309771808,0.0003101967265189065,614375.0193646789,4.7,0.035832962254062295,5.832424664854764e-8
1,Drahi_1.csv,6,4,4,0.6,100.0,10.0,5,NONE,true,692300.9757429495,0.83,575188.8843688727,703212.616384899,10911.640641949489,0.01576141161759819,692300.975742948,692300.9757429513,1.7462298274040222e-9,2.522356444074109e-15,692300.9757429541,4.83,-4.540197551250458e-9,-6.558126754592684e-15
2,Drahi_2.csv,6,4,4,0.6,100.0,10.0,5,NONE,true,606209.2334641219,0.74,649749.1890469594,634505.4228978818,28296.189433759893,0.04667726565638757,606270.7214177115,606272.0926953825,62.859231260605156,0.00010369230257579941,606207.25541522,4.5,1.9780489018885419,3.262980490391378e-6
3,Drahi_3.csv,6,4,4,0.6,100.0,10.0,5,NONE,true,495592.16596569936,0.76,559945.1673461967,574974.019533861,79381.8535681616,0.16017576349997376,497888.1774669916,497903.49103765213,2311.3250719527714,0.004663764342297415,495577.82980077766,4.69,14.336164921696763,2.8927343703590727e-5
4,Drahi_4.csv,6,4,4,0.6,100.0,10.0,5,NONE,true,430853.1199185931,0.38,557627.1223248361,558927.1851864288,128074.06526783574,0.29725690576880237,437742.66658881545,437752.4775878656,6899.357669272518,0.016013247555399176,430849.75194375974,4.42,3.3679748333524913,7.816990704370084e-6
5,Drahi_5.csv,6,4,4,0.6,100.0,10.0,5,NONE,true,483604.5322708651,1.01,579051.5038716967,581163.9921976123,97559.4599267472,0.20173396528902773,490499.98149903445,490520.2659455419,6915.733674676798,0.014300390532327189,483600.8076684503,4.18,3.7246024148189463,7.701752498739632e-6
6,Drahi_6.csv,6,4,4,0.6,100.0,10.0,5,NONE,true,413333.4726753668,0.42,569658.0524155641,547407.683777258,134074.21110189124,0.3243729820236298,420091.85568657995,420137.75246103,6804.2797856631805,0.016461961673757984,413275.4662292117,4.59,58.006446155079175,0.0001403381288711587
7,Drahi_7.csv,6,4,4,0.6,100.0,10.0,5,NONE,true,515415.7454240526,0.76,521560.63262471464,570991.2799240993,55575.53450004675,0.10782661374522541,521570.8226602192,521574.4298253992,6158.684401346603,0.011948964415667227,515415.36878342653,4.5,0.3766406260547228,7.307511060703936e-7
8,Drahi_8.csv,6,4,4,0.6,100.0,10.0,5,NONE,true,435770.517895225,0.39,465090.1493958915,510944.1693659674,75173.65147074236,0.17250742852873957,438803.88232878083,438840.35284364375,3069.83494841872,0.007044613672457804,435741.14029733976,4.53,29.37759788526455,6.741529469950967e-5
9,Drahi_9.csv,6,4,4,0.6,100.0,10.0,5,NONE,true,577002.4092839612,0.4,703349.7119255627,589831.9928027608,12829.583518799627,0.022234887259345536,576947.8225633246,577002.4092839613,1.1641532182693481e-10,2.0175881409473134e-16,576947.8225633185,4.4,54.586720642633736,9.460397350918145e-5
10,Drahi_10.csv,6,4,4,0.6,100.0,10.0,5,NONE,true,661123.5854179178,0.73,595847.4566953555,666663.1204200799,5539.535002162098,0.008378970474424046,661109.7021159844,661125.5319137559,1.9464958381140605,2.944223865321061e-6,661109.702115991,4.5,13.883301926776767,2.099955625997018e-5
1,Drahi_1.csv,6,4,4,0.6,100.0,20.0,5,NONE,true,519447.08428558364,0.73,591588.8542762336,585598.2015871964,66151.1173016128,0.12734909734375174,525708.6562112378,525709.670389235,6262.586103651382,0.012056254223208447,519445.9566446654,4.67,1.1276409182464704,2.170848489403613e-6
2,Drahi_2.csv,6,4,4,0.6,100.0,20.0,5,NONE,true,708990.3437181349,0.43,663972.9220311057,716622.2663604381,7631.922642303165,0.010764494481376605,709016.9585036441,709016.9585036563,26.61478552140761,3.753899578072186e-5,708990.343718137,4.42,-2.0954757928848267e-9,-2.9555773381843134e-15
3,Drahi_3.csv,6,4,4,0.6,100.0,20.0,5,NONE,true,575157.1269491541,0.79,565823.8834221155,618752.9878817803,43595.86093262618,0.07579817564614862,579989.1436849267,579990.0537638493,4832.926814695238,0.008402793929253503,575156.769034806,4.55,0.357914348016493,6.222896861506402e-7
4,Drahi_4.csv,6,4,4,0.6,100.0,20.0,5,NONE,true,543059.1588919332,0.67,571914.8981425855,549860.1119783595,6800.953086426365,0.0125234110779075,543054.332866347,543059.1588919318,-1.3969838619232178e-9,-2.5724340323688613e-15,543054.332866366,4.51,4.826025567133911,8.886740032119176e-6
5,Drahi_5.csv,6,4,4,0.6,100.0,20.0,5,NONE,true,472087.27423846273,0.85,524947.1801458866,549740.8033440083,77653.52910554555,0.16448977412240276,484327.47878993675,484335.46187937807,12248.187640915334,0.025944752822819106,472079.6616633725,4.68,7.612575090257451,1.6125355428268024e-5
6,Drahi_6.csv,6,4,4,0.6,100.0,20.0,5,NONE,true,465318.3182438839,0.76,569109.7501363396,561763.8871524903,96445.56890860642,0.20726793923048847,480054.3690678573,480056.1142383214,14737.795994437474,0.03167250335223867,465315.13226511446,4.21,3.1859787694411352,6.84688017756329e-6
7,Drahi_7.csv,6,4,4,0.6,100.0,20.0,5,NONE,true,543382.0774002129,0.61,643118.4669899393,551241.711327848,7859.63392763515,0.014464286281283356,543686.8717209306,543696.6432086164,314.56580840353854,0.0005789035404122353,543373.0649474384,4.68,9.01245277444832,1.6585848428361855e-5
8,Drahi_8.csv,6,4,4,0.6,100.0,20.0,5,NONE,true,428728.4352199256,0.94,603786.0165021286,568340.3521820162,139611.91696209065,0.3256418410653673,447024.96463347843,447034.6950336767,18306.259813751094,0.04269896351605533,428724.6738796562,4.23,3.7613402694114484,8.773246559869505e-6
9,Drahi_9.csv,6,4,4,0.6,100.0,20.0,5,NONE,true,591393.8021967312,0.69,671508.813572408,597848.4343418526,6454.632145121344,0.010914270865108199,591613.3145169809,591613.4093547469,219.60715801571496,0.00037133828119264114,591393.7144467299,4.64,0.0877500013448298,1.4837829043673196e-7
10,Drahi_10.csv,6,4,4,0.6,100.0,20.0,5,NONE,true,521419.8926184907,0.75,565546.4406724812,600779.5936410138,79359.70102252316,0.1521992201409711,525948.7100813477,525953.1009723853,4533.208353894588,0.0086939689453149,521418.6798927973,4.09,1.212725693359971,2.325814013864812e-6
1,Drahi_1.csv,6,4,4,0.2,100.0,10.0,10,NONE,true,1.2774883402194006e6,1.08,1.3149525740994918e6,1.314059325646047e6,36570.985426646424,0.028627255744945262,1.2774883402194052e6,1.277488340219402e6,1.3969838619232178e-9,1.0935394225854888e-15,1.2774883402194094e6,7.44,-8.847564458847046e-9,-6.925749676374762e-15
2,Drahi_2.csv,6,4,4,0.2,100.0,10.0,10,NONE,true,1.4139713943704122e6,1.15,1.3935365183445055e6,1.4144195888602713e6,448.19448985904455,0.0003169756415465594,1.4139713943704057e6,1.4139713943704136e6,1.3969838619232178e-9,9.879859433402765e-16,1.4139713943704125e6,7.14,-2.3283064365386963e-10,-1.6466432389004607e-16
3,Drahi_3.csv,6,4,4,0.2,100.0,10.0,10,NONE,true,1.2860821388911945e6,1.26,1.2948379416006273e6,1.309163977039946e6,23081.83814875153,0.017947405885483887,1.2860821388911684e6,1.2860821388911947e6,2.3283064365386963e-10,1.8103870399335951e-16,1.2860821388911915e6,7.4,3.026798367500305e-9,2.3535031519136735e-15
4,Drahi_4.csv,6,4,4,0.2,100.0,10.0,10,NONE,true,1.1131070793403736e6,1.12,1.157857688827394e6,1.166702677626567e6,53595.59828619333,0.04814954399351591,1.1142034852215182e6,1.114204060368801e6,1096.98102842737,0.0009855125789671915,1.113106432340267e6,6.88,0.6470001065172255,5.812559443073861e-7
5,Drahi_5.csv,6,4,4,0.2,100.0,10.0,10,NONE,true,1.284125367946229e6,1.19,1.2392882271818365e6,1.3072549288684512e6,23129.560922222212,0.018011918072465594,1.2841253679462327e6,1.284125367946229e6,0.0,0.0,1.2841253679462257e6,7.27,3.259629011154175e-9,2.538404031662014e-15
6,Drahi_6.csv,6,4,4,0.2,100.0,10.0,10,NONE,true,1.2240593161312342e6,1.28,1.232487120219198e6,1.2466190505319475e6,22559.73440071335,0.018430262409190854,1.2273010289518572e6,1.2273015090537549e6,3242.192922520684,0.002648722067463176,1.2240589663487738e6,7.15,0.3497824603691697,2.857561359646306e-7
7,Drahi_7.csv,6,4,4,0.2,100.0,10.0,10,NONE,true,1.2069362321005003e6,1.21,1.1997272594094498e6,1.2462994059985825e6,39363.17389808223,0.03261412894165605,1.2089223440142297e6,1.2089252004183237e6,1988.9683178234845,0.0016479481392003361,1.2069362321005012e6,7.32,-9.313225746154785e-10,-7.716419060472189e-16
8,Drahi_8.csv,6,4,4,0.2,100.0,10.0,10,NONE,true,1.2718319485785058e6,1.77,1.2686838011772516e6,1.2811329686625588e6,9301.020084053045,0.007313088882889409,1.2718300454709958e6,1.2718319485785067e6,9.313225746154785e-10,7.322685797100742e-16,1.2718300454709919e6,7.45,1.9031075139064342,1.4963513977090205e-6
9,Drahi_9.csv,6,4,4,0.2,100.0,10.0,10,NONE,true,1.18510768747738e6,1.48,1.188670601470949e6,1.2026941240206473e6,17586.43654326722,0.014839526170572487,1.1868956537422037e6,1.1869130089257443e6,1805.321448364295,0.0015233395812384795,1.1851032843106356e6,7.45,4.403166744392365,3.715414886696875e-6
10,Drahi_10.csv,6,4,4,0.2,100.0,10.0,10,NONE,true,1.360391167093147e6,1.22,1.330473235755878e6,1.368998122285028e6,8606.95519188093,0.0063268237842738105,1.360391167093151e6,1.360391167093148e6,9.313225746154785e-10,6.84599104392531e-16,1.3603911670931585e6,7.49,-1.1408701539039612e-8,-8.386339028808505e-15
1,Drahi_1.csv,6,4,4,0.2,100.0,20.0,10,NONE,true,1.3547249495981277e6,1.31,1.3089868435952468e6,1.3759976803997818e6,21272.73080165405,0.01570261978858845,1.354833923762153e6,1.3548347924446831e6,109.8428465554025,8.108129003454673e-5,1.3547249495981256e6,7.15,2.0954757928848267e-9,1.5467905817387056e-15
2,Drahi_2.csv,6,4,4,0.2,100.0,20.0,10,NONE,true,1.4375855388035008e6,1.36,1.4157188151354752e6,1.4398514554528233e6,2265.916649322491,0.0015761960510596179,1.4375855388035083e6,1.4375855388035015e6,6.984919309616089e-10,4.858785179092453e-16,1.437585538803508e6,7.49,-7.2177499532699585e-9,-5.020744685062202e-15
3,Drahi_3.csv,6,4,4,0.2,100.0,20.0,10,NONE,true,1.4484456754216468e6,1.14,1.4258134331783005e6,1.4672541234318449e6,18808.448010198073,0.012985262981797974,1.4484456754216691e6,1.4484456754216491e6,2.3283064365386963e-9,1.6074516815143374e-15,1.4484456754216484e6,7.39,-1.6298145055770874e-9,-1.1252161770600362e-15
