InstanceNo,InstanceFile,NBstage,Childs,Periods,Theta,Avg_d,Dev_d,J,Fairness,RPStatus,RPCost,RPModelSolveTimeSec,DeterministicPolicyCost,DeterministicEEVCost,VSSvsDetAbs,VSSvsDetPct,TwoStagePolicyCost,TwoStageEEVCost,VSSvsTwoStageAbs,VSSvsTwoStagePct,WaitAndSeeExpectedCost,WaitAndSeeWallTimeSec,EVPIAbs,EVPIPct
1,Drahi_1.csv,8,2,3,0.2,100.0,10.0,5,NONE,true,568701.8527668074,0.11,560508.1135277008,587313.5854115572,18611.732644749805,0.032726695990528853,568866.9843207849,568866.9843207846,165.1315539771458,0.00029036577456844855,568701.8527668084,1.21,-9.313225746154785e-10,-1.637628873696252e-15
2,Drahi_2.csv,8,2,3,0.2,100.0,10.0,5,NONE,true,627769.8600414624,0.08,621021.37525503,629322.934183616,1553.0741421536077,0.0024739546145955966,627769.8600414604,627769.8600414625,1.1641532182693481e-10,1.8544267451649546e-16,627769.860041462,0.92,3.4924596548080444e-10,5.563280235494864e-16
3,Drahi_3.csv,8,2,3,0.2,100.0,10.0,5,NONE,true,704444.5791976938,0.1,684313.0463136926,717238.9720905961,12794.392892902251,0.018162383913116406,704444.5791976926,704444.5791976938,0.0,0.0,704444.5791976937,1.11,1.1641532182693481e-10,1.6525831167516766e-16
4,Drahi_4.csv,8,2,3,0.2,100.0,10.0,5,NONE,true,454802.0294427161,0.17,411245.87924875936,480208.9032253958,25406.87378267973,0.055863589293591344,454802.02944271604,454802.02944271587,-2.3283064365386963e-10,-5.119384448199685e-16,454802.0294427154,1.23,6.984919309616089e-10,1.5358153344599056e-15
5,Drahi_5.csv,8,2,3,0.2,100.0,10.0,5,NONE,true,443433.9663298226,0.19,468542.8050514704,486578.391315865,43144.42498604237,0.09729616642391327,444791.3633670079,444791.93009523716,1357.963765414548,0.00306238102744819,443433.93680838944,1.17,0.029521433170884848,6.657458700158986e-8
6,Drahi_6.csv,8,2,3,0.2,100.0,10.0,5,NONE,true,735791.0951826958,0.27,728258.2810626833,746255.452318387,10464.357135691214,0.014221913263428297,735791.0951826989,735791.0951826959,1.1641532182693481e-10,1.5821789987554698e-16,735791.0951826948,1.31,9.313225746154785e-10,1.2657431990043758e-15
7,Drahi_7.csv,8,2,3,0.2,100.0,10.0,5,NONE,true,571453.6945527864,0.19,535803.1348775639,603072.1357175354,31618.441164748976,0.05532983943606005,571456.125371044,571456.5668588228,2.8723060364136472,5.026314579454217e-6,571453.3578644901,1.52,0.33668829628732055,5.891786149896349e-7
8,Drahi_8.csv,8,2,3,0.2,100.0,10.0,5,NONE,true,567122.0196149622,0.12,440493.8140770637,576436.5777367206,9314.558121758397,0.01642425756644462,567940.8513531191,567942.8967944097,820.8771794475615,0.0014474436735940567,567120.6105403082,1.68,1.4090746539877728,2.4846057907334297e-6
9,Drahi_9.csv,8,2,3,0.2,100.0,10.0,5,NONE,true,475288.3591924029,0.21,457294.47197979764,484502.0891526803,9213.729960277386,0.019385557803126306,476008.7376068549,476008.76993445534,720.4107420524233,0.0015157340341272522,475288.13788900955,2.24,0.22130339336581528,4.65619216388653e-7
10,Drahi_10.csv,8,2,3,0.2,100.0,10.0,5,NONE,true,551426.4228572466,0.18,597449.1492217892,557500.1630968638,6073.740239617182,0.011014597755663866,551426.036718759,551426.4228572464,-2.3283064365386963e-10,-4.2223338237483207e-16,551426.0367187596,1.25,0.38613848702516407,7.002538707237968e-7
