InstanceNo,InstanceFile,NBstage,Childs,Periods,Theta,Avg_d,Dev_d,J,House,AllGridExpectedCost
2,Drahi_2.csv,6,4,4,0.6,100.0,10.0,10,4,148649.34058001344
2,Drahi_2.csv,6,4,4,0.6,100.0,10.0,10,5,155600.09623549532
2,Drahi_2.csv,6,4,4,0.6,100.0,10.0,10,6,150323.01880046134
2,Drahi_2.csv,6,4,4,0.6,100.0,10.0,10,7,155113.1278089953
2,Drahi_2.csv,6,4,4,0.6,100.0,10.0,10,8,152845.52928766198
2,Drahi_2.csv,6,4,4,0.6,100.0,10.0,10,9,156478.5552166348
2,Drahi_2.csv,6,4,4,0.6,100.0,10.0,10,10,150594.03063624003
3,Drahi_3.csv,6,4,4,0.6,100.0,10.0,10,1,153610.39044481632
3,Drahi_3.csv,6,4,4,0.6,100.0,10.0,10,2,152875.05839611654
3,Drahi_3.csv,6,4,4,0.6,100.0,10.0,10,3,158098.9781636918
3,Drahi_3.csv,6,4,4,0.6,100.0,10.0,10,4,192873.2691741572
3,Drahi_3.csv,6,4,4,0.6,100.0,10.0,10,5,193459.80203750794
3,Drahi_3.csv,6,4,4,0.6,100.0,10.0,10,6,153454.6304750488
3,Drahi_3.csv,6,4,4,0.6,100.0,10.0,10,7,159860.6334947852
3,Drahi_3.csv,6,4,4,0.6,100.0,10.0,10,8,153180.0584863109
3,Drahi_3.csv,6,4,4,0.6,100.0,10.0,10,9,167282.61265127885
3,Drahi_3.csv,6,4,4,0.6,100.0,10.0,10,10,153552.78099763696
4,Drahi_4.csv,6,4,4,0.6,100.0,10.0,10,1,155339.7586340688
4,Drahi_4.csv,6,4,4,0.6,100.0,10.0,10,2,156275.9325724538
4,Drahi_4.csv,6,4,4,0.6,100.0,10.0,10,3,156208.3399544119
4,Drahi_4.csv,6,4,4,0.6,100.0,10.0,10,4,152128.06179514047
4,Drahi_4.csv,6,4,4,0.6,100.0,10.0,10,5,156290.69469392818
4,Drahi_4.csv,6,4,4,0.6,100.0,10.0,10,6,151696.3842671157
4,Drahi_4.csv,6,4,4,0.6,100.0,10.0,10,7,155479.92810590885
4,Drahi_4.csv,6,4,4,0.6,100.0,10.0,10,8,153893.46812573285
4,Drahi_4.csv,6,4,4,0.6,100.0,10.0,10,9,152084.30728811285
4,Drahi_4.csv,6,4,4,0.6,100.0,10.0,10,10,157519.96030669563
5,Drahi_5.csv,6,4,4,0.6,100.0,10.0,10,1,159858.15801198475
5,Drahi_5.csv,6,4,4,0.6,100.0,10.0,10,2,160377.45753685726
5,Drahi_5.csv,6,4,4,0.6,100.0,10.0,10,3,156597.59100126527
5,Drahi_5.csv,6,4,4,0.6,100.0,10.0,10,4,159351.54900890644
5,Drahi_5.csv,6,4,4,0.6,100.0,10.0,10,5,154692.40934120177
5,Drahi_5.csv,6,4,4,0.6,100.0,10.0,10,6,160005.63562562192
5,Drahi_5.csv,6,4,4,0.6,100.0,10.0,10,7,160282.55046925964
5,Drahi_5.csv,6,4,4,0.6,100.0,10.0,10,8,320965.0408351203
5,Drahi_5.csv,6,4,4,0.6,100.0,10.0,10,9,154754.72249598237
5,Drahi_5.csv,6,4,4,0.6,100.0,10.0,10,10,152629.95473331236
6,Drahi_6.csv,6,4,4,0.6,100.0,10.0,10,1,155828.23732994893
6,Drahi_6.csv,6,4,4,0.6,100.0,10.0,10,2,169363.33520934705
6,Drahi_6.csv,6,4,4,0.6,100.0,10.0,10,3,155546.70887208116
6,Drahi_6.csv,6,4,4,0.6,100.0,10.0,10,4,156299.8861958677
6,Drahi_6.csv,6,4,4,0.6,100.0,10.0,10,5,157677.66809604882
6,Drahi_6.csv,6,4,4,0.6,100.0,10.0,10,6,155083.04404403619
6,Drahi_6.csv,6,4,4,0.6,100.0,10.0,10,7,158056.09012076564
6,Drahi_6.csv,6,4,4,0.6,100.0,10.0,10,8,156367.6899272263
6,Drahi_6.csv,6,4,4,0.6,100.0,10.0,10,9,157818.88633216836
6,Drahi_6.csv,6,4,4,0.6,100.0,10.0,10,10,156185.51376103447
7,Drahi_7.csv,6,4,4,0.6,100.0,10.0,10,1,141692.9074737742
7,Drahi_7.csv,6,4,4,0.6,100.0,10.0,10,2,159495.9968021817
7,Drahi_7.csv,6,4,4,0.6,100.0,10.0,10,3,204077.460607492
7,Drahi_7.csv,6,4,4,0.6,100.0,10.0,10,4,149199.93345219482
7,Drahi_7.csv,6,4,4,0.6,100.0,10.0,10,5,148283.24277824984
7,Drahi_7.csv,6,4,4,0.6,100.0,10.0,10,6,159926.8595840029
7,Drahi_7.csv,6,4,4,0.6,100.0,10.0,10,7,203515.21076494438
7,Drahi_7.csv,6,4,4,0.6,100.0,10.0,10,8,203842.24216145906
7,Drahi_7.csv,6,4,4,0.6,100.0,10.0,10,9,159784.4027447239
7,Drahi_7.csv,6,4,4,0.6,100.0,10.0,10,10,159815.56163461585
8,Drahi_8.csv,6,4,4,0.6,100.0,10.0,10,1,160895.94932269806
8,Drahi_8.csv,6,4,4,0.6,100.0,10.0,10,2,152185.6835602021
8,Drahi_8.csv,6,4,4,0.6,100.0,10.0,10,3,158426.4119910001
8,Drahi_8.csv,6,4,4,0.6,100.0,10.0,10,4,163629.61160633407
8,Drahi_8.csv,6,4,4,0.6,100.0,10.0,10,5,163973.9985444024
8,Drahi_8.csv,6,4,4,0.6,100.0,10.0,10,6,155879.81861060078
8,Drahi_8.csv,6,4,4,0.6,100.0,10.0,10,7,156443.8939613477
8,Drahi_8.csv,6,4,4,0.6,100.0,10.0,10,8,164423.58180714533
8,Drahi_8.csv,6,4,4,0.6,100.0,10.0,10,9,157089.5996272552
8,Drahi_8.csv,6,4,4,0.6,100.0,10.0,10,10,163974.2912675119
9,Drahi_9.csv,6,4,4,0.6,100.0,10.0,10,1,205422.7782958613
9,Drahi_9.csv,6,4,4,0.6,100.0,10.0,10,2,200600.28740636853
9,Drahi_9.csv,6,4,4,0.6,100.0,10.0,10,3,202569.9317212274
9,Drahi_9.csv,6,4,4,0.6,100.0,10.0,10,4,152205.96728588888
9,Drahi_9.csv,6,4,4,0.6,100.0,10.0,10,5,156983.96372966046
9,Drahi_9.csv,6,4,4,0.6,100.0,10.0,10,6,155189.61614487166
9,Drahi_9.csv,6,4,4,0.6,100.0,10.0,10,7,146734.52986373982
9,Drahi_9.csv,6,4,4,0.6,100.0,10.0,10,8,157243.88583808232
9,Drahi_9.csv,6,4,4,0.6,100.0,10.0,10,9,156554.37560143936
9,Drahi_9.csv,6,4,4,0.6,100.0,10.0,10,10,157174.07878463584
1,Drahi_1.csv,6,4,4,0.2,100.0,20.0,10,1,152998.42654144389
1,Drahi_1.csv,6,4,4,0.2,100.0,20.0,10,2,152151.27311193466
1,Drahi_1.csv,6,4,4,0.2,100.0,20.0,10,3,154129.1917750611
1,Drahi_1.csv,6,4,4,0.2,100.0,20.0,10,4,151444.1096877801
1,Drahi_1.csv,6,4,4,0.2,100.0,20.0,10,5,155520.19073612918
1,Drahi_1.csv,6,4,4,0.2,100.0,20.0,10,6,158838.8099735062
1,Drahi_1.csv,6,4,4,0.2,100.0,20.0,10,7,153469.44109463936
1,Drahi_1.csv,6,4,4,0.2,100.0,20.0,10,8,154399.89792054094
1,Drahi_1.csv,6,4,4,0.2,100.0,20.0,10,9,156778.7431616278
1,Drahi_1.csv,6,4,4,0.2,100.0,20.0,10,10,145399.8400364886
10,Drahi_10.csv,6,4,4,0.2,100.0,20.0,10,1,142824.1114582584
10,Drahi_10.csv,6,4,4,0.2,100.0,20.0,10,2,157131.9099762463
10,Drahi_10.csv,6,4,4,0.2,100.0,20.0,10,3,156663.79764207956
10,Drahi_10.csv,6,4,4,0.2,100.0,20.0,10,4,143643.39833487538
10,Drahi_10.csv,6,4,4,0.2,100.0,20.0,10,5,169579.7786669612
10,Drahi_10.csv,6,4,4,0.2,100.0,20.0,10,6,157932.93410478107
10,Drahi_10.csv,6,4,4,0.2,100.0,20.0,10,7,144073.27885127335
10,Drahi_10.csv,6,4,4,0.2,100.0,20.0,10,8,145342.88753476442
10,Drahi_10.csv,6,4,4,0.2,100.0,20.0,10,9,150837.3647153429
10,Drahi_10.csv,6,4,4,0.2,100.0,20.0,10,10,155163.22744432173
2,Drahi_2.csv,6,4,4,0.2,100.0,20.0,10,1,151067.80786731074
2,Drahi_2.csv,6,4,4,0.2,100.0,20.0,10,2,148210.07069453594
2,Drahi_2.csv,6,4,4,0.2,100.0,20.0,10,3,150900.50448634478
2,Drahi_2.csv,6,4,4,0.2,100.0,20.0,10,4,166501.6365677767
2,Drahi_2.csv,6,4,4,0.2,100.0,20.0,10,5,148123.40286300765
2,Drahi_2.csv,6,4,4,0.2,100.0,20.0,10,6,163425.8157288907
2,Drahi_2.csv,6,4,4,0.2,100.0,20.0,10,7,160902.5201553046
2,Drahi_2.csv,6,4,4,0.2,100.0,20.0,10,8,147831.6125374431
2,Drahi_2.csv,6,4,4,0.2,100.0,20.0,10,9,147787.46573926788
2,Drahi_2.csv,6,4,4,0.2,100.0,20.0,10,10,153357.34364448627
3,Drahi_3.csv,6,4,4,0.2,100.0,20.0,10,1,163407.96185935606
3,Drahi_3.csv,6,4,4,0.2,100.0,20.0,10,2,170544.0492686421
3,Drahi_3.csv,6,4,4,0.2,100.0,20.0,10,3,160574.6122010744
3,Drahi_3.csv,6,4,4,0.2,100.0,20.0,10,4,160558.25509910437
3,Drahi_3.csv,6,4,4,0.2,100.0,20.0,10,5,164868.6813261837
3,Drahi_3.csv,6,4,4,0.2,100.0,20.0,10,6,160346.53996832576
3,Drahi_3.csv,6,4,4,0.2,100.0,20.0,10,7,163950.29898399103
3,Drahi_3.csv,6,4,4,0.2,100.0,20.0,10,8,159945.7325296828
3,Drahi_3.csv,6,4,4,0.2,100.0,20.0,10,9,160661.06932915322
3,Drahi_3.csv,6,4,4,0.2,100.0,20.0,10,10,187845.45939120755
4,Drahi_4.csv,6,4,4,0.2,100.0,20.0,10,1,146947.42239227766
4,Drahi_4.csv,6,4,4,0.2,100.0,20.0,10,2,149263.9815365295
4,Drahi_4.csv,6,4,4,0.2,100.0,20.0,10,3,149439.194868897
4,Drahi_4.csv,6,4,4,0.2,100.0,20.0,10,4,160006.15426863887
4,Drahi_4.csv,6,4,4,0.2,100.0,20.0,10,5,161584.9595821625
4,Drahi_4.csv,6,4,4,0.2,100.0,20.0,10,6,149512.64273030878
4,Drahi_4.csv,6,4,4,0.2,100.0,20.0,10,7,255266.14103674568
4,Drahi_4.csv,6,4,4,0.2,100.0,20.0,10,8,155676.278106284
4,Drahi_4.csv,6,4,4,0.2,100.0,20.0,10,9,155915.1615863996
4,Drahi_4.csv,6,4,4,0.2,100.0,20.0,10,10,146064.28568375346
5,Drahi_5.csv,6,4,4,0.2,100.0,20.0,10,1,152530.93195656428
5,Drahi_5.csv,6,4,4,0.2,100.0,20.0,10,2,142423.98177381945
5,Drahi_5.csv,6,4,4,0.2,100.0,20.0,10,3,146165.3916353081
5,Drahi_5.csv,6,4,4,0.2,100.0,20.0,10,4,162147.53291353385
5,Drahi_5.csv,6,4,4,0.2,100.0,20.0,10,5,152642.85828954563
5,Drahi_5.csv,6,4,4,0.2,100.0,20.0,10,6,152608.7471852416
5,Drahi_5.csv,6,4,4,0.2,100.0,20.0,10,7,169494.63240974286
5,Drahi_5.csv,6,4,4,0.2,100.0,20.0,10,8,151900.70731820926
5,Drahi_5.csv,6,4,4,0.2,100.0,20.0,10,9,167834.49647213175
5,Drahi_5.csv,6,4,4,0.2,100.0,20.0,10,10,165290.94412034724
6,Drahi_6.csv,6,4,4,0.2,100.0,20.0,10,1,157739.31063684096
6,Drahi_6.csv,6,4,4,0.2,100.0,20.0,10,2,157233.60447185696
6,Drahi_6.csv,6,4,4,0.2,100.0,20.0,10,3,154601.61652889967
6,Drahi_6.csv,6,4,4,0.2,100.0,20.0,10,4,159455.90546704258
6,Drahi_6.csv,6,4,4,0.2,100.0,20.0,10,5,158647.85002294887
6,Drahi_6.csv,6,4,4,0.2,100.0,20.0,10,6,170807.82183378228
6,Drahi_6.csv,6,4,4,0.2,100.0,20.0,10,7,158868.40793380936
6,Drahi_6.csv,6,4,4,0.2,100.0,20.0,10,8,156313.92975226566
6,Drahi_6.csv,6,4,4,0.2,100.0,20.0,10,9,174763.75115428958
6,Drahi_6.csv,6,4,4,0.2,100.0,20.0,10,10,160743.2580278794
7,Drahi_7.csv,6,4,4,0.2,100.0,20.0,10,1,142780.37141391216
7,Drahi_7.csv,6,4,4,0.2,100.0,20.0,10,2,146773.7390435112
7,Drahi_7.csv,6,4,4,0.2,100.0,20.0,10,3,156664.9891432187
7,Drahi_7.csv,6,4,4,0.2,100.0,20.0,10,4,199453.28586433775
7,Drahi_7.csv,6,4,4,0.2,100.0,20.0,10,5,155859.2439856317
7,Drahi_7.csv,6,4,4,0.2,100.0,20.0,10,6,156491.95397729878
7,Drahi_7.csv,6,4,4,0.2,100.0,20.0,10,7,192339.6153018471
7,Drahi_7.csv,6,4,4,0.2,100.0,20.0,10,8,156728.4005211442
7,Drahi_7.csv,6,4,4,0.2,100.0,20.0,10,9,144078.66167122617
7,Drahi_7.csv,6,4,4,0.2,100.0,20.0,10,10,152279.53171051282
8,Drahi_8.csv,6,4,4,0.2,100.0,20.0,10,1,148356.03668974043
8,Drahi_8.csv,6,4,4,0.2,100.0,20.0,10,2,152968.173640074
8,Drahi_8.csv,6,4,4,0.2,100.0,20.0,10,3,152952.60917881705
8,Drahi_8.csv,6,4,4,0.2,100.0,20.0,10,4,158192.39386597896
8,Drahi_8.csv,6,4,4,0.2,100.0,20.0,10,5,153147.03754744036
8,Drahi_8.csv,6,4,4,0.2,100.0,20.0,10,6,146847.60494622248
8,Drahi_8.csv,6,4,4,0.2,100.0,20.0,10,7,151438.49117615554
8,Drahi_8.csv,6,4,4,0.2,100.0,20.0,10,8,146681.5224885125
8,Drahi_8.csv,6,4,4,0.2,100.0,20.0,10,9,148198.12335457333
8,Drahi_8.csv,6,4,4,0.2,100.0,20.0,10,10,152340.38567938644
9,Drahi_9.csv,6,4,4,0.2,100.0,20.0,10,1,170709.72251275188
9,Drahi_9.csv,6,4,4,0.2,100.0,20.0,10,2,154626.9901721361
9,Drahi_9.csv,6,4,4,0.2,100.0,20.0,10,3,158494.41698027382
9,Drahi_9.csv,6,4,4,0.2,100.0,20.0,10,4,151189.93739457242
9,Drahi_9.csv,6,4,4,0.2,100.0,20.0,10,5,155895.97937464362
9,Drahi_9.csv,6,4,4,0.2,100.0,20.0,10,6,149780.77503150378
9,Drahi_9.csv,6,4,4,0.2,100.0,20.0,10,7,155132.93339588537
9,Drahi_9.csv,6,4,4,0.2,100.0,20.0,10,8,150256.13544858983
9,Drahi_9.csv,6,4,4,0.2,100.0,20.0,10,9,157520.62293560305
9,Drahi_9.csv,6,4,4,0.2,100.0,20.0,10,10,152776.3005304573
1,Drahi_1.csv,6,4,4,0.6,100.0,20.0,10,1,172703.5401583172
1,Drahi_1.csv,6,4,4,0.6,100.0,20.0,10,2,142935.17730799736
1,Drahi_1.csv,6,4,4,0.6,100.0,20.0,10,3,152246.81085268108
1,Drahi_1.csv,6,4,4,0.6,100.0,20.0,10,4,151637.0243557304
1,Drahi_1.csv,6,4,4,0.6,100.0,20.0,10,5,152432.99641017066
1,Drahi_1.csv,6,4,4,0.6,100.0,20.0,10,6,171277.87260370256
1,Drahi_1.csv,6,4,4,0.6,100.0,20.0,10,7,158261.3280640749
1,Drahi_1.csv,6,4,4,0.6,100.0,20.0,10,8,150921.74097221138
1,Drahi_1.csv,6,4,4,0.6,100.0,20.0,10,9,153183.44865344008
1,Drahi_1.csv,6,4,4,0.6,100.0,20.0,10,10,148195.9098501201
10,Drahi_10.csv,6,4,4,0.6,100.0,20.0,10,1,153319.08886718182
10,Drahi_10.csv,6,4,4,0.6,100.0,20.0,10,2,160107.98722144947
10,Drahi_10.csv,6,4,4,0.6,100.0,20.0,10,3,159449.18627415213
10,Drahi_10.csv,6,4,4,0.6,100.0,20.0,10,4,156854.0578699361
10,Drahi_10.csv,6,4,4,0.6,100.0,20.0,10,5,157413.06558869942
10,Drahi_10.csv,6,4,4,0.6,100.0,20.0,10,6,156263.78924303825
10,Drahi_10.csv,6,4,4,0.6,100.0,20.0,10,7,144335.42812064238
10,Drahi_10.csv,6,4,4,0.6,100.0,20.0,10,8,152812.9472787631
10,Drahi_10.csv,6,4,4,0.6,100.0,20.0,10,9,153730.6422867131
10,Drahi_10.csv,6,4,4,0.6,100.0,20.0,10,10,157048.6293922995
2,Drahi_2.csv,6,4,4,0.6,100.0,20.0,10,1,135566.1490019135
2,Drahi_2.csv,6,4,4,0.6,100.0,20.0,10,2,155449.6541994668
2,Drahi_2.csv,6,4,4,0.6,100.0,20.0,10,3,152186.55674505667
2,Drahi_2.csv,6,4,4,0.6,100.0,20.0,10,4,142941.65398617456
2,Drahi_2.csv,6,4,4,0.6,100.0,20.0,10,5,154895.0184266692
2,Drahi_2.csv,6,4,4,0.6,100.0,20.0,10,6,151043.73494137047
2,Drahi_2.csv,6,4,4,0.6,100.0,20.0,10,7,155146.41340358934
2,Drahi_2.csv,6,4,4,0.6,100.0,20.0,10,8,151959.83587584464
2,Drahi_2.csv,6,4,4,0.6,100.0,20.0,10,9,139822.75469262563
2,Drahi_2.csv,6,4,4,0.6,100.0,20.0,10,10,147921.95178506337
3,Drahi_3.csv,6,4,4,0.6,100.0,20.0,10,1,172186.04577683395
3,Drahi_3.csv,6,4,4,0.6,100.0,20.0,10,2,156859.77125254163
3,Drahi_3.csv,6,4,4,0.6,100.0,20.0,10,3,148425.5216956464
3,Drahi_3.csv,6,4,4,0.6,100.0,20.0,10,4,165856.36418400775
3,Drahi_3.csv,6,4,4,0.6,100.0,20.0,10,5,148739.589069018
3,Drahi_3.csv,6,4,4,0.6,100.0,20.0,10,6,150502.05313069402
3,Drahi_3.csv,6,4,4,0.6,100.0,20.0,10,7,147383.91918153397
3,Drahi_3.csv,6,4,4,0.6,100.0,20.0,10,8,156913.74344198915
3,Drahi_3.csv,6,4,4,0.6,100.0,20.0,10,9,149721.20722282326
3,Drahi_3.csv,6,4,4,0.6,100.0,20.0,10,10,151055.6667490962
4,Drahi_4.csv,6,4,4,0.6,100.0,20.0,10,1,185149.95580114785
4,Drahi_4.csv,6,4,4,0.6,100.0,20.0,10,2,141229.48715369595
4,Drahi_4.csv,6,4,4,0.6,100.0,20.0,10,3,189101.8596172357
4,Drahi_4.csv,6,4,4,0.6,100.0,20.0,10,4,155135.35666590615
4,Drahi_4.csv,6,4,4,0.6,100.0,20.0,10,5,156428.35259867273
4,Drahi_4.csv,6,4,4,0.6,100.0,20.0,10,6,155083.33603656193
4,Drahi_4.csv,6,4,4,0.6,100.0,20.0,10,7,154229.3928037633
4,Drahi_4.csv,6,4,4,0.6,100.0,20.0,10,8,186648.20199314173
4,Drahi_4.csv,6,4,4,0.6,100.0,20.0,10,9,138955.36259585596
4,Drahi_4.csv,6,4,4,0.6,100.0,20.0,10,10,147629.77431217243
5,Drahi_5.csv,6,4,4,0.6,100.0,20.0,10,1,154061.43725865203
5,Drahi_5.csv,6,4,4,0.6,100.0,20.0,10,2,149673.83960564423
5,Drahi_5.csv,6,4,4,0.6,100.0,20.0,10,3,195086.80923605416
5,Drahi_5.csv,6,4,4,0.6,100.0,20.0,10,4,154694.52720452083
5,Drahi_5.csv,6,4,4,0.6,100.0,20.0,10,5,200614.9392186517
5,Drahi_5.csv,6,4,4,0.6,100.0,20.0,10,6,194684.61813550143
5,Drahi_5.csv,6,4,4,0.6,100.0,20.0,10,7,155360.90822074638
5,Drahi_5.csv,6,4,4,0.6,100.0,20.0,10,8,155368.1736311366
5,Drahi_5.csv,6,4,4,0.6,100.0,20.0,10,9,162438.83504514326
5,Drahi_5.csv,6,4,4,0.6,100.0,20.0,10,10,163417.63463247262
6,Drahi_6.csv,6,4,4,0.6,100.0,20.0,10,1,154542.61553198865
6,Drahi_6.csv,6,4,4,0.6,100.0,20.0,10,2,144129.12545639975
6,Drahi_6.csv,6,4,4,0.6,100.0,20.0,10,3,148074.9023976054
6,Drahi_6.csv,6,4,4,0.6,100.0,20.0,10,4,143550.28530317548
6,Drahi_6.csv,6,4,4,0.6,100.0,20.0,10,5,149072.59792912495
6,Drahi_6.csv,6,4,4,0.6,100.0,20.0,10,6,143924.44496920778
6,Drahi_6.csv,6,4,4,0.6,100.0,20.0,10,7,143705.46559223055
6,Drahi_6.csv,6,4,4,0.6,100.0,20.0,10,8,154790.69520141918
6,Drahi_6.csv,6,4,4,0.6,100.0,20.0,10,9,152406.7979198807
6,Drahi_6.csv,6,4,4,0.6,100.0,20.0,10,10,140617.9212961364
7,Drahi_7.csv,6,4,4,0.6,100.0,20.0,10,1,153764.9156017231
7,Drahi_7.csv,6,4,4,0.6,100.0,20.0,10,2,156244.0413978261
7,Drahi_7.csv,6,4,4,0.6,100.0,20.0,10,3,143733.26778065227
7,Drahi_7.csv,6,4,4,0.6,100.0,20.0,10,4,155731.26837291504
7,Drahi_7.csv,6,4,4,0.6,100.0,20.0,10,5,144655.72980288777
7,Drahi_7.csv,6,4,4,0.6,100.0,20.0,10,6,156026.792611566
7,Drahi_7.csv,6,4,4,0.6,100.0,20.0,10,7,150019.2582157374
7,Drahi_7.csv,6,4,4,0.6,100.0,20.0,10,8,144688.11981078863
7,Drahi_7.csv,6,4,4,0.6,100.0,20.0,10,9,148822.39177194095
7,Drahi_7.csv,6,4,4,0.6,100.0,20.0,10,10,149039.7113744884
8,Drahi_8.csv,6,4,4,0.6,100.0,20.0,10,1,153526.07019168686
8,Drahi_8.csv,6,4,4,0.6,100.0,20.0,10,2,148761.44343339035
8,Drahi_8.csv,6,4,4,0.6,100.0,20.0,10,3,153770.8136012701
8,Drahi_8.csv,6,4,4,0.6,100.0,20.0,10,4,230583.26296069278
8,Drahi_8.csv,6,4,4,0.6,100.0,20.0,10,5,167418.14602662783
8,Drahi_8.csv,6,4,4,0.6,100.0,20.0,10,6,236753.0816439018
8,Drahi_8.csv,6,4,4,0.6,100.0,20.0,10,7,142588.3231804051
8,Drahi_8.csv,6,4,4,0.6,100.0,20.0,10,8,152480.98949343097
8,Drahi_8.csv,6,4,4,0.6,100.0,20.0,10,9,153587.77333582973
8,Drahi_8.csv,6,4,4,0.6,100.0,20.0,10,10,153029.87755520362
9,Drahi_9.csv,6,4,4,0.6,100.0,20.0,10,1,149490.97373426287
9,Drahi_9.csv,6,4,4,0.6,100.0,20.0,10,2,249099.30376100208
9,Drahi_9.csv,6,4,4,0.6,100.0,20.0,10,3,151270.57986632342
9,Drahi_9.csv,6,4,4,0.6,100.0,20.0,10,4,149882.50417700954
9,Drahi_9.csv,6,4,4,0.6,100.0,20.0,10,5,146271.94915584105
9,Drahi_9.csv,6,4,4,0.6,100.0,20.0,10,6,157993.7520261044
9,Drahi_9.csv,6,4,4,0.6,100.0,20.0,10,7,159818.89097422737
9,Drahi_9.csv,6,4,4,0.6,100.0,20.0,10,8,247837.76544292097
9,Drahi_9.csv,6,4,4,0.6,100.0,20.0,10,9,158346.4430856774
9,Drahi_9.csv,6,4,4,0.6,100.0,20.0,10,10,144603.98938923463
