InstanceNo,InstanceFile,NBstage,Childs,Periods,Theta,Avg_d,Dev_d,J,House,AllGridExpectedCost
5,Drahi_5.csv,6,4,4,0.2,100.0,10.0,5,5,150901.28433218924
6,Drahi_6.csv,6,4,4,0.2,100.0,10.0,5,1,264200.89848407835
6,Drahi_6.csv,6,4,4,0.2,100.0,10.0,5,2,152390.87084024862
6,Drahi_6.csv,6,4,4,0.2,100.0,10.0,5,3,151536.1613499517
6,Drahi_6.csv,6,4,4,0.2,100.0,10.0,5,4,151979.94085035846
6,Drahi_6.csv,6,4,4,0.2,100.0,10.0,5,5,152969.28633863415
7,Drahi_7.csv,6,4,4,0.2,100.0,10.0,5,1,217378.26544034196
7,Drahi_7.csv,6,4,4,0.2,100.0,10.0,5,2,217601.54710749054
7,Drahi_7.csv,6,4,4,0.2,100.0,10.0,5,3,211783.8804210248
7,Drahi_7.csv,6,4,4,0.2,100.0,10.0,5,4,216095.02544461653
7,Drahi_7.csv,6,4,4,0.2,100.0,10.0,5,5,213010.7058577351
8,Drahi_8.csv,6,4,4,0.2,100.0,10.0,5,1,157095.22234629284
8,Drahi_8.csv,6,4,4,0.2,100.0,10.0,5,2,157565.08986344677
8,Drahi_8.csv,6,4,4,0.2,100.0,10.0,5,3,290428.5342354297
8,Drahi_8.csv,6,4,4,0.2,100.0,10.0,5,4,152788.82395761253
8,Drahi_8.csv,6,4,4,0.2,100.0,10.0,5,5,147323.57839292032
9,Drahi_9.csv,6,4,4,0.2,100.0,10.0,5,1,152018.01183166273
9,Drahi_9.csv,6,4,4,0.2,100.0,10.0,5,2,150954.41513878285
9,Drahi_9.csv,6,4,4,0.2,100.0,10.0,5,3,164016.20674612813
9,Drahi_9.csv,6,4,4,0.2,100.0,10.0,5,4,151270.7604794025
9,Drahi_9.csv,6,4,4,0.2,100.0,10.0,5,5,163930.55365721943
1,Drahi_1.csv,6,4,4,0.6,100.0,10.0,5,1,149547.05563651302
1,Drahi_1.csv,6,4,4,0.6,100.0,10.0,5,2,149146.31682009596
1,Drahi_1.csv,6,4,4,0.6,100.0,10.0,5,3,159332.83420911676
1,Drahi_1.csv,6,4,4,0.6,100.0,10.0,5,4,150749.91328000222
1,Drahi_1.csv,6,4,4,0.6,100.0,10.0,5,5,159865.25963262364
