ConfigID,Fairness,ConditionalStage,Node,NodeStage,NodeProbability,House,ConditionalPV,ConditionalESS,ConditionalPVPlusESS,ConditionalSavings,ConditionalTarget,ConditionalGap,AbsoluteConditionalGap
C0001,CLEXMMFSA,2,13,2,0.5,1,153.09332240343463,0.0,153.09332240343463,30236.439865488646,,,
C0001,CLEXMMFSA,2,13,2,0.5,2,183.38565907353905,0.0,183.38565907353905,30236.439865488617,,,
C0001,CLEXMMFSA,2,13,2,0.5,3,1709.5995750729662,10.775209517003873,1720.3747845899702,30236.439865488617,,,
C0001,CLEXMMFSA,2,13,2,0.5,4,156.63211078110436,0.0,156.63211078110436,30236.439865488646,,,
C0001,CLEXMMFSA,2,13,2,0.5,5,737.6342148852793,21.224790482996127,758.8590053682755,30236.439865488617,,,
C0001,CLEXMMFSA,2,25,2,0.5,1,164.29216230729395,0.0,164.29216230729395,30464.38288695726,,,
C0001,CLEXMMFSA,2,25,2,0.5,2,177.66840141493503,0.0,177.66840141493503,30464.382886957057,,,
C0001,CLEXMMFSA,2,25,2,0.5,3,1657.2907013374231,12.0,1669.2907013374231,30450.055553623708,,,
C0001,CLEXMMFSA,2,25,2,0.5,4,154.57121316596027,0.0,154.57121316596027,30464.382886957086,,,
C0001,CLEXMMFSA,2,25,2,0.5,5,739.0314558803343,20.0,759.0314558803343,30450.055553623708,,,
C0002,CLEXMMFSA,2,13,2,0.5,1,157.30069089368595,0.0,157.30069089368595,30614.146733697038,,,
C0002,CLEXMMFSA,2,13,2,0.5,2,163.88600842668689,0.0,163.88600842668689,30614.14673369708,,,
C0002,CLEXMMFSA,2,13,2,0.5,3,149.89327063802367,0.0,149.89327063802367,30614.146733697067,,,
C0002,CLEXMMFSA,2,13,2,0.5,4,151.1303488551966,4.0,155.1303488551966,30614.146733697038,,,
C0002,CLEXMMFSA,2,13,2,0.5,5,714.9201519283696,32.0,746.9201519283696,30614.14673369708,,,
C0002,CLEXMMFSA,2,25,2,0.5,1,118.9514125455856,0.0,118.9514125455856,22983.68555066816,,,
C0002,CLEXMMFSA,2,25,2,0.5,2,124.02683076146216,0.0,124.02683076146216,22983.68555066819,,,
C0002,CLEXMMFSA,2,25,2,0.5,3,114.80256012704139,0.0,114.80256012704139,22983.68555066816,,,
C0002,CLEXMMFSA,2,25,2,0.5,4,111.33360106302482,4.0,115.33360106302482,22983.68555066819,,,
C0002,CLEXMMFSA,2,25,2,0.5,5,698.0414099043072,32.0,730.0414099043072,22971.280050668167,,,
C0003,CLEXMMFSA,2,13,2,0.5,1,350.97727372551753,8.0,358.97727372551753,70585.62106554813,,,
C0003,CLEXMMFSA,2,13,2,0.5,2,329.42195495750497,16.0,345.42195495750497,70585.62106554813,,,
C0003,CLEXMMFSA,2,13,2,0.5,3,346.15195262802433,0.0,346.15195262802433,70585.62106554816,,,
C0003,CLEXMMFSA,2,13,2,0.5,4,362.5874444878503,0.0,362.5874444878503,70627.28306554849,,,
C0003,CLEXMMFSA,2,13,2,0.5,5,341.3818502216987,8.0,349.3818502216987,70585.62106554821,,,
C0003,CLEXMMFSA,2,25,2,0.5,1,356.11357159650356,16.0,372.11357159650356,74251.53165043928,,,
C0003,CLEXMMFSA,2,25,2,0.5,2,349.1048696101235,14.326245601743835,363.43111521186734,74251.53165043922,,,
C0003,CLEXMMFSA,2,25,2,0.5,3,362.216501596072,0.0,362.216501596072,74251.53165043922,,,
C0003,CLEXMMFSA,2,25,2,0.5,4,379.81043013439006,0.0,379.81043013439006,74251.53165043928,,,
C0003,CLEXMMFSA,2,25,2,0.5,5,368.05387621749543,0.0,368.05387621749543,74251.53165043922,,,
C0004,CLEXMMFSA,2,13,2,0.5,1,71.90179757493158,18.05,89.95179757493158,4277.803707069397,,,
C0004,CLEXMMFSA,2,13,2,0.5,2,76.19855253308869,0.490000000000002,76.68855253308868,4315.925707068469,,,
C0004,CLEXMMFSA,2,13,2,0.5,3,57.48525488416386,10.83,68.31525488416386,4275.803707069368,,,
C0004,CLEXMMFSA,2,13,2,0.5,4,156.29657748858125,12.0,168.29657748858125,4277.803707069426,,,
C0004,CLEXMMFSA,2,13,2,0.5,5,1.541127481594259,20.0,21.54112748159426,4277.803707069397,,,
C0004,CLEXMMFSA,2,25,2,0.5,1,22.565225440628087,18.05,40.61522544062809,3784.4379857263702,,,
C0004,CLEXMMFSA,2,25,2,0.5,2,72.25181236622728,0.490000000000002,72.7418123662273,3784.437985726341,,,
C0004,CLEXMMFSA,2,25,2,0.5,3,12.348682749865615,10.83,23.178682749865615,3784.4379857263702,,,
C0004,CLEXMMFSA,2,25,2,0.5,4,135.51846341119006,12.0,147.51846341119006,3784.4379857263993,,,
C0004,CLEXMMFSA,2,25,2,0.5,5,0.14070069204025515,20.0,20.140700692040255,3784.4379857263702,,,
C0005,CLEXMMFSA,2,13,2,0.5,1,63.82662926306565,16.0,79.82662926306566,4076.830400101957,,,
C0005,CLEXMMFSA,2,13,2,0.5,2,78.11286075300056,0.0,78.11286075300056,4077.9229589911993,,,
C0005,CLEXMMFSA,2,13,2,0.5,3,62.5799439053697,20.18716906684008,82.76711297220979,4077.9229589912866,,,
