InstanceNo,InstanceFile,NBstage,Childs,Periods,#scen,Theta,Avg_d,Dev_d,J,Fairness,House,InstFolder,Status,PVReceivedExpected,PVReceivedMin,PVReceivedMax,CostExpected,CostMin,CostMax,RegretExpected,RegretMin,RegretMax,RunTimeSec,ModelSolveTimeSec
1,Drahi_1.csv,6,4,4,1024,0.2,100.0,10.0,5,LEXMMFSA,1,inst/inst2020,true,115.66382795085983,0.0,304.7345407891892,136043.60040436836,102777.53746057836,166441.6026250748,0.5279259919788416,0.0012578956298948429,1.844557970495777,11.034140825271606,5.79
1,Drahi_1.csv,6,4,4,1024,0.2,100.0,10.0,5,LEXMMFSA,2,inst/inst2020,true,108.95685453050763,0.0,285.7741945211507,137685.51925226673,100967.94668595647,164726.87975272365,0.44005935155301384,0.0002060529821868137,1.1334635146770442,11.034140825271606,5.79
1,Drahi_1.csv,6,4,4,1024,0.2,100.0,10.0,5,LEXMMFSA,3,inst/inst2020,true,617.4992769261376,235.50589525751306,1126.4879131674963,133258.52460324098,107346.47370125951,158699.64473875312,0.24857885230102203,0.0005594466003076869,1.0770307140858257,11.034140825271606,5.79
1,Drahi_1.csv,6,4,4,1024,0.2,100.0,10.0,5,LEXMMFSA,4,inst/inst2020,true,122.35176418822982,83.16134398065543,179.1744154860967,135062.99762559828,127634.03856593442,141366.07595963858,0.1634840789016548,5.254932587453393e-5,0.8235726311014426,11.034140825271606,5.79
1,Drahi_1.csv,6,4,4,1024,0.2,100.0,10.0,5,LEXMMFSA,5,inst/inst2020,true,108.4786472593837,0.0,266.1847862513492,133993.40010165356,93662.57231319141,167224.04670311682,0.49229852410900304,0.0023565262117143694,1.4365425274048722,11.034140825271606,5.79
1,Drahi_1.csv,6,4,4,1024,0.2,100.0,20.0,5,LEXMMFSA,1,inst/inst2020,true,472.8594403996044,55.92703620160967,1010.3461819108086,150331.30299489174,110834.69156248354,187168.20354261954,0.3219036096918527,5.54707309291302e-5,2.133727427213002,11.946635246276855,9.18
1,Drahi_1.csv,6,4,4,1024,0.2,100.0,20.0,5,LEXMMFSA,2,inst/inst2020,true,462.1169258349033,127.18860356257508,902.1987825022857,150286.15490721143,104036.68319316152,191148.902123221,0.32495123015706556,1.9587309530920078e-5,3.6154798052243526,11.946635246276855,9.18
1,Drahi_1.csv,6,4,4,1024,0.2,100.0,20.0,5,LEXMMFSA,3,inst/inst2020,true,76.53150752500349,0.0,201.00997223455784,134747.36112488236,91969.2452656494,167324.70599374082,0.6840649724687708,0.00026440344452033143,2.0894854976722272,11.946635246276855,9.18
1,Drahi_1.csv,6,4,4,1024,0.2,100.0,20.0,5,LEXMMFSA,4,inst/inst2020,true,76.12864413454768,0.0,204.73936094851373,140708.68830728115,109892.645800221,168884.7649212564,0.5558850120096837,0.001156071491406994,1.8353231708628026,11.946635246276855,9.18
1,Drahi_1.csv,6,4,4,1024,0.2,100.0,20.0,5,LEXMMFSA,5,inst/inst2020,true,60.205111237132364,3.709628617036248,115.39948034356262,146092.28269867646,133246.81675018888,160065.80751474743,0.5509186712722092,6.396307782120296e-6,2.3633677178345978,11.946635246276855,9.18
