InstanceNo,InstanceFile,NBstage,Childs,Periods,#scen,Theta,Avg_d,Dev_d,J,Fairness,InstFolder,Status,MeanAbsFairnessGap,MaxAbsFairnessGap,RunTimeSec,ModelSolveTimeSec
1,Drahi_1.csv,6,6,4,7776,0.2,100.0,10.0,5,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,1.4154011296341195e-12,4.973799150320701e-12,81.65183687210083,29.52
1,Drahi_1.csv,6,6,4,7776,0.2,100.0,20.0,5,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,1.2732925824820995e-12,3.524291969370097e-12,47.03988599777222,24.419999999999998
1,Drahi_1.csv,6,6,4,7776,0.6,100.0,10.0,5,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,2.4101609596982597e-12,8.526512829121202e-12,56.57688498497009,35.84
1,Drahi_1.csv,6,6,4,7776,0.6,100.0,20.0,5,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,1.9895196601282805e-13,6.252776074688882e-13,39.609596729278564,17.45
1,Drahi_1.csv,6,6,4,7776,0.2,100.0,10.0,10,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,2.5579538487363607e-13,9.947598300641403e-13,62.45035791397095,26.39
1,Drahi_1.csv,6,6,4,7776,0.2,100.0,20.0,10,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,4.249045559845399e-13,9.094947017729282e-13,87.61430311203003,37.2
1,Drahi_1.csv,6,6,4,7776,0.6,100.0,10.0,10,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,2.3305801732931284e-13,4.547473508864641e-13,132.7206630706787,62.04
1,Drahi_1.csv,6,6,4,7776,0.6,100.0,20.0,10,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,3.382183422218077e-13,6.536993168992922e-13,87.98160314559937,45.349999999999994
1,Drahi_1.csv,6,6,4,7776,0.2,100.0,10.0,5,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,1.4154011296341195e-12,4.973799150320701e-12,43.79153490066528,21.64
1,Drahi_1.csv,6,6,4,7776,0.2,100.0,20.0,5,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,1.2732925824820995e-12,3.524291969370097e-12,27.075509071350098,15.32
1,Drahi_1.csv,6,6,4,7776,0.6,100.0,10.0,5,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,2.4101609596982597e-12,8.526512829121202e-12,29.810110807418823,16.12
1,Drahi_1.csv,6,6,4,7776,0.6,100.0,20.0,5,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,1.9895196601282805e-13,6.252776074688882e-13,42.70196199417114,20.38
1,Drahi_1.csv,6,6,4,7776,0.2,100.0,10.0,5,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,9.549694368615747e-13,2.1316282072803006e-12,60.12916111946106,26.72
1,Drahi_1.csv,6,6,4,7776,0.2,100.0,20.0,5,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,7.844391802791506e-13,1.4779288903810084e-12,49.79452109336853,32.82
1,Drahi_1.csv,6,6,4,7776,0.6,100.0,10.0,5,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,2.2168933355715126e-12,6.536993168992922e-12,51.69146776199341,38.6
1,Drahi_1.csv,6,6,4,7776,0.6,100.0,20.0,5,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,5.115907697472721e-13,9.094947017729282e-13,26.10395097732544,14.45
1,Drahi_1.csv,6,6,4,7776,0.2,100.0,10.0,10,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,3.353761712787673e-13,9.805489753489383e-13,55.65022921562195,35.57
1,Drahi_1.csv,6,6,4,7776,0.2,100.0,20.0,10,PEA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,3.3963942769332787e-13,9.237055564881302e-13,50.37070322036743,29.61
