InstanceNo,InstanceFile,NBstage,Childs,Periods,#scen,Theta,Avg_d,Dev_d,J,Fairness,House,InstFolder,Status,PVReceivedExpected,PVReceivedMin,PVReceivedMax,CostExpected,CostMin,CostMax,RegretExpected,RegretMin,RegretMax,RunTimeSec,ModelSolveTimeSec
1,Drahi_1.csv,6,4,4,1024,0.2,100.0,10.0,5,SA,1,inst/inst2020,true,115.38584928449941,0.0,324.3811940450638,135559.19887050768,94697.83631557082,159929.73332365678,0.5113661044392924,0.0017790040966913947,1.5813912733108038,11.822185754776001,5.109999999999999
1,Drahi_1.csv,6,4,4,1024,0.2,100.0,10.0,5,SA,2,inst/inst2020,true,114.79413491149849,0.0,304.548629558314,137050.50390255154,91173.2059351089,166893.18550234416,0.5642796748839207,0.0016956972366718713,1.3289592047152925,11.822185754776001,5.109999999999999
1,Drahi_1.csv,6,4,4,1024,0.2,100.0,10.0,5,SA,3,inst/inst2020,true,608.0045578190131,150.30492977132286,1328.0687087180306,133353.47179431233,108522.57477120057,158363.1052558859,0.4207993477685902,9.013395632662015e-5,2.2148466886413214,11.822185754776001,5.109999999999999
1,Drahi_1.csv,6,4,4,1024,0.2,100.0,10.0,5,SA,4,inst/inst2020,true,123.68441288713609,88.24193877628562,179.1744154860967,134851.75919548154,127634.03856593442,141185.82494309987,0.41104244242998994,0.00031799255144057947,2.472083065605459,11.822185754776001,5.109999999999999
1,Drahi_1.csv,6,4,4,1024,0.2,100.0,10.0,5,SA,5,inst/inst2020,true,111.08141595296911,0.0,394.4896916584755,133950.5907862887,86773.85692585424,165030.70537639142,0.545577500529039,0.0003100989494086327,1.7163451209435563,11.822185754776001,5.109999999999999
1,Drahi_1.csv,6,4,4,1024,0.2,100.0,20.0,5,SA,1,inst/inst2020,true,461.5564492977667,8.623152449767726,1023.9935008129496,150493.38121124782,113126.67746532464,185898.8819964294,1.0571462896622816,0.00016176814900651013,3.584915141962418,13.384456872940063,8.67
1,Drahi_1.csv,6,4,4,1024,0.2,100.0,20.0,5,SA,2,inst/inst2020,true,437.48139645933543,7.376241582699922,1044.1912312388004,150481.5868956291,106549.79775003568,190099.44111992168,1.1274370335927053,0.0004594105320418992,4.320389626756007,13.384456872940063,8.67
1,Drahi_1.csv,6,4,4,1024,0.2,100.0,20.0,5,SA,3,inst/inst2020,true,96.51178478155084,0.0,852.1519540994497,135247.81426531583,24121.569394538288,2.5416050138577153e6,1.3180657470994297,0.00020612706707663574,2.793058140581206,13.384456872940063,8.67
1,Drahi_1.csv,6,4,4,1024,0.2,100.0,20.0,5,SA,4,inst/inst2020,true,92.45862881175498,0.0,801.3257534789794,140898.7113058754,24419.001818918798,2.0878103351341432e6,1.1410447834557202,0.0012356050457651559,2.5670395560210766,13.384456872940063,8.67
1,Drahi_1.csv,6,4,4,1024,0.2,100.0,20.0,5,SA,5,inst/inst2020,true,59.83336978078071,0.0,210.21214730488344,146321.62423456216,119284.35803779186,156946.90970439452,0.6010649603867733,0.0010939576374976326,2.674940218626835,13.384456872940063,8.67
