InstanceNo,InstanceFile,NBstage,Childs,Periods,#scen,Theta,Avg_d,Dev_d,J,Fairness,House,InstFolder,Status,FairnessGap,AbsFairnessGap,RunTimeSec,ModelSolveTimeSec
1,Drahi_1.csv,6,4,4,1024,0.2,100.0,20.0,10,LEXMMFSA,5,inst/inst2020,true,NaN,NaN,89.16466426849365,74.88000000000001
1,Drahi_1.csv,6,4,4,1024,0.2,100.0,20.0,10,LEXMMFSA,6,inst/inst2020,true,NaN,NaN,89.16466426849365,74.88000000000001
1,Drahi_1.csv,6,4,4,1024,0.2,100.0,20.0,10,LEXMMFSA,7,inst/inst2020,true,NaN,NaN,89.16466426849365,74.88000000000001
1,Drahi_1.csv,6,4,4,1024,0.2,100.0,20.0,10,LEXMMFSA,8,inst/inst2020,true,NaN,NaN,89.16466426849365,74.88000000000001
1,Drahi_1.csv,6,4,4,1024,0.2,100.0,20.0,10,LEXMMFSA,9,inst/inst2020,true,NaN,NaN,89.16466426849365,74.88000000000001
1,Drahi_1.csv,6,4,4,1024,0.2,100.0,20.0,10,LEXMMFSA,10,inst/inst2020,true,NaN,NaN,89.16466426849365,74.88000000000001
1,Drahi_1.csv,6,4,4,1024,0.6,100.0,10.0,10,LEXMMFSA,1,inst/inst2020,true,NaN,NaN,152.1878559589386,136.98
1,Drahi_1.csv,6,4,4,1024,0.6,100.0,10.0,10,LEXMMFSA,2,inst/inst2020,true,NaN,NaN,152.1878559589386,136.98
1,Drahi_1.csv,6,4,4,1024,0.6,100.0,10.0,10,LEXMMFSA,3,inst/inst2020,true,NaN,NaN,152.1878559589386,136.98
1,Drahi_1.csv,6,4,4,1024,0.6,100.0,10.0,10,LEXMMFSA,4,inst/inst2020,true,NaN,NaN,152.1878559589386,136.98
1,Drahi_1.csv,6,4,4,1024,0.6,100.0,10.0,10,LEXMMFSA,5,inst/inst2020,true,NaN,NaN,152.1878559589386,136.98
1,Drahi_1.csv,6,4,4,1024,0.6,100.0,10.0,10,LEXMMFSA,6,inst/inst2020,true,NaN,NaN,152.1878559589386,136.98
1,Drahi_1.csv,6,4,4,1024,0.6,100.0,10.0,10,LEXMMFSA,7,inst/inst2020,true,NaN,NaN,152.1878559589386,136.98
1,Drahi_1.csv,6,4,4,1024,0.6,100.0,10.0,10,LEXMMFSA,8,inst/inst2020,true,NaN,NaN,152.1878559589386,136.98
1,Drahi_1.csv,6,4,4,1024,0.6,100.0,10.0,10,LEXMMFSA,9,inst/inst2020,true,NaN,NaN,152.1878559589386,136.98
1,Drahi_1.csv,6,4,4,1024,0.6,100.0,10.0,10,LEXMMFSA,10,inst/inst2020,true,NaN,NaN,152.1878559589386,136.98
1,Drahi_1.csv,6,4,4,1024,0.6,100.0,20.0,10,LEXMMFSA,1,inst/inst2020,true,NaN,NaN,193.5391869544983,176.05
1,Drahi_1.csv,6,4,4,1024,0.6,100.0,20.0,10,LEXMMFSA,2,inst/inst2020,true,NaN,NaN,193.5391869544983,176.05
1,Drahi_1.csv,6,4,4,1024,0.6,100.0,20.0,10,LEXMMFSA,3,inst/inst2020,true,NaN,NaN,193.5391869544983,176.05
1,Drahi_1.csv,6,4,4,1024,0.6,100.0,20.0,10,LEXMMFSA,4,inst/inst2020,true,NaN,NaN,193.5391869544983,176.05
1,Drahi_1.csv,6,4,4,1024,0.6,100.0,20.0,10,LEXMMFSA,5,inst/inst2020,true,NaN,NaN,193.5391869544983,176.05
1,Drahi_1.csv,6,4,4,1024,0.6,100.0,20.0,10,LEXMMFSA,6,inst/inst2020,true,NaN,NaN,193.5391869544983,176.05
1,Drahi_1.csv,6,4,4,1024,0.6,100.0,20.0,10,LEXMMFSA,7,inst/inst2020,true,NaN,NaN,193.5391869544983,176.05
1,Drahi_1.csv,6,4,4,1024,0.6,100.0,20.0,10,LEXMMFSA,8,inst/inst2020,true,NaN,NaN,193.5391869544983,176.05
1,Drahi_1.csv,6,4,4,1024,0.6,100.0,20.0,10,LEXMMFSA,9,inst/inst2020,true,NaN,NaN,193.5391869544983,176.05
1,Drahi_1.csv,6,4,4,1024,0.6,100.0,20.0,10,LEXMMFSA,10,inst/inst2020,true,NaN,NaN,193.5391869544983,176.05
2,Drahi_2.csv,6,4,4,1024,0.2,100.0,10.0,5,LEXMMFSA,1,inst/inst2020,true,NaN,NaN,27.60587501525879,19.98
2,Drahi_2.csv,6,4,4,1024,0.2,100.0,10.0,5,LEXMMFSA,2,inst/inst2020,true,NaN,NaN,27.60587501525879,19.98
2,Drahi_2.csv,6,4,4,1024,0.2,100.0,10.0,5,LEXMMFSA,3,inst/inst2020,true,NaN,NaN,27.60587501525879,19.98
2,Drahi_2.csv,6,4,4,1024,0.2,100.0,10.0,5,LEXMMFSA,4,inst/inst2020,true,NaN,NaN,27.60587501525879,19.98
2,Drahi_2.csv,6,4,4,1024,0.2,100.0,10.0,5,LEXMMFSA,5,inst/inst2020,true,NaN,NaN,27.60587501525879,19.98
2,Drahi_2.csv,6,4,4,1024,0.2,100.0,20.0,5,LEXMMFSA,1,inst/inst2020,true,NaN,NaN,19.444092988967896,12.889999999999999
2,Drahi_2.csv,6,4,4,1024,0.2,100.0,20.0,5,LEXMMFSA,2,inst/inst2020,true,NaN,NaN,19.444092988967896,12.889999999999999
2,Drahi_2.csv,6,4,4,1024,0.2,100.0,20.0,5,LEXMMFSA,3,inst/inst2020,true,NaN,NaN,19.444092988967896,12.889999999999999
2,Drahi_2.csv,6,4,4,1024,0.2,100.0,20.0,5,LEXMMFSA,4,inst/inst2020,true,NaN,NaN,19.444092988967896,12.889999999999999
2,Drahi_2.csv,6,4,4,1024,0.2,100.0,20.0,5,LEXMMFSA,5,inst/inst2020,true,NaN,NaN,19.444092988967896,12.889999999999999
