InstanceNo,InstanceFile,NBstage,Childs,Periods,#scen,Theta,Avg_d,Dev_d,J,Fairness,InstFolder,Status,MeanAbsFairnessGap,MaxAbsFairnessGap,RunTimeSec,ModelSolveTimeSec
3,Drahi_3.csv,6,6,4,7776,0.6,100.0,20.0,10,SA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,2.0929292077198623e-9,8.581992005929351e-9,459.1391050815582,445.36
4,Drahi_4.csv,6,6,4,7776,0.2,100.0,10.0,5,SA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,1.4551915228366852e-10,3.346940502524376e-10,24.429710149765015,17.93
4,Drahi_4.csv,6,6,4,7776,0.2,100.0,20.0,5,SA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,1.187436282634735e-9,2.1136656869202852e-9,44.023361921310425,38.11
4,Drahi_4.csv,6,6,4,7776,0.6,100.0,10.0,5,SA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,2.794695319607854e-9,5.496985977515578e-9,28.99915599822998,22.73
4,Drahi_4.csv,6,6,4,7776,0.6,100.0,20.0,5,SA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,2.6135239750146865e-9,5.7480065152049065e-9,76.41740107536316,70.55
4,Drahi_4.csv,6,6,4,7776,0.2,100.0,10.0,10,SA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,2.7333044272381814e-9,1.2421878636814654e-8,465.34322476387024,444.15
4,Drahi_4.csv,6,6,4,7776,0.2,100.0,20.0,10,SA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,5.416586645878852e-9,2.7097485144622624e-8,484.5520889759064,455.99
4,Drahi_4.csv,6,6,4,7776,0.6,100.0,10.0,10,SA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,2.1502273739315568e-9,9.516952559351921e-9,402.1299738883972,367.54
4,Drahi_4.csv,6,6,4,7776,0.6,100.0,20.0,10,SA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,4.381490725791082e-9,2.058277459582314e-8,256.2479028701782,232.61
5,Drahi_5.csv,6,6,4,7776,0.2,100.0,10.0,5,SA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,6.517439032904804e-9,1.4868419384583831e-8,46.03239893913269,39.21
5,Drahi_5.csv,6,6,4,7776,0.2,100.0,20.0,5,SA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,9.076757123693824e-10,1.673470251262188e-9,39.23088312149048,32.59
5,Drahi_5.csv,6,6,4,7776,0.6,100.0,10.0,5,SA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,1.7877027858048677e-9,3.357854438945651e-9,37.16906809806824,31.54
5,Drahi_5.csv,6,6,4,7776,0.6,100.0,20.0,5,SA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,6.417030817829073e-9,1.515036274213344e-8,72.01297187805176,57.64
5,Drahi_5.csv,6,6,4,7776,0.2,100.0,10.0,10,SA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,2.3992470232769847e-9,1.1505107977427542e-8,512.6344511508942,491.36
5,Drahi_5.csv,6,6,4,7776,0.2,100.0,20.0,10,SA,/home/franco/Documentos/Multistage Energy/Code_stochastique/codes/inst/inst2020,true,1.0651274351403118e-8,5.23723429068923e-8,264.2263231277466,242.57999999999998
