ConfigID,Fairness,ConditionalStage,Present,Status,HouseRows,ExpectedHouseRows,ConditionalRows,ExpectedConditionalRows,Complete,WorkerExitCode
C0001,NONE,,true,true,5,5,0,0,true,0
C0001,PEA,,true,true,5,5,0,0,true,0
C0001,SA,,true,true,5,5,0,0,true,0
C0001,LEXMMFPEA,,true,true,5,5,0,0,true,0
C0001,LEXMMFSA,,true,true,5,5,0,0,true,0
C0001,ERDINC_PSR,,true,true,5,5,0,0,true,0
C0001,ERDINC_ESR,,true,true,5,5,0,0,true,0
C0001,ERDINC_PESR,,true,true,5,5,0,0,true,0
C0001,ERDINC_PC,,true,true,5,5,0,0,true,0
C0001,ERDINC_EC,,true,true,5,5,0,0,true,0
C0001,ERDINC_PEC,,true,true,5,5,0,0,true,0
C0001,STATIC_DEMAND_SHARE,,true,true,5,5,0,0,true,0
C0001,CPEA,2,true,true,5,5,10,10,true,1
C0001,CSA,2,true,true,5,5,10,10,true,0
C0001,CLEXMMFPEA,2,true,true,5,5,10,10,true,0
C0001,CLEXMMFSA,2,true,true,5,5,10,10,true,0
C0002,NONE,,true,true,5,5,0,0,true,0
C0002,PEA,,true,true,5,5,0,0,true,0
C0002,SA,,true,true,5,5,0,0,true,0
C0002,LEXMMFPEA,,true,true,5,5,0,0,true,0
C0002,LEXMMFSA,,true,true,5,5,0,0,true,0
C0002,ERDINC_PSR,,true,true,5,5,0,0,true,0
C0002,ERDINC_ESR,,true,true,5,5,0,0,true,0
C0002,ERDINC_PESR,,true,true,5,5,0,0,true,0
C0002,ERDINC_PC,,true,true,5,5,0,0,true,0
C0002,ERDINC_EC,,true,true,5,5,0,0,true,0
C0002,ERDINC_PEC,,true,true,5,5,0,0,true,0
C0002,STATIC_DEMAND_SHARE,,true,true,5,5,0,0,true,0
C0002,CPEA,2,true,true,5,5,10,10,true,1
C0002,CSA,2,true,true,5,5,10,10,true,0
C0002,CLEXMMFPEA,2,true,true,5,5,10,10,true,0
C0002,CLEXMMFSA,2,true,true,5,5,10,10,true,0
C0003,NONE,,true,true,5,5,0,0,true,0
C0003,PEA,,true,true,5,5,0,0,true,0
C0003,SA,,true,true,5,5,0,0,true,0
C0003,LEXMMFPEA,,true,true,5,5,0,0,true,0
C0003,LEXMMFSA,,true,true,5,5,0,0,true,0
C0003,ERDINC_PSR,,true,true,5,5,0,0,true,0
C0003,ERDINC_ESR,,true,true,5,5,0,0,true,0
C0003,ERDINC_PESR,,true,true,5,5,0,0,true,0
C0003,ERDINC_PC,,true,true,5,5,0,0,true,0
C0003,ERDINC_EC,,true,true,5,5,0,0,true,0
C0003,ERDINC_PEC,,true,true,5,5,0,0,true,0
C0003,STATIC_DEMAND_SHARE,,true,true,5,5,0,0,true,0
C0003,CPEA,2,true,true,5,5,10,10,true,1
C0003,CSA,2,true,true,5,5,10,10,true,0
C0003,CLEXMMFPEA,2,true,true,5,5,10,10,true,0
C0003,CLEXMMFSA,2,true,true,5,5,10,10,true,0
C0004,NONE,,true,true,5,5,0,0,true,0
C0004,PEA,,true,true,5,5,0,0,true,0
C0004,SA,,true,true,5,5,0,0,true,0
C0004,LEXMMFPEA,,true,true,5,5,0,0,true,0
C0004,LEXMMFSA,,true,true,5,5,0,0,true,0
C0004,ERDINC_PSR,,true,true,5,5,0,0,true,0
C0004,ERDINC_ESR,,true,true,5,5,0,0,true,0
C0004,ERDINC_PESR,,true,true,5,5,0,0,true,0
C0004,ERDINC_PC,,true,true,5,5,0,0,true,0
C0004,ERDINC_EC,,true,true,5,5,0,0,true,0
C0004,ERDINC_PEC,,true,true,5,5,0,0,true,0
C0004,STATIC_DEMAND_SHARE,,true,true,5,5,0,0,true,0
C0004,CPEA,2,true,true,5,5,10,10,true,1
C0004,CSA,2,true,true,5,5,10,10,true,0
C0004,CLEXMMFPEA,2,true,true,5,5,10,10,true,0
C0004,CLEXMMFSA,2,true,true,5,5,10,10,true,0
C0005,NONE,,true,true,5,5,0,0,true,0
C0005,PEA,,true,true,5,5,0,0,true,0
C0005,SA,,true,true,5,5,0,0,true,0
C0005,LEXMMFPEA,,true,true,5,5,0,0,true,0
C0005,LEXMMFSA,,true,true,5,5,0,0,true,0
C0005,ERDINC_PSR,,true,true,5,5,0,0,true,0
C0005,ERDINC_ESR,,true,true,5,5,0,0,true,0
C0005,ERDINC_PESR,,true,true,5,5,0,0,true,0
C0005,ERDINC_PC,,true,true,5,5,0,0,true,0
C0005,ERDINC_EC,,true,true,5,5,0,0,true,0
C0005,ERDINC_PEC,,true,true,5,5,0,0,true,0
C0005,STATIC_DEMAND_SHARE,,true,true,5,5,0,0,true,0
C0005,CPEA,2,true,true,5,5,10,10,true,1
C0005,CSA,2,true,true,5,5,10,10,true,0
C0005,CLEXMMFPEA,2,true,true,5,5,10,10,true,0
C0005,CLEXMMFSA,2,true,true,5,5,10,10,true,0
C0006,NONE,,true,true,5,5,0,0,true,0
C0006,PEA,,true,true,5,5,0,0,true,0
C0006,SA,,true,true,5,5,0,0,true,0
C0006,LEXMMFPEA,,true,true,5,5,0,0,true,0
C0006,LEXMMFSA,,true,true,5,5,0,0,true,0
C0006,ERDINC_PSR,,true,true,5,5,0,0,true,0
C0006,ERDINC_ESR,,true,true,5,5,0,0,true,0
C0006,ERDINC_PESR,,true,true,5,5,0,0,true,0
C0006,ERDINC_PC,,true,true,5,5,0,0,true,0
C0006,ERDINC_EC,,true,true,5,5,0,0,true,0
C0006,ERDINC_PEC,,true,true,5,5,0,0,true,0
C0006,STATIC_DEMAND_SHARE,,true,true,5,5,0,0,true,0
C0006,CPEA,2,true,true,5,5,20,20,true,1
C0006,CPEA,3,true,true,5,5,80,80,true,1
C0006,CPEA,4,true,true,5,5,320,320,true,1
C0006,CPEA,5,false,false,0,5,0,1280,false,1
C0006,CPEA,6,false,false,0,5,0,5120,false,1
C0006,CSA,2,true,true,5,5,20,20,true,0
C0006,CSA,3,true,true,5,5,80,80,true,0
C0006,CSA,4,true,true,5,5,320,320,true,0
C0006,CSA,5,true,true,5,5,1280,1280,true,0
C0006,CSA,6,true,true,5,5,5120,5120,true,0
C0006,CLEXMMFPEA,2,true,true,5,5,20,20,true,0
C0006,CLEXMMFPEA,3,true,true,5,5,80,80,true,0
C0006,CLEXMMFPEA,4,true,true,5,5,320,320,true,0
C0006,CLEXMMFPEA,5,true,true,5,5,1280,1280,true,0
C0006,CLEXMMFPEA,6,true,true,5,5,5120,5120,true,0
C0006,CLEXMMFSA,2,true,true,5,5,20,20,true,0
C0006,CLEXMMFSA,3,true,true,5,5,80,80,true,0
C0006,CLEXMMFSA,4,true,true,5,5,320,320,true,0
C0006,CLEXMMFSA,5,true,true,5,5,1280,1280,true,0
C0006,CLEXMMFSA,6,true,true,5,5,5120,5120,true,0
