Method,Configs,AvgExpectedCost,MedianExpectedCost,AvgGapPctVsOpt,MedianGapPctVsOpt,MaxGapPctVsOpt,MinGapPctVsOpt,AvgRunTimeSec,MedianRunTimeSec,AvgModelSolveTimeSec,MedianModelSolveTimeSec
Exact optimal,80,1106930.5262585755,1149116.2846544492,0.0,0.0,0.0,0.0,239.48795957267285,226.7123875617981,231.27325000000005,217.94
Restricted-exact,80,1117481.874671674,1159089.372806496,1.0574781895862422,0.9085772701325601,3.4460433017410086,6.23945339839338e-12,98.33363946974278,95.19838011264801,77.76737499999997,74.895
Decomposed,80,1125114.4774234663,1135223.2927100968,1.6135698311042403,1.7170706176403594,6.528335238332694,-10.89098979598796,47.67918021976948,44.65329384803772,26.418874999999996,24.785
