PctSolved,RestrictedExact_RunTimeSec,ExactOptimal_RunTimeSec
1.7857142857142858,31.540528774261475,22.84071016311645
3.5714285714285716,34.30178928375244,26.39455246925354
5.357142857142857,37.22939395904541,30.338250160217285
7.142857142857143,41.46417021751404,30.83941888809204
8.928571428571429,42.01038479804993,32.80614185333252
10.714285714285714,43.42736005783081,33.63201451301575
12.5,44.486088037490845,39.05413603782654
14.285714285714286,44.64163994789124,41.43455624580383
16.071428571428573,46.2837860584259,42.61794900894165
17.857142857142858,46.98428368568421,44.19246459007263
19.642857142857142,47.54126214981079,48.24951195716858
21.428571428571427,49.64549064636231,52.96325421333313
23.214285714285715,50.20389223098755,53.576974391937256
25.0,51.9973349571228,54.36032319068909
26.785714285714285,53.246708154678345,72.9318630695343
28.571428571428573,54.5255401134491,96.3622019290924
30.357142857142858,56.15892171859741,98.61375212669373
32.142857142857146,56.97734522819519,104.42120218276978
33.92857142857143,58.3851842880249,104.63372921943665
35.714285714285715,60.7346978187561,125.53823709487916
37.5,63.4025993347168,129.08279085159302
39.285714285714285,68.84789896011353,148.1744899749756
41.07142857142857,69.03395175933838,151.50876712799072
42.857142857142854,70.31258225440979,154.5276517868042
44.642857142857146,74.81693029403687,156.26772785186768
46.42857142857143,76.14958882331848,158.72853088378906
48.214285714285715,76.51837110519409,192.3576045036316
50.0,89.95584607124329,196.7914731502533
51.785714285714285,102.95820498466492,222.8232429027557
53.57142857142857,103.04426145553587,230.60153222084045
55.357142857142854,103.83916091918944,233.70227718353271
57.142857142857146,106.94267892837524,241.08406567573547
58.92857142857143,113.4807448387146,241.27567434310916
60.714285714285715,114.15994477272034,257.3412244319916
62.5,116.74498057365416,280.4815263748169
64.28571428571429,119.99414777755736,282.9112024307251
66.07142857142857,126.3421230316162,286.3147909641266
67.85714285714286,127.22306036949158,288.9054665565491
69.64285714285714,127.89470529556274,302.6844654083252
71.42857142857143,132.19422674179077,303.9411039352417
73.21428571428571,135.4091353416443,304.43358302116394
75.0,138.48978924751282,335.40511178970337
76.78571428571429,139.11485695838928,344.4187641143799
78.57142857142857,140.97285389900208,355.470162153244
80.35714285714286,141.8081657886505,384.0702741146088
82.14285714285714,146.15559339523315,398.39608097076416
83.92857142857143,153.31650614738464,399.53981471061707
85.71428571428571,155.13329124450684,411.03312611579895
87.5,158.33783340454102,421.3304150104522
89.28571428571429,159.34116005897522,432.5147438049317
91.07142857142857,159.7388575077057,468.46109104156494
92.85714285714286,163.14237713813782,472.3174302577973
94.64285714285714,164.1802453994751,476.30758452415466
96.42857142857143,170.12753105163574,499.5274314880371
98.21428571428571,181.6271023750305,566.1535229682922
100.0,192.32789587974548,609.1913230419159
