InstanceNo,InstanceFile,NBstage,Childs,Periods,Theta,Avg_d,Dev_d,J,Fairness,ExpectedCost_opt,RunTimeSec_opt,ModelSolveTimeSec_opt,Status_opt,ExpectedCost_restricted,RunTimeSec_restricted,ModelSolveTimeSec_restricted,Status_restricted,ExpectedCost_decomposed,RunTimeSec_decomposed,ModelSolveTimeSec_decomposed,Status_decomposed,GapPct_restricted,GapPct_decomposed,GapPct_opt,DecompBelowOpt
1,Drahi_1.csv,6,6,4,0.2,100.0,10.0,5,PEA,696446.6314949354,56.20307683944702,35.85,True,700312.362024111,60.12916111946106,26.72,True,708826.9751180722,46.84230899810791,20.55,True,0.5550648613056985,1.7776442678116178,0.0,False
1,Drahi_1.csv,6,6,4,0.2,100.0,10.0,10,PEA,1352184.3471137043,103.37829089164734,77.61,True,1356630.3423002425,55.65022921562195,35.57,True,1377557.387058341,62.68597912788391,32.94,True,0.32880096534384506,1.8764482815376793,0.0,False
1,Drahi_1.csv,6,6,4,0.2,100.0,20.0,5,PEA,597680.6779933928,49.91365694999695,37.09,True,601264.0928252757,49.79452109336853,32.82,True,641268.1904444708,27.11746025085449,11.18,True,0.5995534009755277,7.292775901241355,0.0,False
1,Drahi_1.csv,6,6,4,0.2,100.0,20.0,10,PEA,1464734.7467026091,88.8919529914856,65.32,True,1469275.2939915662,50.37070322036743,29.61,True,1500811.0784895648,67.31896185874939,36.95,True,0.3099910956013474,2.4629941952404755,0.0,False
1,Drahi_1.csv,6,6,4,0.6,100.0,10.0,5,PEA,617666.946450655,32.99053382873535,23.59,True,620115.3053060377,51.69146776199341,38.6,True,642236.8609423628,37.58298301696777,25.59,True,0.39638819422860294,3.9778580726871793,0.0,False
1,Drahi_1.csv,6,6,4,0.6,100.0,10.0,10,PEA,1397112.7566392592,117.22136998176576,83.4,True,1401683.5288015404,63.39425182342529,47.97,True,1419806.0268569228,75.61756587028503,47.22,True,0.32715843016681845,1.624297688917542,0.0,False
1,Drahi_1.csv,6,6,4,0.6,100.0,20.0,5,PEA,652675.2232195437,48.28031206130981,33.67,True,657618.2338195373,26.10395097732544,14.45,True,665255.0471388698,22.32791304588318,9.55,True,0.7573461384991154,1.9274247698988445,0.0,False
1,Drahi_1.csv,6,6,4,0.6,100.0,20.0,10,PEA,1411326.2249247269,113.6215500831604,77.84,True,1413924.8359218007,49.25664615631104,31.57,True,1426070.6665265225,50.93526005744934,25.76,True,0.18412546661297213,1.0447224278413714,0.0,False
2,Drahi_2.csv,6,6,4,0.2,100.0,10.0,5,PEA,725678.6900718374,40.77709007263184,23.08,True,728845.6017595499,73.63564896583557,38.17,True,736623.8194196983,67.75743103027344,33.97,True,0.43640687414963075,1.508261093732477,0.0,False
2,Drahi_2.csv,6,6,4,0.2,100.0,10.0,10,PEA,1418971.6088357873,155.3906660079956,88.53,True,1421531.3349532632,103.72426414489746,66.28,True,1435637.0090339195,90.21816611289978,38.29,True,0.18039304673447276,1.17447030612583,0.0,False
2,Drahi_2.csv,6,6,4,0.2,100.0,20.0,5,PEA,690908.5326231648,53.12802004814148,41.97,True,694066.2225767354,63.88173604011536,29.0,True,704059.3662653512,41.93197917938232,22.35,True,0.45703444153191164,1.903411670464794,0.0,False
2,Drahi_2.csv,6,6,4,0.2,100.0,20.0,10,PEA,1469944.6290499177,164.0912401676178,114.7,True,1473427.6646886324,91.62557220458984,60.6,True,1486643.6392920164,102.07913398742676,37.68,True,0.23695012518709646,1.1360298824923731,0.0,False
2,Drahi_2.csv,6,6,4,0.6,100.0,10.0,5,PEA,678250.0279501717,68.27375102043152,52.42,True,680163.0537858712,72.12012481689453,47.64,True,687218.1564656696,41.82749390602112,23.15,True,0.2820531893645617,1.3222452113421435,0.0,False
2,Drahi_2.csv,6,6,4,0.6,100.0,10.0,10,PEA,1493998.012724617,98.09908390045166,68.56,True,1496644.0276454869,86.90990471839905,64.89,True,1509529.93352468,81.43538999557495,48.89,True,0.17710966804060924,1.0396212490093815,0.0,False
2,Drahi_2.csv,6,6,4,0.6,100.0,20.0,5,PEA,621388.7162285966,57.52435207366944,33.74,True,626185.8110887009,31.51024794578552,18.16,True,636771.5388795957,54.718141078948975,25.02,True,0.7719958111275904,2.4755555177059296,0.0,False
2,Drahi_2.csv,6,6,4,0.6,100.0,20.0,10,PEA,1391071.9421489036,83.55183005332947,58.24,True,1393573.1406252934,83.82071924209595,54.74,True,1402004.3234944432,86.2114200592041,61.32,True,0.17980367518060092,0.78589618655176,0.0,False
3,Drahi_3.csv,6,6,4,0.2,100.0,10.0,5,PEA,605530.4558354872,67.32002687454224,51.73,True,610057.845157178,33.98704504966736,20.84,True,624006.3777256447,32.89377403259277,18.2,True,0.7476732636749084,3.0511961392041265,0.0,False
3,Drahi_3.csv,6,6,4,0.2,100.0,10.0,10,PEA,1378739.8552424477,95.77533388137816,65.59,True,1382613.8305208976,84.23004698753357,59.95,True,1404991.691127855,61.440253019332886,37.69,True,0.280979422167249,1.9040456243858417,0.0,False
3,Drahi_3.csv,6,6,4,0.2,100.0,20.0,5,PEA,713355.50859061,38.66024804115296,23.04,True,719782.9583214226,38.29435586929321,24.75,True,732355.5558161056,36.410573959350586,20.18,True,0.9010163450635433,2.663475223319489,0.0,False
3,Drahi_3.csv,6,6,4,0.2,100.0,20.0,10,PEA,1360374.642522662,106.56303310394289,83.06,True,1364779.0510828695,71.3982527256012,42.76,True,1394635.0028199644,71.77795100212097,27.76,True,0.32376438243806316,2.518450375829584,0.0,False
3,Drahi_3.csv,6,6,4,0.6,100.0,10.0,5,PEA,630495.5889359012,33.965219020843506,20.23,True,634883.5221674589,31.608545303344727,20.45,True,657910.9497252293,30.100459337234497,15.54,True,0.6959498700004119,4.348224043184423,0.0,False
3,Drahi_3.csv,6,6,4,0.6,100.0,10.0,10,PEA,1456251.6982879771,97.01160287857056,64.05,True,1459507.9028265427,62.41962289810181,38.74,True,1484837.382930983,72.95531797409058,46.95,True,0.22360176763356332,1.962963179827515,0.0,False
3,Drahi_3.csv,6,6,4,0.6,100.0,20.0,5,PEA,690897.4151441288,25.39065313339233,15.86,True,696213.4894585359,41.325661182403564,13.15,True,709514.150841936,27.12349796295166,11.37,True,0.7694448116147612,2.69457307115899,0.0,False
3,Drahi_3.csv,6,6,4,0.6,100.0,20.0,10,PEA,1373631.568490361,98.80676293373108,71.22,True,1377123.4883579945,65.72982001304626,41.84,True,1392088.6692452652,66.03746795654297,32.91,True,0.2542108049737868,1.343671853376871,0.0,False
4,Drahi_4.csv,6,6,4,0.2,100.0,10.0,5,PEA,711508.7955749225,40.32687306404114,27.92,True,711508.7955749225,26.53368091583252,14.22,True,713277.6194590721,36.17044115066528,14.6,True,0.0,0.24860182968229338,0.0,False
4,Drahi_4.csv,6,6,4,0.2,100.0,10.0,10,PEA,1407377.5499022014,98.56144309043884,74.29,True,1410631.543468804,67.1229932308197,22.42,True,1437380.8891358203,58.62377190589905,17.93,True,0.23120971105647925,2.1318614351709675,0.0,False
4,Drahi_4.csv,6,6,4,0.2,100.0,20.0,5,PEA,567437.8164578055,42.94592213630676,30.85,True,572413.3011903848,44.41093587875366,26.78,True,594851.4161528691,27.938485860824585,14.94,True,0.8768334764218677,4.831119622268276,0.0,False
4,Drahi_4.csv,6,6,4,0.2,100.0,20.0,10,PEA,1290632.5687381907,98.91444611549376,70.16,True,1294726.1043730977,99.45183491706848,56.01,True,1332623.1246436576,69.03291702270508,45.08,True,0.31717281386360874,3.253486462573907,0.0,False
