InstanceNo,InstanceFile,InstanceID,Fairness,House,Status,PVReceivedExpected,PVReceivedMin,PVReceivedMax,CostExpected,CostMin,CostMax,RegretExpected,RegretMin,RegretMax,DemandProfile,BatteryScale,PVScale,RunTimeSec,ModelSolveTimeSec
1,Drahi_1.csv,5_56,CPEA,1,true,203.75289891914528,189.82939701368323,217.67640082460736,150539.23033727997,150455.2069431301,150623.2537314298,NaN,NaN,NaN,mixed,1.0,1.0,2.2262020111083984,0.0
1,Drahi_1.csv,5_56,CPEA,2,true,195.33083171959385,181.86421947600275,208.79744396318497,145645.79171141138,145596.55928344073,145695.02413938206,NaN,NaN,NaN,mixed,1.0,1.0,2.2262020111083984,0.0
1,Drahi_1.csv,5_56,CPEA,3,true,205.5254752714991,191.50581267400287,219.5451378689953,152813.7267550247,152771.31320884975,152856.14030119963,NaN,NaN,NaN,mixed,1.0,1.0,2.2262020111083984,0.0
1,Drahi_1.csv,5_56,CPEA,4,true,207.63994743093562,184.7635153256469,252.26426273653337,151362.01328775423,145359.7487234465,156484.54886472743,NaN,NaN,NaN,mixed,1.0,1.0,2.2262020111083984,0.0
1,Drahi_1.csv,5_56,CPEA,5,true,202.62434812028613,175.187336693687,248.6082941797796,149144.69990779547,144800.6240996399,154959.9256570379,NaN,NaN,NaN,mixed,1.0,1.0,2.2262020111083984,0.0
