InstanceNo,InstanceFile,NBstage,Childs,Periods,Theta,Avg_d,Dev_d,DemandProfile,J,BatteryScale,PVScale,Fairness,House,InstFolder,Status,PVReceivedExpected,PVReceivedMin,PVReceivedMax,CostExpected,CostMin,CostMax,RegretExpected,RegretMin,RegretMax,RunTimeSec,ModelSolveTimeSec
1,Drahi_1.csv,6,4,4,0.2,100.0,10.0,mixed,5,1.0,1.0,PEA,1,inst/inst2020,true,214.2263052801978,8.208957827659601,473.5023031251602,113267.87199654225,63394.4764266971,167129.87606037798,0.2563625538765288,0.0014888777454206122,0.9611105943178396,3.5584659576416016,0.62
1,Drahi_1.csv,6,4,4,0.2,100.0,10.0,mixed,5,1.0,1.0,PEA,2,inst/inst2020,true,216.1578753866906,5.285936036070704,454.6379989119836,115155.87784656059,73369.41653113032,161821.21372570362,0.24539303532633236,0.00045435363100059314,0.9627059670758652,3.5584659576416016,0.62
1,Drahi_1.csv,6,4,4,0.2,100.0,10.0,mixed,5,1.0,1.0,PEA,3,inst/inst2020,true,211.69251650036446,51.449697232010735,476.3923399227169,136943.84809095706,111695.74810045086,160385.54130129836,0.2641089160448916,8.472010970513667e-5,0.9150845371771865,3.5584659576416016,0.62
1,Drahi_1.csv,6,4,4,0.2,100.0,10.0,mixed,5,1.0,1.0,PEA,4,inst/inst2020,true,220.95828511239174,108.24193877628562,582.8259490822454,135850.1967613011,125714.77550807496,143238.3449430999,0.25228493767339993,0.0026198971719991067,0.9260860103727697,3.5584659576416016,0.62
1,Drahi_1.csv,6,4,4,0.2,100.0,10.0,mixed,5,1.0,1.0,PEA,5,inst/inst2020,true,209.91538857547144,0.0,404.76744827785126,112532.86737188965,62348.32622897663,152759.06040686258,0.2504570482287673,0.00038301205136463375,1.0,3.5584659576416016,0.62
1,Drahi_1.csv,6,4,4,0.2,100.0,20.0,mixed,5,1.0,1.0,PEA,1,inst/inst2020,true,224.2630687833896,8.0,585.1727760238634,153741.84642594907,112404.86716702288,189165.30793593318,0.36377132158313324,0.001050370746971399,1.0052545852011112,1.332988977432251,0.69
1,Drahi_1.csv,6,4,4,0.2,100.0,20.0,mixed,5,1.0,1.0,PEA,2,inst/inst2020,true,223.8517261576173,4.0,497.6350718601434,151227.04008931076,105067.75161200017,189102.3812173204,0.3144694475757842,0.00012897283671774,1.0661802737884334,1.332988977432251,0.69
1,Drahi_1.csv,6,4,4,0.2,100.0,20.0,mixed,5,1.0,1.0,PEA,3,inst/inst2020,true,228.0944132642533,10.870916557261276,487.9300050030747,103316.84588689146,58111.30112144296,146949.09168354087,0.2351075408905173,1.4113431758124521e-5,0.9113183920678442,1.332988977432251,0.69
1,Drahi_1.csv,6,4,4,0.2,100.0,20.0,mixed,5,1.0,1.0,PEA,4,inst/inst2020,true,236.66735914478141,76.05543913440452,412.4712947509474,108447.73920590851,80413.72559403001,144979.57895404083,0.19835535308478872,5.582682043924949e-5,0.8698032458721705,1.332988977432251,0.69
1,Drahi_1.csv,6,4,4,0.2,100.0,20.0,mixed,5,1.0,1.0,PEA,5,inst/inst2020,true,234.96506178114896,83.0086508924508,795.4890868744236,130311.08905593716,114315.20083046211,145915.61745832168,0.4028943585656088,0.0019608351630967017,1.6135151529745864,1.332988977432251,0.69
1,Drahi_1.csv,6,4,4,0.6,100.0,10.0,mixed,5,1.0,1.0,PEA,1,inst/inst2020,true,239.9799164241353,2.854262967543089,1200.1927056018887,138656.49727607315,99568.60073598062,160191.25315043298,0.6444199023433259,0.000859667221083206,2.9563123464280396,1.125119924545288,0.55
