InstanceNo,InstanceFile,NBstage,Childs,Periods,#scen,Theta,Avg_d,Dev_d,J,Fairness,InstFolder,Status,ExpectedCost,ScenarioCostExpected,ScenarioCostMin,ScenarioCostMax,RegretExpected,RegretMin,RegretMax,RunTimeSec,ModelSolveTimeSec
1,Drahi_1.csv,6,4,4,1024,0.2,100.0,10.0,5,NONE,inst/inst2020,true,570403.9770444895,570403.9770444882,418912.66674384865,701883.1170655676,NaN,NaN,NaN,16.813743114471436,2.46
1,Drahi_1.csv,6,4,4,1024,0.2,100.0,20.0,5,NONE,inst/inst2020,true,567475.2830986741,567475.2830986809,412591.1814062345,737201.2428503833,NaN,NaN,NaN,5.2650840282440186,1.91
1,Drahi_1.csv,6,4,4,1024,0.6,100.0,10.0,5,NONE,inst/inst2020,true,692300.9757429495,692300.9757429541,481146.46226271417,792314.4759615738,NaN,NaN,NaN,3.3034889698028564,1.58
1,Drahi_1.csv,6,4,4,1024,0.6,100.0,20.0,5,NONE,inst/inst2020,true,519447.08428558364,519447.0842855845,352709.0701158117,742401.6929408337,NaN,NaN,NaN,6.10181999206543,2.98
1,Drahi_1.csv,6,4,4,1024,0.2,100.0,10.0,10,NONE,inst/inst2020,true,1.2774883402194006e6,1.2774883402194094e6,1.1635566592951557e6,1.4409996835180128e6,NaN,NaN,NaN,12.01128101348877,4.71
1,Drahi_1.csv,6,4,4,1024,0.2,100.0,20.0,10,NONE,inst/inst2020,true,1.3547249495981277e6,1.3547249495981259e6,1.0929122580243298e6,1.5701412444527159e6,NaN,NaN,NaN,12.047538995742798,5.55
1,Drahi_1.csv,6,4,4,1024,0.6,100.0,10.0,10,NONE,inst/inst2020,true,1.3595040123378886e6,1.359504012337889e6,1.0375395758867937e6,1.557812169588104e6,NaN,NaN,NaN,6.794924020767212,3.2
1,Drahi_1.csv,6,4,4,1024,0.6,100.0,20.0,10,NONE,inst/inst2020,true,1.2892754883618655e6,1.289275488361866e6,1.0474390345601556e6,1.5288173175640102e6,NaN,NaN,NaN,11.582309007644653,6.24
2,Drahi_2.csv,6,4,4,1024,0.2,100.0,10.0,5,NONE,inst/inst2020,true,615377.7750255059,615377.7750255102,550739.5658761539,698780.9557233566,NaN,NaN,NaN,10.985820055007935,4.33
2,Drahi_2.csv,6,4,4,1024,0.2,100.0,20.0,5,NONE,inst/inst2020,true,646870.806199481,646870.8061994872,560374.4623533401,772082.1171270357,NaN,NaN,NaN,7.741270065307617,3.78
2,Drahi_2.csv,6,4,4,1024,0.6,100.0,10.0,5,NONE,inst/inst2020,true,606209.2334641219,606209.2334641248,452441.40587053314,779689.3106285323,NaN,NaN,NaN,6.4912109375,3.26
2,Drahi_2.csv,6,4,4,1024,0.6,100.0,20.0,5,NONE,inst/inst2020,true,708990.3437181349,708990.3437181371,506474.8413997751,804417.1334379544,NaN,NaN,NaN,6.096836090087891,1.93
2,Drahi_2.csv,6,4,4,1024,0.2,100.0,10.0,10,NONE,inst/inst2020,true,1.4139713943704122e6,1.4139713943704125e6,1.3370785537773212e6,1.5358853922046735e6,NaN,NaN,NaN,11.149592876434326,7.11
2,Drahi_2.csv,6,4,4,1024,0.2,100.0,20.0,10,NONE,inst/inst2020,true,1.4375855388035008e6,1.437585538803508e6,1.321587783152109e6,1.5403902406799903e6,NaN,NaN,NaN,13.297899961471558,6.61
2,Drahi_2.csv,6,4,4,1024,0.6,100.0,10.0,10,NONE,inst/inst2020,true,1.430277019511486e6,1.4302770195114883e6,1.1836002374965474e6,1.54412153004375e6,NaN,NaN,NaN,12.36233901977539,5.19
2,Drahi_2.csv,6,4,4,1024,0.6,100.0,20.0,10,NONE,inst/inst2020,true,1.3342750086394502e6,1.3342750086394472e6,1.1285741199261486e6,1.5085152468900282e6,NaN,NaN,NaN,12.562419891357422,5.09
3,Drahi_3.csv,6,4,4,1024,0.2,100.0,10.0,5,NONE,inst/inst2020,true,561051.4642083127,561051.464208314,414418.73168545373,694228.8698328903,NaN,NaN,NaN,5.813031911849976,2.03
3,Drahi_3.csv,6,4,4,1024,0.2,100.0,20.0,5,NONE,inst/inst2020,true,506727.057976148,506727.0579761471,389546.9432164958,624424.3390182131,NaN,NaN,NaN,8.174241065979004,3.51
3,Drahi_3.csv,6,4,4,1024,0.6,100.0,10.0,5,NONE,inst/inst2020,true,495592.16596569936,495592.1659657,354926.2593877893,714827.6473964339,NaN,NaN,NaN,5.611875057220459,3.56
3,Drahi_3.csv,6,4,4,1024,0.6,100.0,20.0,5,NONE,inst/inst2020,true,575157.1269491541,575157.1269491519,397023.32470499043,757201.9826574272,NaN,NaN,NaN,5.898329019546509,3.35
3,Drahi_3.csv,6,4,4,1024,0.2,100.0,10.0,10,NONE,inst/inst2020,true,1.2860821388911945e6,1.2860821388911915e6,1.1010615895662764e6,1.4380687630581504e6,NaN,NaN,NaN,10.116191864013672,5.29
3,Drahi_3.csv,6,4,4,1024,0.2,100.0,20.0,10,NONE,inst/inst2020,true,1.4484456754216468e6,1.4484456754216487e6,1.3608174949845113e6,1.549395804942568e6,NaN,NaN,NaN,12.631294012069702,6.08
3,Drahi_3.csv,6,4,4,1024,0.6,100.0,10.0,10,NONE,inst/inst2020,true,1.3398387210070125e6,1.339838721007012e6,1.0212363750866915e6,1.5912329568326182e6,NaN,NaN,NaN,15.363394021987915,6.96
3,Drahi_3.csv,6,4,4,1024,0.6,100.0,20.0,10,NONE,inst/inst2020,true,1.2734080523110826e6,1.2734080523110824e6,905505.2475401863,1.5821036430200587e6,NaN,NaN,NaN,16.53947901725769,7.28
4,Drahi_4.csv,6,4,4,1024,0.2,100.0,10.0,5,NONE,inst/inst2020,true,556792.764762649,556792.764762649,507582.80959999864,607151.1645364776,NaN,NaN,NaN,5.552810907363892,2.74
4,Drahi_4.csv,6,4,4,1024,0.2,100.0,20.0,5,NONE,inst/inst2020,true,493757.38842559874,493757.38842559874,384376.24759930227,653024.0865823114,NaN,NaN,NaN,7.442893028259277,4.13
4,Drahi_4.csv,6,4,4,1024,0.6,100.0,10.0,5,NONE,inst/inst2020,true,430853.1199185931,430853.11991859105,243280.5200624116,761090.1697985876,NaN,NaN,NaN,8.113979816436768,2.76
4,Drahi_4.csv,6,4,4,1024,0.6,100.0,20.0,5,NONE,inst/inst2020,true,543059.1588919332,543059.1588919311,418250.41135475994,721205.1139466444,NaN,NaN,NaN,8.432888984680176,3.74
4,Drahi_4.csv,6,4,4,1024,0.2,100.0,10.0,10,NONE,inst/inst2020,true,1.1131070793403736e6,1.113107079340375e6,947045.8350703483,1.2886239912978802e6,NaN,NaN,NaN,12.341290950775146,6.25
4,Drahi_4.csv,6,4,4,1024,0.2,100.0,20.0,10,NONE,inst/inst2020,true,1.3331046363418484e6,1.3331046363418375e6,1.2419237021268012e6,1.4453265083217453e6,NaN,NaN,NaN,10.708958864212036,4.32
4,Drahi_4.csv,6,4,4,1024,0.6,100.0,10.0,10,NONE,inst/inst2020,true,1.223191558259115e6,1.2231915582591228e6,680078.2195277875,1.5506249607932784e6,NaN,NaN,NaN,12.268257856369019,4.7
4,Drahi_4.csv,6,4,4,1024,0.6,100.0,20.0,10,NONE,inst/inst2020,true,1.210271141457768e6,1.2102711414577705e6,861274.2968818244,1.5450581719181738e6,NaN,NaN,NaN,7.978669166564941,3.96
5,Drahi_5.csv,6,4,4,1024,0.2,100.0,10.0,5,NONE,inst/inst2020,true,465275.9524871499,465275.95248715125,379565.0649914064,636039.9352577899,NaN,NaN,NaN,6.0103440284729,3.96
5,Drahi_5.csv,6,4,4,1024,0.2,100.0,20.0,5,NONE,inst/inst2020,true,716927.6941896991,716927.6941896995,667618.1095307803,766218.165274622,NaN,NaN,NaN,5.67955207824707,3.17
5,Drahi_5.csv,6,4,4,1024,0.6,100.0,10.0,5,NONE,inst/inst2020,true,483604.5322708651,483604.5322708661,327539.4889030042,728561.9940704784,NaN,NaN,NaN,8.329644918441772,4.91
5,Drahi_5.csv,6,4,4,1024,0.6,100.0,20.0,5,NONE,inst/inst2020,true,472087.27423846273,472087.27423846285,282310.8144608668,753818.7558151479,NaN,NaN,NaN,6.65179705619812,4.4
5,Drahi_5.csv,6,4,4,1024,0.2,100.0,10.0,10,NONE,inst/inst2020,true,1.284125367946229e6,1.2841253679462257e6,1.0647549774424531e6,1.524219946676606e6,NaN,NaN,NaN,11.63458800315857,3.81
5,Drahi_5.csv,6,4,4,1024,0.2,100.0,20.0,10,NONE,inst/inst2020,true,1.190162009136756e6,1.1901620091367555e6,959151.0059254386,1.5085301736912297e6,NaN,NaN,NaN,9.837723016738892,4.54
5,Drahi_5.csv,6,4,4,1024,0.6,100.0,10.0,10,NONE,inst/inst2020,true,1.3943698292705615e6,1.3943698292705622e6,1.2192461747917698e6,1.5775078382829784e6,NaN,NaN,NaN,10.4723961353302,5.85
5,Drahi_5.csv,6,4,4,1024,0.6,100.0,20.0,10,NONE,inst/inst2020,true,1.102241074092195e6,1.1022410740921963e6,831293.6062128177,1.5342485152634731e6,NaN,NaN,NaN,19.905401945114136,7.11
6,Drahi_6.csv,6,4,4,1024,0.2,100.0,10.0,5,NONE,inst/inst2020,true,573512.5230742316,573512.5230742312,514619.76630482863,714591.5342934534,NaN,NaN,NaN,7.751055955886841,2.97
