Method,Configs,AvgExpectedCost,MedianExpectedCost,AvgGapPctVsOpt,MedianGapPctVsOpt,MaxGapPctVsOpt,MinGapPctVsOpt,AvgRunTimeSec,MedianRunTimeSec,AvgModelSolveTimeSec,MedianModelSolveTimeSec
Exact optimal,41,1079518.9989486225,793901.6576716708,0.0,0.0,0.0,0.0,959.9884450028583,697.9404909610748,458.3682926829267,426.15
Restricted-exact,41,1090171.4903324111,802823.7610762619,1.1061491758404571,1.0534649902908644,3.5165339548313135,2.6645352591003757e-13,200.56997344552016,120.38237714767456,185.93780487804872,102.12
Decomposed,41,1132758.5899089489,993185.365070123,5.760367549534637,4.143919007332086,30.514209415558312,-10.49065678497344,38.21858157181158,36.64369511604309,20.79585365853659,17.99
